직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
다단식프레스조작원,인쇄회로용 절연적층판을 만들기 위하여 절연용액이 도포되어 적재된 기재를 가열·가압하여 압착시키는 다단식 유압프레스를 조작한다.,적재된 기재와 얇은 구리판을 프레스의 적재판에 지정수량 집어넣는다. 전원을 공급하고 유압프레스를 작동시켜 지정된 온도와 압력을 유지한다. 스위치를 움직여 프레스를 작동시키고 규정된 온도와 압력으로 압착시킨다. 규정시간 후 압착된 절연적층판을 적재판에서 꺼내어 압착상태를 확인한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,위험내재,-,-,-,[8352]전자 부품·제품 생산기계 조작원,[8632]전자 부품 및 제품 제조 기계 조작원,[C262]전자부품 제조업,2014,-
다림질기조작원,의복의 표면을 부드럽게 하고 모양을 바로잡기 위하여 프레스를 조작한다.,프레스 위에 의복을 펴서 놓는다. 의복을 잡아당기면서 페달을 밟아 의류를 고정시킨다. 증기가 나오도록 프레스 버튼을 누른다. 일정 시간이 경과한 후 프레스 버튼을 끈다. 의류를 빼내기 위하여 페달을 놓는다. 작업일지에 기록하고 작업지시서를 확인한 후 다음 물량을 처리한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (수동조작),힘든 작업,-,실내,"대기환경미흡
고온",스팀다림질원,가죽다림질원,-,[8643]세탁 기계 조작원,[8230]세탁 관련 기계 조작원,[C141]봉제의복 제조업 / [S969]그 외 기타 개인 서비스업,2016,-
다림질반장,의복을 다리는 일에 종사하는 작업원의 활동을 감독·조정한다.,다리미 기계의 조작 및 설치방법을 교육시킨다. 다림질된 의복을 점검하고 이상이 있으면 다림질 방법을 수정하도록 지시한다. 작업내용에 따라 작업원에게 지시·배치한다. 작업의 진행사항을 파악하고 작업내용을 보고한다. 작업원의 작업상황을 관리·감독하고 기술적인 지원 및 자재를 공급한다. 작업계획에 따라 세부실행항목을 수립하고 작업절차 및 방법을 결정하여 작업원에게 작업내용을 지시하고 작업배치를 한다. 표준작업명세에 따라 지시된 작업이 이루어지는지 작업원과 함께 작업하며 작업상황을 관찰하고 작업내용을 점검한다. 작업원의 직무교육 및 안전위생교육을 통하여 직무수행능력을 향상시키고 안전재해를 예방한다. 수시면담과 관찰을 통하여 작업원의 애로점 및 건의사항을 수렴·해결하고 문제점을 보완한다.,9년 초과 ~ 12년 이하(고졸 정도),4년 초과 ~ 10년 이하,자료 (조정) / 사람 (감독) / 사물 (수동조작),보통 작업,-,실내,"대기환경미흡
고온",-,-,-,[8643]세탁 기계 조작원,[8230]세탁 관련 기계 조작원,[C141]봉제의복 제조업 / [S969]그 외 기타 개인 서비스업,2016,-
다림질원,"가압기, 증기다리미, 전기다리미 등을 사용하여 세탁물의 형태를 바로잡아 광택과 탄력을 주고 주름을 잡는다.","세탁·건조한 세탁물의 종류와 형태에 따라 마무리하기 위한 방법과 기계의 종류, 다리미의 온도 등을 결정한다. 세탁물을 가압기 또는 기타 마무리용 기계에 펴놓고 기계를 조작하여 주름을 잡는다. 세탁물의 형태에 따라 여러 가지 형태의 받침판을 사용하여 광택 및 탄력을 준다. 다림질이 끝나면 의류의 각 부위를 점검하여 다림질 상태를 확인하고 옷걸이에 건다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,-,실내,"위험내재
고온",-,세탁물마무리원,-,[8643]세탁 기계 조작원,[8230]세탁 관련 기계 조작원,[C141]봉제의복 제조업 / [S969]그 외 기타 개인 서비스업,2016,-
다문화가정방문교사,외국인 부모의 영향으로 언어 발달에 장애를 겪는 다문화가정 자녀에게 언어발달 및 학교생활 적응을 위한 서비스를 제공한다.,"다문화가정을 방문하여 주로 초등학생 자녀들을 대상으로 한국어 교육을 비롯하여 예절 등 한국문화 교육, 학교 생활지도 및 상담 등을 한다. 그 외에 교과목 학습지도나 학교과제 활동을 지원하기도 한다.",12년 초과 ~ 14년 이하(전문대졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (교육) / 사물 (관련없음),가벼운 작업,언어력,실내,-,-,이주여성에게 한국어를 가르치는 경우 한국문화강사,"사회복지사(1급, 2급)",[2145]학습지·교육교구 방문강사,[2545]학습지 및 교육 교구 방문강사,[P856]기타 교육기관,2012,-
다문화언어지도사,다문화가족 자녀의 의사소통 문제를 평가해 적절한 언어발달 지원 및 교육을 제공한다.,"의사소통에 문제가 있는 다문화가족 자녀에 대한 상담접수를 받는다. 다문화지원센터의 언어교실에서 업무를 수행하거나, 검사도구와 교구를 지참하여 아동이 있는 집으로 직접 방문한다. 초기 면담지를 작성한다. 부모 상담과 언어평가를 실시하고, 언어평가 검사보고서를 작성한다. 검사결과에 기초하여 언어발달 지원을 위한 장·단기 수업계획서를 작성한다. 언어발달 지체가 있을 경우, 환경적·원인적 접근(출생 배경, 동반장애, 언어 환경) 및 기술적·발달적 접근(현재 언어수행 수준이나 결함분석) 등을 동시에 시행하여 문제점을 분석한다. 부모에게 아동의 언어발달을 촉진할 수 있도록 상담 및 교육방법을 제공한다. 아동이 학교생활에 원만하게 적응할 수 있도록 지도·상담한다.",14년 초과 ~ 16년 이하(대졸 정도),6개월 초과 ~ 1년 이하,자료 (분석) / 사람 (교육) / 사물 (관련없음),가벼운 작업,언어력,실내,-,-,"다문화가정상담지도사, 다문화가정방문교사, 한국문화강사, 결혼이민자도우미",-,[2149]기타 문리·기술 및 예능 강사,[2549]기타 문리·기술 및 예능 강사,[O845]사회보장 행정,2017,-
다이어트프로그래머,"고객의 체중감소와 건강증진을 목적으로 영양학, 비만학, 운동학 등의 지식을 토대로 고객의 체형과 체질을 진단하여 프로그램을 개발하고 관리한다.","고객의 체중, 체지방, 신장, 기타 균형상태를 기계로 측정한다. 고객의 식습관, 운동량, 주변 환경 등을 점검표를 이용하여 검토한다. 고객의 건강상태와 식습관 등 관련 조건을 고려하여 고객에게 적합한 다이어트프로그램을 설계한다. 다이어트 기간, 적합한 운동, 운동방법, 섭취 음식과 금지 음식 등을 고객에게 설명한다. 다이어트 점검표를 사용하여 계획대로 진행하는지 점검한다. 체중, 체지방 등을 기계로 측정하여 고객에게 변화 여부를 알려준다. 운동기구, 다이어트 장비 등을 사용하여 고객에게 다이어트 서비스를 제공하기도 한다.",12년 초과 ~ 14년 이하(전문대졸 정도),1년 초과 ~ 2년 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,-,실내,-,"다이어트컨설턴트, 다이어트플래너, 체형관리사","다이어트테크니션, 다이어트세라피스트",-,[5113]피부 및 체형 관리사,[4223]피부 및 체형 관리사,"[S961]미용, 욕탕 및 유사 서비스업",2012,-
다중효용증발기조작원,탈색된 전분당화액을 농축하여 일정 농도의 당화액으로 제조하기 위하여 하나 또는 여러 개의 증발관을 조작·관리한다.,"펌프를 가동하고 증발기의 투입부를 통해 탈색된 전분당화액을 내부로 투입한다. 투입부 밸브를 닫고 투입량을 점검한 후, 진공펌프를 가동한다. 증발관을 일정 온도로 가열하기 위하여 증기밸브를 열고, 순환관에 증기를 투입한다. 온도계, 압력계, 진공계 등을 관찰한다. 견본을 채취하고 농도를 제품 표준과 비교·검사한다. 규정농도로 농축되면 증발기의 작동을 멈추고 배출밸브를 열어 다음 공정으로 이송한다. 자동화된 기계의 조정판에 투입량, 진공도, 순환시간, 농도 등을 입력하여 농축되는 과정을 관찰·조절하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
다습","다중효용관조작원, 효용관조정판조작원",-,-,[8512]화학물 가공장치 조작원,[8312]화학물 가공 장치 조작원,"[C106]곡물가공품, 전분 및 전분제품 제조업",2016,-
다큐작가,다큐멘터리의 구성대본을 작성한다.,"다큐멘터리 프로그램 기획회의에 참여하여 프로그램 기획안(타이틀, 방송시간, 형식, 방송체널, 희망방송일시, 기획의도, 제작방향, 구성내용, 예상 아이템)을 작성한다. 자료조사를 바탕으로 아이템을 제안·선정한다. 취재 및 섭외를 통해 사실관계를 확인하며 어떤 영상을 찍을 수 있고 어떤 상황이 연출될 것인지 구상·확인한다. 촬영구성안을 작성하여 프로듀서와 카메라감독에게 제시한다. 촬영구성안을 토대로 촬영이 진행되면, 촬영된 내용을 프리뷰하고 프리뷰노트(촬영된 화면에서 영상과 현장음을 적은 노트)를 작성하며 내용을 검토하고 프로듀서와 카메라감독에게 제작방향을 조언한다. 프리뷰노트를 기초로 편집구성안(편집콘티)을 작성하여 프로듀서에게 제시한다. 편집구성안을 토대로 프로듀서가 가편집본을 제작하면 프로듀서와 함께 Final Cutting(작가가 편집에 대한 자신의 의견을 개진하고 구성의 틀을 협의하는 일)을 진행한다. 시사(Chief Producer와 함께 프로그램을 보면서 평가하는 과정)와 종합편집(영상에 필요한 효과나 자막, 컴퓨터 그래픽 등을 넣어 방송 가능한 영상으로 마무리하는 작업) 과정을 거쳐 완성된 영상을 보면서 내레이션 원고(Narration:장면 밖에서 들려오는 목소리. 내레이터가 더빙하도록 커트, 신, 시간이 표기된 원고)를 작성한다.",14년 초과 ~ 16년 이하(대졸 정도),1년 초과 ~ 2년 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,"청각
언어력
시각",실내,-,-,-,-,[4111]작가,[2811]작가,[J602]텔레비전 방송업,2012,-
닥피고해원,표백된 닥피의 섬유를 분해하기 위하여 비터기(Beater)를 조작하거나 방망이로 두들긴다.,"생산할 한지에 따라 원료인 표백닥피, 펄프, 탈묵고지를 적정 비율로 비터기 안에 채운다. 급수밸브를 조작하여 적당량의 물을 넣는다. 교반모터의 작동스위치를 조작한다. 원료의 분해·교반상태를 확인하기 위하여 비터기(Beater) 내의 원료를 만져본다. 알맞게 분해교반된 원료를 탈수시키기 위해 비터기의 배수밸브를 조작한다. 탈수된 원료를 용기에 담아 다음 공정으로 운반한다. 한지를 제조하는 데 필요한 원료를 만들기 위하여 소비자 또는 생산계획에 따라 닥피, 펄프를 배합하는 일을 하기도 한다.",6년 초과 ~ 9년 이하(중졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (제어조작),보통 작업,-,실내,다습,비터기조작원,-,-,[8822]펄프·종이 제조장치 조작원,[8913]펄프 및 종이 제조 장치 조작원,"[C171]펄프, 종이 및 판지 제조업",2017,-
