직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
바니시제조원,"전선제조 공정 중 전선절연 작업에 사용되는 바니시(Varnish)를 제조하기 위해서 각종 화학 수지, 촉매, 용제와 착색염료 등을 배합비, 배합온도, 배합시간 등에 맞춰서 배합한다.","배합기의 필터·펌프·스팀 등을 점검하고 소형 케틀(Kettle)에 염료의 용재를 배합비에 따라 개량·투입·교반하여 착생원액을 만든다. 크레졸, 자일렌, 솔벤트, 레진 등의 재료를 저울로 계측한 후 배합비율에 맞춰서 배합기에 투입한다. 배합기를 가동시키고 배합기 내부의 반응 상태를 관찰하고 내부 온도를 조정한다. 점도계, 오븐, 저울 등을 사용해서 배합된 바니시의 점도, 비중 등을 검사한다. 시료를 채취하여 점도를 확인한다. 화학분해 장치를 사용해서 바니시의 화학적 성분이 명세서와 일치하는지 검사한다.",9년 초과 ~ 12년 이하(고졸 정도),1년 초과 ~ 2년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,니스제조원,-,-,[8512]화학물 가공장치 조작원,[8312]화학물 가공 장치 조작원,[C204]기타 화학제품 제조업,2016,-
바디수리원,직기 바디의 불량을 점검하여 청소하고 수리한다.,바디를 작업대의 틀에 올려놓고 솔이나 공기호스를 사용하여 바닥의 섬유부스러기나 수지를 청소한다. 와이어의 정렬이 바른지 바디의 거친 가장자리와 깨진 곳의 유·무 등에 대한 조사한다. 마이크로미터 및 필러게이지를 사용하여 바디의 두께 및 간격을 확인한다. 수동공구를 사용하여 구부러진 와이어를 펴서 정렬한다. 부서진 와이어를 납땜한다. 바디의 상태에 따라 경석·석회·사포·회전 브러시 등을 사용하여 바디를 닦는다. 새로운 바디를 검사하고 크기에 따라 수리한 바디와 함께 저장한다. 바디의 수치 및 이동을 기록한다. 고장 난 직기바디를 교체하기도 한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,-,실내,"대기환경미흡
위험내재
소음·진동",직기바디정비원,-,"기계정비기능사, 기계정비산업기사",[8111]공업기계 설치·정비원,[7531]공업기계 설치 및 정비원,[C132]직물직조 및 직물제품 제조업,2015,-
바닥천부착원,"기어펌프, 분무기, 솔, 바가지 등을 사용하여 섬유사가 천에서 빠지지 않게 양탄자의 뒷면에 라텍스를 바르고 바닥천(Jute)을 부착하여 섬유사를 고정한다.","양탄자의 밑면을 위쪽으로 하여 작업대에 올려놓고고정 못을 사용하여 가장자리를 고정한다. 기어펌프, 분무기, 솔, 바가지 등을 사용하여 안감에 라텍스를 분무하거나 칠하고 바르게 편다. 그 위에 천을 덮고 밑면과 후포가 접착되도록 밀대로 밀고 천 가장자리를 가위로 자른다. 양탄자를 건조하기 위해 트랙설비가 된 건조기의 속도와 온도를 조절하는 손잡이나 레버를 조작한다. 다음 공정을 위해 양탄자를 틀에서 떼어 바닥에 놓는다. 양탄자와 바닥천을접착제를 사용하지 않고 열로 접착하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (수동조작),보통 작업,웅크림,실내,"대기환경미흡
고온
소음·진동","라미네이팅작업원, 마대부착원, 아마포부착원, 주트부착원, 후포부착원",-,-,[8629]기타 섬유·가죽 기능원,[7219]기타 섬유 및 가죽 관련 기능 종사원,[C139]기타 섬유제품 제조업,2016,-
바디페인팅아티스트,상품의 가치를 높이고 홍보하기 위해 모델의 전신에 그림을 그리거나 깃털 등 장식품을 치장한다.,"고객(이벤트사)으로부터 홍보제품의 콘셉트, 홍보장소, 행사규모 등을 파악한다. 바디 페인팅할 내용을 종이 등에 디자인한다. 디자인한 결과를 고객과 협의하고 필요하면 수정한다. 홍보제품과 디자인한 내용을 토대로 적합한 모델을 선정한다. 업무를 수행하기 위해 기본적으로 필요한 재료 등을 준비한다. 모델의 전신에 그릴 내용을 사진을 보거나 창작하여 연필로 스케치한다. 에어브러시, 수성물감, 아이섀도, 파운데이션 등을 사용하여 모델의 전신에 그림을 그리거나 깃털 등의 장식품을 사용하여 작품을 완성한다. 작업 후 물감이나 도구 등을 정리한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,"웅크림
손사용
시각",실내,-,바디페인터,-,-,[5114]메이크업 아티스트 및 분장사,[4224]메이크업 아티스트 및 분장사,[R901]창작 및 예술관련 서비스업,2012,-
바렐기조작원,주조된 제품의 표면을 다듬기 위한 바렐기를 조작한다.,주조된 제품을 인계받아 연마부위와 이물질이 없는지 등을 관찰한다. 연마설비를 점검하고 연마기의 바렐통에 주조품과 연마석을 일정 비율로 산정하여 투입한다. 기계를 가동하여 진동을 주어 제품의 이물질 및 모서리 부위의 제거 및 연마를 한다. 연마된 제품을 세척하고 열풍기를 가동하여 건조한다. 완료된 제품을 검사한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
소음·진동","바렐원, 주조물연마원",-,-,[8132]금속 공작기계 조작원,[8510]금속 공작 기계 조작원,[C243]금속 주조업,2015,-
바리스타,"고객이 주문한 에스프레소, 카푸치노, 아메리카노 등의 커피를 커피머신을 조작하거나 사이펀, 드리퍼 등 기기를 사용하여 고객의 기호에 맞게 조리하여 제공한다.","조리할 재료를 준비하고 커피머신 등의 작동상태를 확인한다. 고객의 주문을 확인하고 원두를 갈고 커피머신을 작동하여 커피를 추출한다. 커피에 따라 우유, 크림 등을 넣고 하트, 꽃, 동물 등 다양한 그림을 그려낸다. 사이펀이나 드리퍼 등을 사용하여 원두 미세정도(분쇄도), 물의 온도, 투입량 등을 고려하여 수제 커피를 우려낸다. 조리한 커피를 고객에게 제공한다. 커피 원료인 원두의 재고를 파악하여 주문하거나 관리한다. 커피추출기구 등 커피관련 기기나 장비를 유지관리한다. 커피의 생두를 볶거나 원두의 상태나 등급을 평가하고 감정하기도 한다. 교육훈련생을 대상으로 교육하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (서비스 제공) / 사물 (수동조작),가벼운 작업,-,실내,고온,"커피전문가, 커피마스터","커피로스터, 커피원두감별사",-,[5317]음료 조리사,[4415]음료 조리사,[I562]주점 및 비알코올 음료점업,2019,-
바이오가스플랜트발전시스템기술자,바이오가스발전플랜트의 각종 기계제어시스템을 설치한다.,"바이오가스로부터 전력을 생산하기 위해 바이오가스플랜트에 보일러, 터빈발전기, 콘트롤러 등을 설치한다. 바이오가스의 생산 및 저장, 정제, 발전을 위한 각종 시설을 설치한 후 전기공사를 통해 각각의 기능을 연결한다. 혐기성 소화조, 폐수정화시설, 발전기 등을 모니터링하고 원격제어하기 위해 원격모니터링 제어시스템을 설치한다. 시험가동을 통해서 정상적인 작동 여부를 체크하고 이상이 있는 부품과 연결부위를 정비·교체한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (관련없음) / 사물 (설치),보통 작업,"균형감각
웅크림",실외,대기환경미흡,-,-,설비보전기사,[1511]기계공학 기술자 및 연구원,[2351]기계공학 기술자 및 연구원,[F412]토목 건설업,2015,-
바이오가스플랜트설계기술자,바이오가스발전플랜트의 각종 기계제어시스템을 설계하고 개발한다.,"저류조, 혐기소화조, 가스저장조, 토양악취저감시스템, 열병합발전시스템 등 바이오가스플랜트시설의 시스템을 연구하고 기본설계를 한다. 펌프, 밸브, 압축기, 터빈, 냉동기 등 바이오가스플랜트의 핵심기계를 설계하고 시제품을 개발한다. 바이오가스플랜트에서 발생하는 누설, 화재 및 폭발 등 사고로부터 인명과 설비를 안전하게 보호하기 위한 안전설계기술과 신뢰성 향상기술을 연구한다. 플랜트의 수명연장, 신뢰성 확보를 위한 위험요소 및 고장예측기술과 신뢰성평가기술을 연구한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,시각,실내,-,-,-,설비보전기사,[1511]기계공학 기술자 및 연구원,[2351]기계공학 기술자 및 연구원,[F412]토목 건설업,2015,-
바이오가스플랜트유지관리원,바이오가스를 이용해 전력을 생산하는 바이오가스 플랜트의 각종 시설과 설비를 유지·관리한다.,"간이소각기, 탈취분사 시설, 전력생산시설, 외곽헤더관 등 바이오가스를 이용해 전력을 생산하기 위한 플랜트 설비의 시설 유지관리를 한다. 보일러, 터빈, 급수펌프, 순환수펌프, 복수펌프, 냉각탑, 폐수처리 계통 등 각종 설비에 이상이 없는지 점검하고, 고장이 발생하면 바이오가스플랜트설비기술자에게 보고한다. 소방시설, 안전 및 재해방지 관리를 한다. 악취 제거시설을 이용해 악취를 제거하고 오염을 관리하는 등 주변환경 정비활동을 한다. 나무와 꽃을 심어 녹지를 조성하는 등 환경개선사업을 하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),4년 초과 ~ 10년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,"균형감각
웅크림",실외,대기환경미흡,LFG발전시설관리자,-,-,[8511]석유·천연가스 제조 제어장치 조작원,[8311]석유 및 천연가스 제조 관련 제어 장치 조작원,[D351]전기업,2022,-
바이오농약연구원,"자연계에 존재하는 물질과 생물체를 이용하여 농작물에 피해를 미치는 병원균, 해충 및 잡초 등을 방제하는 작물보호제를 연구·개발한다.","바이오농약 개발을 위해 토양, 하천 등에서 유용 미생물을 분리하여 식물 병해충 방제작용이 있는지 여부를 탐색한다. 분자 생물학적 방식 등을 활용하여 미생물을 동정(생물의 종류와 이름을 확인하는 것)한다. 항균 활성, 항해충 활성, 식물병 유도 저항성, 식물생장촉진 능력 등 미생물의 작용을 평가하고 어떤 과정을 거쳐 식물에 작용하는지 작용기작을 규명한다. 미생물의 배양조건을 규모에서 조사하여 최적 배양 조건을 연구하고 생산 공정 설계 및 제제화 공정을 통해 실제 제품화를 연구한다. 제품이 농업환경에 투입되었을 경우 작물 및 환경에의 안전성을 실험작물에 적용하여 시험한다. 병충해 방제작용을 하는 식물추출물, 식물성오일 등과 같은 천연물질을 탐색하여 개발하고, 유효성분의 추출과 제제화 및 제형화 공정을 통한 제품화를 연구한다.",16년 초과(대학원 이상),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,시각,실내,-,생물농약연구원,"미생물농약연구원, 생화학농약연구원",-,[1541]화학공학 기술자 및 연구원,[2321]화학공학 기술자 및 연구원,[C204]기타 화학제품 제조업 / [M701]자연과학 및 공학 연구개발업,2016,-
