직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
차관,중앙행정기관의 정무직 공무원으로서 소속 장관을 보좌하고 장관의 직무를 대행하여 수행한다.,각 원·부·처의 장관을 보좌한다. 장관의 위임을 받아 소속기관의 사무를 처리한다. 소속 공무원을 지휘·감독한다. 장관의 부재 시에는 그 직무를 대행한다.,14년 초과 ~ 16년 이하(대졸 정도),10년 초과,자료 (조정) / 사람 (협의) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,,"기획재정부차관, 교육부차관, 과학기술정보통신부차관, 외교부차관, 통일부차관, 법무부차관, 국방부차관, 행정안전부차관, 문화체육관광부차관, 농림축산식품부차관, 산업통상자원부차관, 보건복지부차관, 환경부차관, 고용노동부차관, 여성가족부차관, 국토교통부차관, 해양수산부차관, 중소벤처기업부차관 등 각 행정부처 차관, 경호처장, 국가정보원차장, 국가정보원기획조정실장, 감사원사무총장, 감사원감사위원, 방송통신위원회부위원장, 방송통신위원회상임위원, 원자력안전위원회부위원장, 국회사무처사무차장, 국회사무처입법처장, 국회예산정책처장, 국회입법조사처장, 법제처장, 국가보훈차장, 공정거래위원회 부위원장, 국민권익위원회 부위원장, 인사혁신처장, 식품안정처장, 각 청장 (병무청장, 방위사업청장, 경찰청장, 소방청장, 문화재청장, 농촌진흥청장, 산림청장, 특허청장, 기상청장, 질병관리청장), 국무조정실차장, 국무총리비서실장, 정무수석비서관, 국민소통수석비서관, 민정수석비서관, 시민사회수석비서관, 인사수석비서관, 일자리수석비서관, 경제수석비서관, 사회수석비서관, 경제보좌관, 과학기술보좌관, 고위공직자수사처장 등 차관급 인사",,[0111]의회의원·고위공무원 및 공공단체임원,[1110]의회 의원·고위 공무원 및 공공단체 임원,[O841]입법 및 일반 정부 행정,2021,-
차량사고처리원,"회사에 소속되어 있는 영업택시, 버스 및 화물차와 관련한 사고발생 시 원인을 확인하고 사고를 처리한다.","사고발생시 보고를 받고 사고발생을 접수한다. 경미한 사고인 경우 사고차량번호, 운전기사, 사고원인 및 사고범위 등 현장상황에 대한 운전기사의 설명을 듣고 사고처리방법을 제시한다. 운전기사가 촬영한 사진 및 약도를 확인하고, 가해자 및 피해자와 면담하여 과실을 규명한다. 경찰서 및 보험회사와 협의하여 보험 및 보상에 필요한 서류자료를 준비·작성하여 이관한다. 대형사고의 경우 사고현장에 출동하여 사고상황을 파악한다.",12년 초과 ~ 14년 이하(전문대졸 정도),4년 초과 ~ 10년 이하,자료 (수집) / 사람 (협의) / 사물 (관련없음),가벼운 작업,시각,실내·외,-,차량사고처리사무원,"버스사고처리원, 택시사고처리원, 화물차사고처리원",,[0282]운송 사무원,[3126]운송 사무원,[H492]육상 여객 운송업,2021,-
차량용 데이터 플랫폼·응용 개발자,"차량용 빅데이터를 효율적으로 취득 및 저장 후 가공, 분석하는 데이터 플랫폼 구축하고 구축 플랫폼을 기반으로 새로운 가치를 창출하는 데이터 응용 관련 하드웨어 및 소프트웨어를 개발한다.","차량용 데이터의 특성을 이해하고 운행환경 파악 및 분석 후 차량 운행과 서비스에 필요한 유스케이스·시나리오를 정의하고 관련한 기능, 기술에 대한 솔루션을 개발하고 제공한다. 차량용 데이터 요구사항을 바탕으로 내부와 외부 데이터를 연계한 부품, 시스템 개발방법론을 결정하고 기능 구현에 필요한 데이터 라이프사이클(수집-저장-분석-활용) 간의 구조를 설계한다. 차량용 데이터의 요구사항과 아키텍처를 수용할 수 있는 전용 데이터 플랫폼을 구축하고 응용분야별 데이터 플랫폼를 활용한 ML/DL(머신러닝/딥러닝) 기반 차량용 소프트웨어 기술 개발을 수행한다. 차량용 데이터의 보안 요구사항을 바탕으로 데이터 플랫폼 및 부품·시스템을 개발하기 위해 보안 위협요소를 분석하고 설계하며, 데이터 통신 및 서비스의 보안성을 제공하기 위한 소프트웨어를 개발한다. 차량용 데이터 플랫폼 및 부품·시스템의 시험방법을 정의하고 기능에 대한 시험 및 평가를 하여 잠재적 결함을 식별한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (관련없음) / 사물 (제어조작),아주 가벼운 작업,-,실내,-,-,-,"임베디드기사, 정보처리산업기사, 정보처리기사, 정보통신산업기사, 정보통신기사, 정보보안기사, 빅데이터분석기사, 국가공인데이터분석전문가/준전문가",[1331]시스템 소프트웨어 개발자,[2222]시스템 소프트웨어 개발자,[J582]소프트웨어 개발 및 공급업,2024,-
차량임대사무원,"승용차, 버스 및 기타 차량의 임대를 원하는 고객에게 차량을 소개하고 임대계약을 체결한다.","전화, 또는 인터넷상에서 차량예약을 관리한다. 차량 임대에 대한 고객의 방문 또는 전화문의에 응대한다. 방문한 고객의 운전면허증을 확인하고 인적사항을 기재한다. 차종별 임대료, 차종 등을 소개하고 임대일정을 상담한다. 임대차량의 종류, 일정, 임대조건이 포함된 계약서를 전산입력하고 출력하고 서명을 받는다. 차량의 외관상태를 확인한 후 차량열쇠를 전달한다. 고객이 원할 경우 운전기사를 소개하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (설득) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,"임대차량계약원, 렌터카임대사무원, 자동차대여원, 렌터카담당원","승용차임대사무원, 버스임대사무원, 화물자동차임대사무원, 항공기임대사무원, 선박임대사무원, 모터사이클임대사무원, 컨테이너임대사무원, 중장비대여원, 농업용기계대여원",-,[6154]상품 대여원,[5220]상품 대여원,[N761]운송장비 임대업,2013,-
차량주유원,"가솔린, 디젤 등 각종 차량의 연료 종류에 맞는 연료를 주유기를 사용하여 주유한다.","위험물 취급과 관련된 기본사항을 숙지한다. 주유를 원하는 차량의 종류(가솔린차량, 디젤차량, 가솔린 및 디젤차량)와 주유구의 위치를 파악하여 차량을 적절한 주유기 옆으로 인도한다. 주유기를 사용하여 적절한 양을 주유하고 대금을 정산한다. 소비자의 요구에 따라 워셔액, 부동액, 엔진첨가제 등을 판매하기도 한다.",6년 초과 ~ 9년 이하(중졸 정도),시범후 30일 이하,자료 (비교) / 사람 (서비스 제공) / 사물 (투입-인출),가벼운 작업,-,실내·외,"대기환경미흡
위험내재","주유원, 주유판매원",-,-,[6157]주유원(가스충전원),[9531]주유원,[G477]연료 소매업,2013,-
차량통행료징수원,"유료로 운영되는 고속도로, 터널, 교량 등의 차량통행요금을 징수한다.","통행료 징수방식에 따라 진입차량에 차종별, 행선지별로 요금을 받고 통행권을 발행하거나, 진출차량의 통행권을 회수하여 이용거리에 따른 통행료를 징수한다. 부정운행차량을 단속하고 계도한다. 도로진입 차량 대수를 확인하여 차량진입로를 넓히거나 좁힌다. 유로통행터널의 진입구에 투입하는 동전을 관리하며, 동전교환업무를 수행하기도 한다. 적재중량을 초과한 차량의 도로진입을 통제하기도 한다.",6년 초과 ~ 9년 이하(중졸 정도),시범후 30일 이하,자료 (계산) / 사람 (서비스 제공) / 사물 (관련없음),보통 작업,-,실내·외,"대기환경미흡
소음·진동","톨게이트정산원, 통행료정산원, 통행료징수원, 톨비정산원",-,-,[6161]매장 계산원 및 요금 정산원,[5214]매장 계산원 및 요금 정산원,[H529]기타 운송관련 서비스업,2013,-
차배전기조작원,각종 차와 커피를 제조하고자 원료를 볶는 배전기(Roaster)를 조작·관리한다.,"제품(차, 커피 등)의 종류에 따라 원료를 선별·분리하고 계량용기(Hopper Scale:자동계량설비)에 투입한다. 원료를 균일한 온도로 볶기 위하여 교반기를 작동시킨 후, 배전기 내부의 온도가 일정하게 유지되는지 관찰한다. 자동 계량된 원료를 배전기의 호퍼(Hopper)에 투입한 후, 배전기를 가동하고 원료가 균일하게 볶아지는지 관찰한다. 이때 온도가 너무 높거나 낮아서 차나 커피의 향과 맛이 떨어지지 않도록 작업표준을 준수한다. 작업 중인 원료의 색상을 살피고 제품 표준과 비교하여 조정판의 배전 시간을 조정한다. 원료의 볶아진 상태를 작업표준과 비교하며 필요시 배전기의 온도 및 시간을 다시 입력·조정한다. 다 볶아진 원료는 컨베이어를 사용하여 원료 저장탱크로 이송한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,로스터조작원,커피로스터조작원,"식품산업기사, 식품가공기능사",[8735]음료 제조기계 조작원,[8120]음료 제조 관련 기계 조작원,[C107]기타 식품 제조업,2016,-
차배합기조작원,"각종 차, 커피를 제조하고자 볶은 원료에 식품첨가물(커피의 경우는 다른 맛이 나는 커피)을 일정 비율로 배합하는 기계를 조작·관리한다.","배합지시서를 확인한 후 계량용기를 사용하여 원료를 계량하고 배합기에 투입한다. 제품에 맞는 식품첨가물(설탕, 우유, 유화제, 안정제, 향료 등)을 배합기에 투입한 후, 교반기를 가동하여 원료와 고르게 배합되도록 한다. 커피를 배합할 때에는 특정한 맛이 부족한 원두와 그 맛을 보충해 줄 수 있는 원두를 배합한다. 제품에 따라 정해진 시간 동안 배합한 후 견본을 채취하여 향, 맛, 색상 등으로 배합상태를 검사하고 제품 표준과 비교한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,-,-,"식품산업기사, 식품가공기능사",[8735]음료 제조기계 조작원,[8120]음료 제조 관련 기계 조작원,[C107]기타 식품 제조업,2016,-
차분쇄기조작원,"배전·배합공정을 거친 각종 차, 커피를 추출과 포장이 용이하도록 분쇄하는 기계를 조작·관리한다.","제품규격에 따라 분쇄기의 롤러(Roller) 간격을 알맞게 조절한 후 원료(차, 커피)를 분쇄기에 투입한다. 분쇄기를 가동하고 분쇄상태를 관찰한다. 이때 분쇄된 크기는 추출속도를 결정하므로, 어느 정도 크기로 분쇄할지 작업표준을 준수한다. 특히 커피의 경우는 추출 기구에 따라 입자 크기(입도)를 달리해야 한다. 분쇄기의 배출구로 분쇄되어 나오는 원료의 견본을 채취하여 분쇄된 입자의 크기가 제품 표준과 일치하는지 검사한다. 분쇄가 완료되면 제품에 맞게 다음 공정(추출, 농축, 포장 공정 등)으로 컨베이어를 가동해 이송한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,-,-,"식품산업기사, 식품가공기능사",[8735]음료 제조기계 조작원,[8120]음료 제조 관련 기계 조작원,[C107]기타 식품 제조업,2016,-
차선도색보조원,"고속도로, 일반도로, 활주로, 주차장 등 노면에 차선을 표시하는 차선도색반장 및 차선도색원을 보조한다.","차선도색 준비작업을 위하여 붓과 페인트로 노면에 점을 찍는다. 페인트를 공급탱크나 드럼에 투입한다. 차선도색작업을 할 때 차단봉(라바콘)을 차선 옆에 일정 간격으로 놓는다. 다른 차량이 차선도색차량에 접근하는 것을 방지하거나, 도색된 차선에 차량이 지나가지 못하도록 교통정리를 한다.",6년 초과 ~ 9년 이하(중졸 정도),약간의 시범정도,자료 (비교) / 사람 (말하기-신호) / 사물 (단순작업),보통 작업,"균형감각
웅크림",실내·외,위험내재,"특수도장보조원, 차선도장보조원","하는 일에 따라 중앙선도색보조원, 주차구역도색보조원",,[7026]건축 도장공,[7836]건축 도장공,[F412]토목 건설업,2014,
