직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
하수슬러지연료화연구원,하수슬러지 연료화 시 가장 큰 문제점인 함수율 조정 및 탄화도의 균질성을 개선하기 위한 연구를 한다.,"저발열량 덩어리 형태의 하수슬러지 함수율과 물리적 특성을 분석한다. 다양한 입자크기로 건조된 하수슬러지의 함수율을 측정하여 입자크기, 건조시간, 건조온도에 따른 에너지 효율성을 분석한다. 건조에너지 효율을 향상시키기 위해 가장 적당한 미립화율을 계산한다. 입자상태로 건조된 하수슬러지 탄화도의 균질성을 갖기 위해 건조기와 열풍기의 최적 온도와 시간을 추론한다. 입자상태의 하수슬러지 함수율과 탄화도를 분석하고 에너지효율을 극대화하기 위해 폐기물자원화설계기술자와 설계부분을 협의한다. 최종 생산물인 분말슬러지 열량을 측정하여 적정성을 판정한다.",16년 초과(대학원 이상),1년 초과 ~ 2년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,-,실내,-,-,-,-,[1541]화학공학 기술자 및 연구원,[2321]화학공학 기술자 및 연구원,[M701]자연과학 및 공학 연구개발업,2016,-
하수오니처리기술자,하수처리 과정에서 발생되어 침전된 슬러지를 제거하고 주변 환경을 관리·감독한다.,"수처리 과정에서 발생된 슬러지를 농축조, 소화조 및 탈수기로 적정 관리하여 슬러지를 위생적으로 처리한다. 슬러지 처리시설의 효율을 주기적으로 점검하고 탈수약품을 적정 투입하여 슬러지 케익의 함수율을 조절한다. 농축조, 소화조 및 탈수기에서 발생하는 악취를 포집하여 탈취한다. 슬러지처리를 위한 전기, 기계 및 계장 시설물을 효과적으로 유지·관리하여 안전사고 및 감전사고에 대비하고 관련 현장 담당자를 지도·감독한다.",14년 초과 ~ 16년 이하(대졸 정도),1년 초과 ~ 2년 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (정밀작업),가벼운 작업,-,실내,"대기환경미흡
위험내재
다습
소음·진동",,,"수질관리기술사, 수질환경기사, 수질환경산업기사, 폐기물처리기술사, 폐기물처리기사, 폐기물처리산업기사, 환경기능사",[1553]환경공학 기술자 및 연구원,[2371]환경공학 기술자 및 연구원,"[E370]하수, 폐수 및 분뇨 처리업",2022,
하수처리기술자,생활활동에서 발생되는 하수를 일련의 단위처리공정으로 조합된 하수처리시설로 정화시킨다.,"하수처리설비의 전기, 기계 및 계장 시설물을 유지·관리하면서 유입되는 하수를 침사지, 유입펌프장, 침전지, 포기조, 최종침전지 등을 거쳐 정화한다. 처리 관련 현장을 지도 및 감독하고 홍수에 대비하여 하수의 역류현상을 방지하고자 수방대책을 계획, 수립 및 실행한다. 유입하수와 방류하수의 생물학적 산소요구량, 총질소, 총인, 포기조의 용존산소량 등의 측정 자료를 검토하여 하수처리시설의 효율을 점검하고, 보완·개량시킨다.",12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (정밀작업),보통 작업,-,실내·외,"대기환경미흡
위험내재
소음·진동",,,"수질관리기술사, 수질환경기사, 수질환경산업기사, 환경기능사",[1553]환경공학 기술자 및 연구원,[2371]환경공학 기술자 및 연구원,"[E370]하수, 폐수 및 분뇨 처리업",2022,
하수처리설비중앙제어원,중앙 대형 컴퓨터로 하수처리 공정을 감시·제어하며 분산제어 시스템 설비를 관리한다.,"중앙 대형컴퓨터 시스템 및 네트워크를 이용하여 공정감시, 공정제어, 자료관리, 시스템 유지관리, 계측기 유지관리 업무를 시행한다. 공정별로 기기 운전상태를 확인하고 모니터를 보면서 유량, 수위 등이 정상적으로 작동되는지, 각종 계측기 지시상태와 시스템별 경보기 및 현재 작업상태 등에 이상이 없는지 감시한다. 수시로 시스템이 자동운전이 되고 있는지 무인카메라로 확인하며 유량값 등을 현장과 협의하여 조정한다. 매일 종합 가동일지를 출력하여 자료를 분석하고 시스템설비의 유지를 위하여 현장 신호전송반 패널을 점검하고 하수처리장 컴퓨터 시스템, 데이터 등을 관리한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (제어조작),아주 가벼운 작업,-,실내,-,,,"수질관리기술사, 수질환경기사, 수질환경산업기사, 환경기능사",[8531]상·하수도 처리장치 조작원,[8810]상하수도 처리 장치 조작원,"[E370]하수, 폐수 및 분뇨 처리업",2022,하수처리기술자에 직무 포함 필요
하수처리시설관리자,"하수의 처리장치 및 부대시설물을 유지·관리하고 시설개선을 위한 계획, 지도, 안전진단 및 감독업무 등을 수행한다.","주기적인 순찰실시로 하수의 외부 유출을 방지하고 하수처리시설 내 우수 토실·토사 준설작업을 시행한다. 건축, 토목시설물 및 수도시설의 보수·개량 공사를 시행하고 도로보수 작업을 한다. 하수처리시설 내 체육시설 및 조경시설물을 유지·관리하고 분기별 및 반기별로 하수처리시설 내 정기 점검을 실시하여 재난 및 안전사고를 예방한다. 동절기에는 재설대책을 계획하고 수립한다.",14년 초과 ~ 16년 이하(대졸 정도),6개월 초과 ~ 1년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (정밀작업),가벼운 작업,-,실내·외,"대기환경미흡
위험내재
다습
소음·진동",하수시설관리원,,"토목기사, 토목산업기사, 건축기사, 건축산업기사, 수질관리기술사, 수질환경기사, 수질환경산업기사, 환경기능사",[1553]환경공학 기술자 및 연구원,[2371]환경공학 기술자 및 연구원,"[E370]하수, 폐수 및 분뇨 처리업",2022,
하수처리장치조작원,"하수를 처리하기 위하여 탱크, 펌프, 열교환기, 반응탑, 침전장치, 농축조, 탈취장치 등의 처리설비를 관리·조작한다.","처리설비의 처리능력 및 가동상황을 점검·확인하고 생물반응조의 미생물 농도를 확인한다. 하수의 유입구 및 부유물 제거장치의 가동상태를 확인하고 하수의 유입량을 점검한다. 펌프, 열교환기, 반응조, 침전장치, 농축조, 탈취장치 등에 부착된 각종 기록계기 및 산도계(pH meter)를 점검하여 정상가동 여부를 확인하고 미생물의 농도를 조절한다. 수시로 처리수의 견본을 채취하여 산도, 생화학적 산소요구량 등을 검사하여 설비를 재조정한다. 각종 설비의 가동상태를 점검하여 누수, 파손, 부식 등의 이상 유무를 확인한다.",12년 초과 ~ 14년 이하(전문대졸 정도),1년 초과 ~ 2년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (제어조작),가벼운 작업,-,실내·외,"위험내재
다습
소음·진동",,분뇨처리장치조작원,"수질관리기술사, 수질환경기사, 수질환경산업기사, 환경기능사",[8531]상·하수도 처리장치 조작원,[8810]상하수도 처리 장치 조작원,"[E370]하수, 폐수 및 분뇨 처리업",2022,하수처리기술자에 직무 포함 필요
하역검수원,"적하목록에 따라 선박화물의 수량, 손상여부 등을 점검·기록한다.","적하목록(Cargo Manifest:積荷目錄,선박 또는 항공기가 적재하고 있는 화물의 목록)을 검토하고 실제 화물의 수량과 비교하여 목록과 일치하는지 확인한다. 선적 시 목록과 화물의 수량을 대조하고 화물의 손상여부를 확인한다. 수량부족이나 화물손상이 있으면 검수표에 기록하고 이를 보고한다.",12년 초과 ~ 14년 이하(전문대졸 정도),1년 초과 ~ 2년 이하,자료 (비교) / 사람 (관련없음) / 사물 (관련없음),보통 작업,시각,실내·외,"다습
소음·진동",,,검수사,[0283]자재·구매·물류 사무원,[3123]자재 관리 사무원,[H529]기타 운송관련 서비스업,2013,
하역기중기조종원,철광석·석탄 등의 원료나 컨테이너 화물을 선박에 싣거나 내리기 위해 하역기중기를 운전한다.,"하역순서와 선적순서를 숙지한다. 기중기 및 주요 장비, 기중기의 붐(Boom)·밧줄·와이어로프 등의 안전성 여부에 대하여 운전하기 전 또는 후 검사일지에 명시된 사항을 점검하고 시운전하며 고장 시 정비부서에 수리를 의뢰한다. 조정기나 레버를 조작하여 기중기를 선박의 갑판이나 선창 위로 하강시킨다. 조정기를 조작하여 화물을 들어 올리고 부두나 선창 또는 갑판 위에 내려놓는다. 일일 작업량 및 수리점검 상황을 기록한다.",6년 초과 ~ 9년 이하(중졸 정도),2년 초과 ~ 4년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (조작운전),보통 작업,손사용,실외,"위험내재
고온
소음·진동",하역기중기운전원,-,"기중기운전기능사, 양화장치운전기능사",[6230]물품이동장비 조작원(크레인·호이스트·지게차),[8740]물품 이동 장비 조작원,[F426]건설장비 운영업,2013,-
하역반장,원료 및 제품 등을 선박에 싣거나 내리기 위하여 하역장비 및 반입·반출 설비를 운전하거나 이에 종사하는 작업원의 활동을 감독·조정한다.,"업무의 내역, 적재공간, 선적지시 등을 고려하여 하역작업에 필요한 인원, 장비, 시간, 방법 및 절차 등을 결정한다. 작업원에 대한 직무교육 및 안전위생교육을 통하여 직무수행능력을 향상시키고 안전재해 예방을 한다. 화물을 선적하거나 하역하는 작업이 안전규정에 위배되는지 확인하고 감독한다. 작업인원·장비·시간·작업량 등 작업내용을 작업일지에 기록하고 관련 부서에 제출한다.",9년 초과 ~ 12년 이하(고졸 정도),4년 초과 ~ 10년 이하,자료 (조정) / 사람 (감독) / 사물 (단순작업),보통 작업,-,실내·외,"대기환경미흡
위험내재",-,-,-,[6244]하역·적재 종사원,[9210]하역 및 적재 단순 종사원,[H529]기타 운송관련 서비스업,2013,-
하역원,"목적지까지 운송하거나 목적지에 도착한 원료 및 제품을 선박이나 부두, 화물차, 열차, 항공기 등에 적재 및 하역한다.","작업지시서나 하역반장의 지시에 따라 작업방법 및 절차를 숙지한다. 필요한 장비 및 도구를 사용하여 화물을 부두, 선박, 항공기, 열차 및 화물차 등에 운반하여 적재하거나 하역한다. 적재한 화물이 파손되지 않도록 로프를 사용하여 고정한다. 화물을 분류하고 정리하기도 한다.",6년 초과 ~ 9년 이하(중졸 정도),시범후 30일 이하,자료 (비교) / 사람 (관련없음) / 사물 (투입-인출),힘든 작업,웅크림,실내·외,-,-,"근무하는 장소에 따라 부두하역원, 선박하역원, 화물운반원, 항공하역원, 철도하역원, 육상화물하역원, 가구하역원, 상하차원",-,[6244]하역·적재 종사원,[9210]하역 및 적재 단순 종사원,[H529]기타 운송관련 서비스업,2013,-
