채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
브랜드사 화장품 SCM 구매/물류,"※ 성분에 집중한 클린뷰티, 주식회사 야다

투명한 성분만을 담은 정직한 스킨케어 브랜드.
야다는 '지혜를 깨우치다' 라는 의미를 담고있습니다. 우리는 소비자가 지혜롭게 제품을 선택할 수 있도록, 투명한 성분만을 사용해 건강한 스킨케어를 만들어갑니다.

어떤 피부도 안심할 수 있도록, 야다는 '성분에 대한 진정성 있는 고민'으로부터 시작했습니다.
자연이 키워낸 줄기와 뿌리, 열매 등 자연으로부터 얻은 건강한 성분의 힘을 믿습니다.
피부도, 지구도 생각한 비건 화장품을 지향하며, 본질에 집중한 건강한 스킨케어를 만들어갑니다.

2011년부터 안티 티 라인을 시작으로 건강한 피부를 위한 비건 포뮬러를 끊임없이 연구해 왔습니다.
단 한 가지의 유해 성분도 타협하지 않으며, 피부 친화적인 식물 유래 성분을 발굴합니다.
민감한 피부도 안심하고 사용할 수 있는 착한 성분만을 사용합니다.","1. 원부자재 발주 및 납기관리(자사ERP)
2. OEM/자재 및 원료 업체 핸들링 및 품질 컨트롤
3. 협력업체 월마감
4. 제품생산 계획 및 생산제품 원가관리
5. 거래처별 완제품 출고등록 및 일정관리(wms 운영관리)
6. 국내외 판매처별 생산 및 출고지원",• 유관 경력 보유,"• 화장품에 대한 이해도가 높은 분
• 운전면허 소지자","WORK & LIFE
• 성수 핫플에 위치 및 자율복장
• 수평적 조직문화 및 회식 강요 X
• 정시퇴근장려
• 탄력근무제 적용 (출근시간 선택가능/9시 or 10시)
• 다양한 성장 지원 프로그램 및 신규입사자 멘토 제도
• Refresh 휴가: 승진 시 재충전 기회 제공
• 야간택시비지원: 10시이후

HEALTH CARE
• 건강검진: 일반 국가검진 지원
• 식사지원: 중·석식 무료지원

BENEFIT
• 명절선물:설날, 추석 명절에 명절 선물 지급
• 사내 스낵바 운영
• 자사몰 임직원 자사제품 50% 상시 할인
• 자사몰 복지포인 지급
• 듀얼모니터 지급
• 경조사 지원
• 생일자 선물 증정 및 조기퇴근","1. 서류전형
2. 면접진행
3. 처우협의
4. 채용확정","리프레시휴가, 식대지원, 자율복장, 커피·스낵바, 50명이하, 인원 급성장, 설립10년이상, 건강검진지원, 유연근무",2024.10.31,,서울 성동구,야다
브랜드사 화장품 품질관리 담당자,"※ 성분에 집중한 클린뷰티, 주식회사 야다

투명한 성분만을 담은 정직한 스킨케어 브랜드.
야다는 '지혜를 깨우치다' 라는 의미를 담고있습니다. 우리는 소비자가 지혜롭게 제품을 선택할 수 있도록, 투명한 성분만을 사용해 건강한 스킨케어를 만들어갑니다.

어떤 피부도 안심할 수 있도록, 야다는 '성분에 대한 진정성 있는 고민'으로부터 시작했습니다.
자연이 키워낸 줄기와 뿌리, 열매 등 자연으로부터 얻은 건강한 성분의 힘을 믿습니다.
피부도, 지구도 생각한 비건 화장품을 지향하며, 본질에 집중한 건강한 스킨케어를 만들어갑니다.

2011년부터 안티 티 라인을 시작으로 건강한 피부를 위한 비건 포뮬러를 끊임없이 연구해 왔습니다.
단 한 가지의 유해 성분도 타협하지 않으며, 피부 친화적인 식물 유래 성분을 발굴합니다.
민감한 피부도 안심하고 사용할 수 있는 착한 성분만을 사용합니다.","1. 화장품 브랜드사 품질관리(QC) 업무
• 화장품 완제품 품질검사 및 관리 / 제품 클레임 처리 및 개선 조치
• 협력업체(제조사 및 부자재 업체) 품질 컨트롤
• 품질검사 의뢰 및 시험 성적서 관리 / 화장품 관련 법규, 제도 모니터링

2. 화장품 법규 사항
• 제품 및 광고 등 표시문안 검수 / 화장품 법령 검토 및 문안 검수

3. 수출 서류 관리
• 국가별 수출 서류 대응 및 해외 인허가 담당",• 학력무관,"• 화장품 제조사 및 브랜드사 QC 유경험자 / 수출 인허가 관련 업무 경험자 / 운전가능자
• 1년이상 경력자 우대
• Ms-Office 및 한글 사용 가능자 우대","WORK & LIFE
• 성수 핫플에 위치 및 자율복장
• 수평적 조직문화 및 회식 강요 X
• 정시퇴근장려
• 탄력근무제 적용 (출근시간 선택가능/9시 or 10시)
• 다양한 성장 지원 프로그램 및 신규입사자 멘토 제도
• Refresh 휴가: 승진 시 재충전 기회 제공
• 야간택시비지원: 10시이후

HEALTH CARE
• 건강검진: 일반 국가검진 지원
• 식사지원: 중·석식 무료지원

BENEFIT
• 명절선물:설날, 추석 명절에 명절 선물 지급
• 사내 스낵바 운영
• 자사몰 임직원 자사제품 50% 상시 할인
• 자사몰 복지포인 지급
• 듀얼모니터 지급
• 경조사 지원
• 생일자 선물 증정 및 조기퇴근","1. 서류전형
2. 면접진행
3. 처우협의
4. 채용확정","리프레시휴가, 식대지원, 자율복장, 커피·스낵바, 50명이하, 인원 급성장, 설립10년이상, 건강검진지원, 유연근무",2024.10.31,,서울 성동구,야다
품질관리(QC),"(주)인티맥스는 반도체 장비, 비전 검사 및 공장 자동화 설비 분야의 글로벌 리더를 지향하는 스타트업 기업입니다.

판교에 본사를 두고 있으며, 현재 반도체 후공정장비와 AI 비전 검사 S/W를 기반으로 한 비전 검사 자동화 설비를 주력으로 하여 국내 뿐 아니라 글로벌 마켓에 공급하고 있습니다.

2022년 글로벌 투자 회사인 크레센도 에쿼티파트너스(유)로부터 투자를 받아, Global Tier 1 Supplier로 성장하고 동시에 IPO를 통한 기업 대형화 실현을 목표로 지속적인 R&D 투자를 하고 있습니다. 저희와 함께 성장할 창의적이고 진취적인 인재를 모십니다.","• 품질기준의 일치여부를 확인하기 위해 검사기준서 및 성적서 작성
• 납품(협력) 업체로부터 공급받은 자재의 불량 여부를 검사
• 자재 입고 이후 생산 공정에서 불량이 발생하지 않도록 양산품의 품질을 유지/관리하는 직무
• 공정 안정화를 위한 사물 검사 장비(계측기) 이력관리 및 검/교정
• 일관성 있는 품질 생산을 지원 (QC공정도, 작업지도서)
• QM 및 QA 직무 전반을 support (각종 표준문서 제/개정, ISO수검, SOP작성, 원가절감활동 등)","• 초대졸 이상 신입 지원 가능
• 관련분야 1년 이상 경력자 우대
• 남성의 경우 군필 또는 군면제 우대
• 정규직 (수습기간:3개월)","업무에 몰입할 수 있는 환경을 제공해요!
• 출퇴근 시차제
• 출퇴근 비용 지원
• 출퇴근 셔틀버스 운행
• 식사 제공 및 사내 카페테리아
• 자유로운 복장

건강한 구성원의 행복을 응원 해요!
• 자유로운 연차 사용
• 생일 휴가 및 쿠폰 지급
• 자기 개발 지원
• 단체 상해 보험
• 명절 선물",• 서류전형 ＞ 1차면접 ＞ 임원면접(필요시) ＞ 최종합격,,"51~300명, 설립4~9년, 연봉상위2~5%, 인원성장, 편의시설",2024.12.14,,경기 성남시,인티맥스
회로 Engineer,"Fulfill Your Potential!
메디트(Medit)에서 글로벌 덴탈 플랫폼 서비스를 함께 선도해갈 인재를 찾습니다.

메디트는 임상 활용 가능한 3D 구강스캐너를 개발한 회사로, 글로벌 덴탈 시장에서 매년 가파르게 성장하고 있습니다. 다양한 분야의 전문가들이 모여 뛰어난 기술력과 제품 경쟁력을 바탕으로 제품 출시 1년 만에 글로벌 업계 선두 주자로 자리 매김하며, 디지털 기술로 치과 의료 경험을 혁신해 나가고 있습니다. 강력한 디바이스를 바탕으로 축적된 3D 데이터를 AI, 머신러닝을 접목하여 유용하고 사용하기 편리한 어플리케이션을 개발하고 있으며, 전세계 치과와 기공소의 디지털 혁신을 돕는 최상의 소프트웨어 개발을 하고 있습니다.

메디트에는 세계를 무대로 성장하고 싶은 적극적이고 진취적인 인재들이 모여 자율과 책임의 문화에서 일하고 있습니다. 최고의 동료들과 함께 성장하고, 디지털 헬스케어 혁신을 함께 만들어 갈 인재분들을 모십니다.","• 생산라인에서 발생하는 제품의 회로관련 문제 해결 및 재발방지 대책 수립
• 개발중인 제품의 테스트 및 디버깅을 통한 회로의 성능 검증
• 신규 제품의 생산에 필요한 회로용 JIG 개발 및 유지 보수
• 기술 문서화(회로도, BOM, 사양서 등) 및 보고서 작성
• 외부 공급업체 및 부품 제조업체와의 협력","• 전기/전자공항, 제어공학, 컴퓨터공학 등 관련 학사 학위 이상
• 회로 설계, PCB 설계 및 전자제품 개발 경력 5년 이상
• 아날로그 및 디지털 회로 설계 능력
• PCB 설계 소프트웨어(예: OrCAD, PADS 등) 사용 능력
• 전자 테스트 및 계측기기(오실로스코프, 멀티미터 등) 사용 능력","• 의료기기 또는 유사한 산업에서의 경력 우대
• 문제해결 능력 및 분석적 사고 우대
• 6-시그마 벨트 소지자 우대","[복지]
• 유연근무제
• 수평적인 호칭 체계
• 최고 사양의 업무 장비/소프트웨어
• 웰컴키트 제공
• 캐쥬얼 복장
• 3년, 5년, 7년, 10년 이후 매 5년 근속 축하 복지포인트 및 휴가 제공
• 복지포인트 (분기별, 명절, 생일)
• 생일 반차 제공
• 다양한 경조사에 대한 지원
• 종합 건강 검진
• 임직원 상해 보험 가입
• 심리상담(EAP) 지원
*근무지에 따라 제공되는 베네핏은 상이할 수 있습니다.

[근무지]
서울특별시 영등포구 양평로25길 8, URBAN 322

해당 포지션은 상시 채용 중으로 모집 완료 시 포지션이 마감될 수 있습니다.
제출해 주신 내용 중 허위 사실이 있을 경우 채용이 취소될 수 있습니다.",,"복지포인트, 유망산업, 301~1,000명, 연봉상위6~10%, 인원성장, 설립10년이상, 유연근무",2024.11.11,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 영등포구,메디트(Medit)
자동차 품질경영팀 팀원,"인지컨트롤스(주)는 자동차 부품 제조 및 판매를 주사업으로 하며 엔진온도제어 부품시장에서 국내 점유율 90% 이상, 엔지니어링 플라스틱 부품도 40%의 시장점유율을 가지고 있습니다.

비엔진 부품의 연구 활동에소 많은 투자를 진행하여, 전기자동차용 배터리 모듈 및 수소차용 부품 개발 등을 통해 친환경 차량 부품 회사로의 도약을 준비하고 있습니다.

인지컨트롤스(주)에서 역량 있는 인재를 채용하오니 많은 관심과 지원 바랍니다.","양산품질관리
• 공정 품질관리 및 고객사 업무 대응

부품품질관리
• 부품 및 협력사 관리업무 전반
• 해외 수출 부품 관리 및 업무대응","• 학력 : 대졸이상(4년제)
• 전공 : 공학계열 우대 (산업공학,전기,전자,기계공학 등)
• 경력 : 무관","• 영어 가능자
• 자동차(현대/기아/GM등) 품질업무대응 유경험자
• 전동화 부품 관련 업무경력자
• 3차원 측정기 사용 가능자 우대","• 건강검진 : 일반검진, 특수검진 등
• 우수사원 포상 : 연말 우수사원 포상
• 동호회 운영 : 축구, 야구, 탁구, 등산, 낚시 등
• 경조지원 : 경조휴가 및 경조금 등 지원
• 자녀학자금 : 입학금 및 등록금 지원
• 출퇴근 지원 : 통근버스, 기숙사, 사내식당 운영
• 자기계발 : 외국어 강좌, 외부교육 등 지원
• 휴양시설 운영 : 콘도운영",• 서류전형 ＞ 1차면접 ＞ AI역량검사 ＞ 2차면접 ＞ 최종합격,"자기계발지원, 사내동호회, 건강검진지원",2024.10.27,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기 시흥시,인지컨트롤스
자동차부품 품질시험팀 팀장,"인지컨트롤스(주)는 자동차 부품 제조 및 판매를 주사업으로 하며 엔진온도제어 부품시장에서 국내 점유율 90% 이상, 엔지니어링 플라스틱 부품도 40%의 시장점유율을 가지고 있습니다.

비엔진 부품의 연구 활동에소 많은 투자를 진행하여, 전기자동차용 배터리 모듈 및 수소차용 부품 개발 등을 통해 친환경 차량 부품 회사로의 도약을 준비하고 있습니다.

인지컨트롤스(주)에서 역량 있는 인재를 채용하오니 많은 관심과 지원 바랍니다.","신뢰성 시험팀 운영(시험장비 및 인월&시스템)
• 시험 계획 수립 및 결과 분석
• 신뢰성 공학 기반 단축 및 가혹 시험모드 개발","• 학력 : 대졸이상(4년제)
• 전공 : 공학계열 우대 (산업공학,전기,전자,기계공학 등)
• 경력 : 신뢰성 시험 경력 10년 이상","• 영어/중국어/일어 가능자
• 전장품 및 기능품 시험 경력자","• 건강검진 : 일반검진, 특수검진 등
• 우수사원 포상 : 연말 우수사원 포상
• 동호회 운영 : 축구, 야구, 탁구, 등산, 낚시 등
• 경조지원 : 경조휴가 및 경조금 등 지원
• 자녀학자금 : 입학금 및 등록금 지원
• 출퇴근 지원 : 통근버스, 기숙사, 사내식당 운영
• 자기계발 : 외국어 강좌, 외부교육 등 지원
• 휴양시설 운영 : 콘도운영",• 서류전형 ＞ 1차면접 ＞ AI역량검사 ＞ 2차면접 ＞ 최종합격,"자기계발지원, 사내동호회, 건강검진지원",2024.11.03,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기 시흥시,인지컨트롤스
자동차 품질시험 팀원,"인지컨트롤스(주)는 자동차 부품 제조 및 판매를 주사업으로 하며 엔진온도제어 부품시장에서 국내 점유율 90% 이상, 엔지니어링 플라스틱 부품도 40%의 시장점유율을 가지고 있습니다.

비엔진 부품의 연구 활동에소 많은 투자를 진행하여, 전기자동차용 배터리 모듈 및 수소차용 부품 개발 등을 통해 친환경 차량 부품 회사로의 도약을 준비하고 있습니다.

인지컨트롤스(주)에서 역량 있는 인재를 채용하오니 많은 관심과 지원 바랍니다.","품질시험 업무
• PV개발품 / 정기 신뢰성 시험
• 고장 모드 / 목적 내구 시험
• 시험 장비 / 설비 유지 관리
• 시험 계획 / 일정 관리
• 시험실 표준 문서 작성 / 관리","• 학력 : 대졸이상(4년제)
• 전공 : 무관
• 경력 : 무관","• 전기 / 전자 관련 지식 보유자
• 품질.시험 업무 경험자
• OA능력 활용 우수자","• 건강검진 : 일반검진, 특수검진 등
• 우수사원 포상 : 연말 우수사원 포상
• 동호회 운영 : 축구, 야구, 탁구, 등산, 낚시 등
• 경조지원 : 경조휴가 및 경조금 등 지원
• 자녀학자금 : 입학금 및 등록금 지원
• 출퇴근 지원 : 통근버스, 기숙사, 사내식당 운영
• 자기계발 : 외국어 강좌, 외부교육 등 지원
• 휴양시설 운영 : 콘도운영",• 서류전형 ＞ 1차면접 ＞ AI역량검사 ＞ 2차면접 ＞ 최종합격,"자기계발지원, 사내동호회, 건강검진지원",2024.10.27,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기 시흥시,인지컨트롤스
의료기기 품질관리 담당자 (QA),"이모코그는 최고의 전문가들과 함께 디지털 치료제를 만드는 회사입니다.

현재 이모코그는 경도인지 장애(치매 전 단계) 환자를 대상으로 한 인지 치료 소프트웨어와 치매를 진단하는 인지검사도구 소프트웨어를 개발하고 있습니다.

현재 각 분야 전문가로 구성된 임직원이 함께 일하고 있으며 카카오, 네이버, 스톤브릿지 등이 투자하고 EISAI 등과 협력 관계를 맺는 등 글로벌 기업들과 강한 네트워크를 형성하고 있습니다.

2021년에 설립된 이모코그는 1년이라는 짧은 기간 동안 빠르게 성장하여, 1년 새 기업가치를 5배 이상 인정 받았습니다. 그 결과 2022년 12월에 마친 Pre-A 라운드에서는 150억 원의 투자금을 유치했습니다.

이제 이모코그는 글로벌 기업으로 한 번 더 성장하고자 합니다. 최고의 인재, 최고의 기업과 함께하는 이모코그와 함께 성장할 인재 분들을 모십니다. 많은 관심 부탁드립니다.","- 사내 의료기기 품질경영시스템 운영 및 개선
- 경영검토, 내부감사, 모니터링, 사후관리 등의 QA업무
- 국내외 의료기기 품질관리 규정 모니터링 및 적용
- KGMP, ISO13485 등 심사 준비 및 대응","- SaMD 또는 체외진단의료기기(시약) QA 경력 2년 이상
- ISO13485, IEC62304, ISO14971, IEC62366 등 국제규격에 대한 이해
- 관련 부서 및 기관과의 원활한 커뮤니케이션","• SaMD 또는 체외진단의료기기(시약) 국내외 품질 인증심사 대응 경험자
• 품질책임자 경력자
• 영어 능통자

□ 수습기간
• 모든 신규 입사자는 3개월간의 수습 기간이 있습니다.
• 수습 평가 결과에 따라 고용에 적합하지 않다고 판단될 경우, 수습 기간이 연장되거나 채용 취소가 될 수 있습니다.","• 정규직 근로계약 (기본 근로 주 35시간) 및 연봉제
• 탄력적 근무제 및 연차 휴가 제공
• 중식비, 야근비 지원
• 커피, 음료  스낵바 제공
• 동호회 및 운동비 지원
• 경조사 지원
• 청년 내일 채움공제 운영
• 최신 업무 기기 및 듀얼모니터 지원
• 최고급 의자 전직원 제공
• 자기개발을 위한 도서구입 지원","서류전형 - 1차면접 - 2차면접 - 최종합격
※서류전형은 면접 대상자에게만 별도로 안내가 나가고 있는 점 양해부탁드립니다.","식대지원, 사내동호회, 커피·스낵바, 자기계발지원, 연봉상위11~20%, 50명이하, 누적투자100억이상, 설립3년이하",2024.11.08,"세심한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기 과천시,이모코그
NAMING.(네이밍)/VASOL(바솔)] 제품개발 팀장 (7년 이상),"포컴퍼니는 2016년 설립되어 총 4개의 화장품 브랜드 사업을 영위하고 있는 국내 화장품 브랜드사 입니다.

스킨케어 브랜드 Abib를 시작으로 색조 브랜드 NAMING., 남성 스킨케어 브랜드 BOLD FORMULA, 페미닌케어 브랜드 VASOL을 운영 중입니다.

지난 8년간 우수한 제품력을 바탕으로 건강하고 탄탄하게 브랜드를 성장시켜 나가고 있습니다. 현재 국내 성장을 발판으로 전세계 여러 국가에 진출하여 글로벌 브랜드로 거듭나는 중이며 이러한 성장세 속에서 함께 하실 ""[NAMING.(네이밍)/VASOL(바솔)] VMD (경력 2년 이상 ~ 7년 이하)""를 모집하고 있습니다.

회사의 성장은 개인의 성장을 바탕으로 이루어지고, 열정 가득한 구성원들이 더욱 좋은 회사를 만들어 갈 수 있다고 생각합니다. 우수한 인재 분들의 많은 지원 바랍니다.","담당 브랜드: 네이밍 (NAMING.) 바솔(VASOL)/볼드포뮬러(BOLDFORMULA)
• 상품 기획 및 개발 총괄 (스킨케어/퍼스널케어/메이크업)
• 브랜드 상품 전략 총괄
• 국내 외 상품 개발 총괄
• 시장 트랜드 조사 및 예측
• 화장품 제조사 컨택 및 핸들링
• 제품개발팀 리딩 및 팀원 코칭","• 포트폴리오 제출 필수 
• 화장품 상품기획 개발 업무 경력 7년 이상
• 원활한 커뮤니케이션 능력을 보유한 분 
• 제품개발 프로세스에 대한 이해와 개선 능력을 보유한 분","•팀 리딩 경험을 보유한 분 
•용기 및 포장재 개발 등에 대한 이해와 경험치가 높은 분
•기초,색조,바디,헤어 등 다양한 카테고리 개발 경험을 보유한 분분","• 매주 금요일 16시 퇴근
• 신규입사자 웰컴키트 및 자사제품 제공
• 성장지원비(도서/직무교육/운동) 지원
• 자사제품 직원가 구매 (60% 할인)
• 신제품 무상지급 
• 생일선물 지급 / 생일 주간 희망일 하루 2시간 조기 퇴근
• 각종 경조사(결혼, 출산, 조의 등) 지원 (경조금/경조휴가)
• 명절 선물 지원 
• 종합건강검진
• 스낵바 운영
• 신규입사자 멘토링
• 장기근속 포상",서류전형 ＞ 대면면접 ＞ 처우협의 ＞ 최종합격,"커피·스낵바, 자기계발지원, 건강검진지원, 51~300명, 설립4~9년, 인원 급성장",2024.11.03,"세심한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,포컴퍼니
RA 연구원,"오션스바이오는 뇌과학 및 의료공학적 기술력을 바탕으로 미주신경에 작용하여 우울증 및 뇌전증을 치료하기 위한 전자약을 개발하는 Bio Medical Start-UP입니다.

오션스바이오에 입사하게 된다면 전자약 시장을 리딩하는 최고 수준의 인재들과 협업하며 전자약, 웨어러블 헬스케어 디바이스의 연구개발 프로젝트에 참여할 수 있으며 초고속으로 성장하는 스타트업에서 전자약 분야의 전문가로 빠르게 성장 할 수 있습니다.","· 의료기기 HW, SW, SaMD 제품허가: KFDA,  FDA, CE 등 인허가
· 품질시스템의 운영 및 효과성 유지
· 기술문서 작성 가이드 및 유관 부서 의사 소통
· 의료기기 품질관리 업무
· ISO 13485 및 GMP 인증 및 갱신",· 관련 업무 유경험자,"· 의공학전공자 우대
· 영어 가능자
· 관련 교육 이수자","· 반반차 단위 휴가 사용
· 완벽한 자율복장(슬리퍼, 반바지 OK)
· 가족외식비 지원(분기별 1회, 10만원 한도 실비 지원)
· 생일자 조기퇴근휴가(2시간), 상품권 지급
· 설/추석 명절 상품권 지급","서류전형 - 1차 인터뷰 - 2차 인터뷰 - 최종 합격
(인터뷰 진행 과정은 상황에 따라 변동될 수 있으며, 동의 하에 레퍼런스 체크 과정이 추가될 수 있습니다.)","유망산업, 자유로운휴가, 식대지원, 자율복장, 유연근무",상시채용,,서울 용산구,오션스바이오
