채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
서비스기획자,"- 라이트비전은 인공지능 전문기업입니다.
- 목표는 AI기술을 통해 영상분석 분야를 혁신하는 것!

목표를 향한 라이트비전이 추진 중인 주요 사업은 세 가지.
첫째, 세계적인 수준의 원천기술로 현재 관공서 CCTV에 당사의 AI 영상분석 엔진을 결합하여 주차공유 서비스 및 불법주정차 자동단속 시스템 사업,
둘째, AI 영상분석 기반 현미경 이미지 자동분석 시스템(투과전자현미경 TEM SAED 이미지 분석) 사업,
셋째, 시각장애인의 비대면 중등교육 온라인 서비스 확대를 위한 양방향 점역/역점역 AI엔진 개발 사업입니다.

#라이트비전은 어떤 회사인가?
라이트비전은 2018년 10월, 한양대학교 서울 캠퍼스의 전임교수와 한양대에서 수석 졸업한 박사가 창업한 AI 전문 회사입니다. TRIZ 기반의 IP-R&D으로 AI 원천기술에 해당하는 발명 특허를 한양대학교 산학협력단과의 기술사업화 체결을 통해 설립했으며 현재 삼성전자, 포스코 출신들의 석/박사급 전문가들로 인력 구성되어 있습니다. 창업 이전 출원한 원천특허만 100건이 넘지만, 단순히 연구 차원에 머무는 기술이 아닌, 세상에 선보이는 innovation에 뜻을 가지며 라이트비전을 창업하였습니다.


라이트비전은,
1. '돈을 벌 수 없는 발명특허가 무슨 의미가 있을까요?'라는 단순하지만 무거운 물음에 대해 세상을 헤쳐나가고자 합니다.
2. 사회가 당면하고 있는 소셜 문제를 체계적인 문제해결 방법으로 해결하며, 이를 AI 기술로 구현하고자 합니다.
3. 탄탄하고 선한 빛의 소셜벤처기업으로 성장하도록 꾸준히 고민하고 앞으로 나아갈 것입니다.","•영상정보 기반 AI 주차관제 서비스 기능 개선 및 운영에 참여 가능한 서비스 기획자
•""통합교육도 가능한 화상회의 플랫폼"" ELP(Easy Learning Platform for everyone) 기능 개선 및 운영에 참여 가능한 서비스 기획자
•'현미경 이미지 분석 SW' XTALAB의 추가 기능 개발 및  사용자 편의를 높이기 위한 기획이 가능한 서비스 기획자","• 4년제 대졸이상
• 총 경력 5년 이상 
• B2C 서비스 혹은 ‘앱’ 기획 경험자(앱개발 관련한 서비스 기획서 포트폴리오 제출 필수)","• 이공계 학과 전공자 
• PM 경력 있으신 분
• 프로그래머와 원활한 커뮤니케이션 가능한 자 
• UML(unified modeling language)과 같은 도구를 이용하여 시스템 모델링 기반 기획이 가능하신 분","• 간식&음료 무한 제공
• 장기근속 우수 임직원 오피스텔 숙소 지원
• 대기업 투자사로 스톡옵션 지원
• 기술연구소 보유 및 병역특례 지정업체
• 직무 관련 교육 기회 제공
• 논문 발표 시 국내외 학회 참여 지원",,"유망산업, 커피·스낵바, 50명이하, 설립4~9년, 스톡옵션, 인원 급성장",2024.11.04,"세심한 스타일, 과정 중심 질문, 천천히 기다려준 편, 집중하기 좋은 환경",서울 성동구,라이트비전
플랜트 배관설계 - 2D,"플랜트인사이트㈜는 2015년에 설립된 회사로 자본금 2억원, 매출액 51억 862만원, 사원수 32명 규모의 중소기업입니다. 서울 마포구 공덕동에 위치하고 있으며, 플랜트IT 분야 개발, 컨설팅, 설계 서비스사업을 하고 있습니다.",• 플랜트 배관 설계(2D). 현재진행중인 프로젝트 인원 충원 건입니다.,"• 경력 : 배관설계(Design) 경력자(5년 이상 경력자)
• 학력 : 학력무관
• 경력 : 경력5년
• 고용형태 : 계약직1년",• 책임감 강하고 장기 근무 가능하신 분.,"퇴직연금, 자유로운 연차 사용, 자유복장, 야근강요 x, 회식 강요 x, 수평적 조직문화, 명절선물/귀향비, 리프레쉬, 근로자의 날/창립일 휴무, 산전 후 휴가, 경조휴가제, 음료지원(차, 커피), 점심식사 제공, 자기계발비 지원, 도서구입비 지원, 주 52시간제 준수, 탄력근무제, 내일채움공제, 선택적복리후생, 문화생활비, 각종 경조사 지원, 건강검진, 휴일 수당","• 서류전형 ＞ 1차면접 ＞ 최종합격
• 면접일정은 추후 통보됩니다","식대지원, 건강검진지원, 자기계발지원, 커피·스낵바, 유연근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 마포구,플랜트인사이트
Femtosecond Laser 엔지니어,"Focus on femtoseconds – our purpose and passion.
The product portfolio is all about ultrafast and ultraprecise.
To satisfy industrial and scientific needs, we must be reliable and productive, but at the same time, flexible and versatile. Our goal is to maintain the right balance to satisfy the most demanding customers from various markets.","• Femtosecond Laser 설치 및 기술지원
• 레이저 광학 관련 고객사 업무 지원","• 경력 : 경력
• 학력 : 대학교졸업(4년)이상",• 활동/경험 : 해당직무 근무경험,"• 주 5일(주40시간제) 근무
• 연차휴가
• 워라벨
• 점심식사 제공",• 서류전형 ＞ 면접전형 ＞ 최종합격,"50명이하, 설립4~9년, 연봉상위11~20%, 인원 급성장",2024.11.14,,대전 유성구,라이트컨버젼(LIGHT CONVERSION)
[기술연구] 로봇소프트웨어 검증 및 평가 엔지니어,"로봇 운영의 기초가 되는 ROS 개발부터, AI 자율주행 솔루션, 서빙로봇 생산, 로봇 자동화 모델 공급에 이르기까지, 코가로보틱스는 순수 국내 개발을 통해 모든 기술과 제품을 발전시켜 나가는 로봇 테크 기업입니다.

우리는 로봇 소프트웨어의 검증, 평가, 기능 테스트, 배포 및 업데이트 관리를 담당할 인재를 찾고 있습니다. 이 포지션은 소프트웨어 품질 보장과 최신 기술을 활용한 사용자 경험 향상을 목표로 합니다. 로봇 산업의 미래를 선도할 열정적인 인재들의 많은 지원을 기다립니다!","• 로봇 소프트웨어 개발, 검증 및 평가 엔지니어
• 새로운 소프트웨어 제품의 개발 및 설치 구성을 수행
• 소프트웨어의 기능, 성능, 안정성 및 보안을 평가하고 검증
• 고객 및 내부 팀과의 원활한 소프트웨어 배포 및 업데이트 관리
• 문제 해결 및 디버깅 능력을 활용하여 제품의 품질을 향상 테스트
• 테스트 계획 및 전략을 개발하고 소프트웨어의 품질 관리를 담당
• 사용언어: C/ C++
• 사용 OS: Linux Ubuntu","• 프로그래밍 개발 경험 보유자
• 관련 분야 학사 학위 소지자 및 예정자
• 회사에서 지정한 일자에 입사가능한자(세부일정 별도 안내)
• 해외여행에 결격사유가 없는 자(남성의 경우 병역필 혹은 면제자)","• 전자 및 전기공학 학위 또는 관련 분야에서의 경험자
• 아두이노 및 다양한 마이크로컨트롤러 플랫폼에 대한 경험자
• 입/출력 장치들을 제어, 통합하고 임베디드 시스템 및 마이크로컨트롤러 경험자
• 센서 및 액추에이터를 연결하고 제어하는 경험자
• 통신 프로토콜 경험자: 장치간 통신에 사용되는 다양한 프로토콜(UART,I2C, SPI등)
• 하드웨어 디버깅 및 시스템 테스트 경험","• 연차/반차
• 점심식사 제공
• 간식/음료 무제한
• 경조금/경조휴가
• 자유복장
  (이 외에도 복리후생 확장을 지속 검토하고 있습니다)


[기타 사항]
• 국가유공자, 장애인 등 취업 보호 대상자는 관련 법규에 따라 우대합니다.
• 지원 서류에 기재된 내용 중 허위 사실이나 부정행위 발견 시, 채용 절차 중단 또는 채용이 취소될 수 있습니다.","• 수습(급여100%지급) 3개월후 정규직 전환 (평가 후 수습기간이 연장될 수 있음)
• 지원 내용 중 허위사실이 발견될 경우 합격이 취소될 수 있음
• 포트폴리오는 하나의 PDF 파일로 정리하여 업로드
• 채용절차: 지원서 접수 -서류전형 -기술면접*- 입사
                  *기술면접: 코딩테스트(사용언어: C/C++) 및 포트폴리오 발표(주요 프로젝트 설명 및 이해를 돕기위한 영상등)","유망산업, 커피·스낵바, 보너스, 리프레시휴가, 51~300명, 설립4~9년, 누적투자100억이상, 인원 급성장",상시채용,,서울 성동구,코가로보틱스
광학 설계 연구원,"티.비.티. ㈜는 2004년에 설립된 회사로 자본금 5억 6,010만원, 매출액 154억 3천만, 사원수 65명 규모의 고용노동부에서 선정한 강소기업입니다. 인천 계양구 서운산단로4길 10 (서운동)에 위치하고 있으며, 국내 열화상카메라 제조사로 국내는 물론, 일본, 동남아, 유럽 및 러시아 지역에 수출 판매사업을 하고 있습니다.","광학개발
• 각종 결상 광학계를 설계, 개발된 렌즈를 조립하고 광학 성능을 평가
• 냉각식 적외선 줌 카메라 광학계 설계
• 비냉각식 적외선 카메라 광학계 설계
• 주간 카메라 광학계 설계
• 광학시스템 조립 및 성능 평가","• 학력 : 초대졸 이상
• 전공 : 광학관련학과 또는 물리학과
• 경력 : 광학설계 경력 3년 이상
• 결상 줌 광학계 설계 경험자
• Code V 또는 Zemax 설계","• 광학 관련 학과 전공자
• 적외선 줌 카메라 광학 설계 경험자
•  방산 광학모듈 개발 경력자","• 주5일제, 경조휴가, 출산휴가, 창립일 휴무, 노동절 휴무, 공휴일 휴무, 자유로운 휴가문화
• 퇴직금, 경조금, 인센티브, 장기근속 포상, 휴가비, 회식비 지원, 입사축하금
• 자율복장
• 휴식공간, 헬스시설, 주차장, 쾌적한 업무공간
• 건강검진, 점심 식사 지원","• 서류전형 ＞ 1차면접 ＞ 2차면접
• 면접일정은 추후 통보됩니다","식대지원, 건강검진지원, 휴가비, 자율복장, 보너스, 출산휴가, 신규 가입 기업",2025.01.18,,인천 계양구,티비티
IOT 기구 및 전장설계 실무 (판교),"1. ABOUT WATA AI//

와따에이아이/WATA AI는 “창고물류 & 안전관리 플랫폼”을 통해 인공지능, 디지털트윈, 고정밀 통합 측위, 그리고 3D LiDAR, Vision등의 핵심 기술을 기반으로 현장에서의 안전을 강화하고 생산성을 향상시키고자 합니다. 휴먼에러, 데이터 수집 그리고 초기 시스템 구축 비용/시간 문제를 해결한 SaaS 기반 구독형 클라우드 플랫폼을 제공합니다.

와따에이아이/WATA AI와 함께 AI 클라우드 공간인 플랫폼 완성의 꿈을 이루어 갈 인재를 찾고 있습니다.

• 수직적 구조의 대기업 문화에 지치신 분
• 현재 재직 중인 회사의 미래에 확신이 없으신 분
• 이미 성장한 스타트업과 중소기업에서 본인의 능력과 꿈을 펼치기 힘드신 분
• 현재의 몇 백, 몇 천만원의 연봉인상이 본인 미래를 바꿀 수 없다는걸 알고 계신 분
• 국내 스타트업을 글로벌 유니콘으로 함께 키우고 싶으신 분
• 40대 고경력 개발자로 내 인생 마지막 회사를 찾고 계시는 분

어서어서 오세요!

2. 와따가 원하는 인재상//

￭ 진취적 사고
와따는 자신의 장점 또는 그 동안 쌓아오신 이력을 살려 성장과 신기술에 대해 항상 탐구하고 서비스화하려는 진취적인 분을 환영합니다.

￭ 나무를 보지 않고 숲을 보는 사람
단적인 업무도 중요하지만 진행 중인 일이 실현가능성이 있는지 또는 사업화 가치가 있는지에 대한 고민과 안목이 필요합니다. 사업 전체를 보고 동료와 함께 문제를 파악하고 의논하고자 하는 자세를 가졌으면 합니다.

￭ 배려와 존중
함께 일하는 동료를 존중하는 사람을 원합니다. 당사가 수평적 업무 환경을 중시하는 이유이며 단체생활에서의 융화와 화합은 존중에서 비롯되며 업무 결과에도 직결되기 때문입니다.

3. 지원자가 WATA(와따)에게 묻습니다//
- 지원하시기 전 궁금해하실 점들을 직접 고민하여 작성한 문답입니다!

Q. 회사가 몇 년간 끄덕없는 운영자금을 보유하고 있는지?
A. 와따는 지난 해 VC 시리즈A 투자 유치까지 마무리 짓고 2022 월드IT쇼 과학기술정보통신부 장관상과 2022/2023 CES Innovation Awards 등을 수상하기도 하였습니다. 탄탄한 투자 유치로 회사 운영은 물론 업무 인력도 안정적으로 증원하고 있습니다. 현재도 여러 VC와 기업들로부터 투자 제안을 받고 있는 기업입니다.

Q. 비전 있는 회사인가(얼마나 성장할 수 있는지)?
A. 와따는 위치정보 서비스에서 가장 중요한 ‘정확도’와 ‘확장성’을 경쟁력으로 가진 기업입니다. 일본 도쿄 정부와 국토교통성이 글로벌 기업들과의 정확도 경쟁 시연에서 가장 우수한 결과로 최종 사업자로 선정되어 기술력을 입증받았습니다. 그에 따라 그에 따라 정부 R&D, TIPS 선정, 국내외 대기업과의 협업 프로젝트 진행 등 폭발적으로 성장 중입니다. 또한 2023년에는 아기유니콘200 기업으로 선정되어 앞으로 더욱 성장하는 기틀을 마련하였습니다.

Q. 회사의 수익 배분에 대한 대표의 생각은?
A. 스타트업의 장점 중 하나는 스타트업의 장점 중 하나는 성장 가능성과 성장의 결과를 함께 나누는 것 입니다. 유니콘 기업으로 발돋음 시 그로 인한 직원들의 혜택이 대기업에 비해 비교할 수 없을 정도로 무궁무진할 것입니다. 와따는 2020년 지난 한 해를 기술 개발과 국내 외 매출처 확보 등 빠른 성장을 해오고 있습니다. 우리사주, 스톡옵션, 연봉 인상 등 함께 성장한 만큼 혜택도 함께 누리고자 합니다. 사업성과와 수익에 따라 능력과 실적에 맞는 공평한 대우를 해드릴 것입니다.

Q. 자기개발에 투자하는 회사인가?
A. 와따는 함께 성장하는 직원을 원합니다. 추후 어디에 가시더라도 와따 직원은 타업체로부터 실력/협력 모두 인정한다는 평을 듣고 싶습니다. 팀원들의 자기개발은 곧 회사의 원동력이기 때문에 와따는 자기개발을 적극 지원합니다. 업무에 필요한 도서 구입, 세미나 참석, 교육비 등을 지원하고 있습니다. (추후 정규교육 진학 등의 지원도 계획 중)

Q. 대기업에 비하면 복지가 어느 정도로 마련되어 있는지?
A. 와따는 직원들의 효율적인 업무를 위해 복지에 최선을 다하고자 합니다. 아직 큰 기업과 같은 복지를 전부 제공해드릴 수는 없지만 기본적인 복지 이외에도 탄력근무제 실시, 중식 제공, 간식/커피 무제한 제공, 인재 추천 지원금, 생일 유급 휴가, 해외법인 순환 근무(선택), 장기근무자 리프레쉬 휴가 등 일하기 좋은 환경을 마련하기 위해 팀원들의 의견을 듣고 함께 고민합니다.

Q. 업무 환경, 회사 분위기는 어떤가?
A. 업무 진행 시 상호 간 존중을 중요시 합니다. 강요없는 자유로운 회식 분위기(참석 여부도 자유), 휴가/연차도 책임자의 눈치없이 업무와 관련된 소속 부서와 사전 협의만 된다면 언제든 사용할 수 있습니다.

더 궁금하신 점도 있을 것이고 와따가 지원자에게 궁금한 점도 많습니다.
기회가 된다면 면접 자리에 모셔 추가 질의, 자사의 비전, 지원자에 대한 자세한 얘기를 나눌 수 있길 바랍니다^^

와따의 비전과 꿈에 동참하고자 하는 분들의 많은 지원 부탁드립니다. 감사합니다.","• 물류 관리 비전 키트 기구 설계
• 물류 관리 비전 키트 전기 배선 구성 및 설계 
• 물류 자동화 인식 장비 부품 설계
• 전장 패널 구성 및 제작
• 기구 조립 및 현장 설치 대응
• 기구 전원 구성 구축 및 배선
• 개발팀과 기구 구성 협업
• 전장 외주 업체와 제작 및 관리","• 개발 경력 3년 이상
• CAD 또는 설계 프로그램 사용 가능자
• 배선 설계, 전장제품 설계 경험
• 동종 업무 경험자","• 공장자동화 전장 설치 경험 있는 분
• 공장자동화 전장 H/W 설계 경험 있는 분
• 기계/전기/전자 공학 계열 전공자","ㆍ 탄력 근무제 실시(출근 : 8~10시 , 퇴근 5~7시)
ㆍ 중식 지원
ㆍ 생일 유급 휴가 제공
ㆍ 강요 없는 자유로운 회식
ㆍ 눈치 보지 않고 휴가/연차 사용
ㆍ 자기개발비 지원(도서구입, 온라인 강의, 세미나 참석 등)
ㆍ 인재 추천 지원금
ㆍ 우리 사주 및 스톡옵션 제공
ㆍ 퇴직금, 장기 근속자 포상
ㆍ 경조사비 지급, 국책 연구과제 연수수당 지급, 특허 출원 수당 지급


* 연봉 협상은 개인 역량에 따라 협의하고 있습니다.
* 궁금하신 내용은 인사 담당자에게 문의 주시면 됩니다.","[채용절차]
• 서류전형 - 1차 인터뷰 - 임원 인터뷰(필요시) -  처우 협의 -  최종합격
※절차는 변경될 수 있습니다.

[지원 시 주의사항]
• 입사자 분들은 3개월간의 입사자와 회사간의 적응기간이 있습니다.(적응 기간 동일 급여와 복리후생 보장)
• 포트폴리오 제출 필수

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다.

[기타사항]
• 연봉 협상은 개인 역량에 따라 협의하고 있습니다.
• 궁금하신 내용은 인사 담당자에게 문의 주시면 됩니다.","IoT, CAD, 전기 설계",,,경기 성남시,와따
기술팀,"(주)세펙트는 2000년에 설립 된 회사로 매출액 약 100억(2017년기준), 사원수 25명 규모의 중소기업입니다.
Safety Switch를 작업자의 안전을 고려하여 개발 및 제조하여 국내 최초로 브랜드화하였으며, Safety 사업 전반에 걸쳐 안전제품과 솔루션 제공을 하고 있습니다.","• 고객사 기술지원
• 제품불량 파악 및 대응
• 생산자동화 설비 제작지원
• TEST 설비 제작지원
• 신제품 검증 및 TEST","• 학력 : 대졸 이상 (2,3년) 졸업예정자 가능
• 경력 : 무관 (신입 지원 가능) (사원, 팀원급)
• 전기/전자/자동화관련 전공자
• 오토캐드, 솔리드웍스 사용 가능자","• 자동화 시스템 구성 경험자
• PLC 프로그램 사용가능자
• 시퀀스 회로 작성 가능자
• 문서작성 우수자
• 인근거주자
• 기구설계 엔지니어 채용 예정 (제조기술)","• 근무형태 : 정규직(수습기간)-3개월
• 근무일시 : 주 5일 (월~금) 09:00~18:00
• 근무지역 : 경기 부천시 옥산로208번길 24, 세펙트빌딩 4층(도당동)",• 서류전형 - 1차면접 - 2차면접 - 최종합격,"50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",2024.10.26,"세심한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 집중하기 좋은 환경",경기,세펙트
기술연구소 펌웨어 설계 담당,"(주)세펙트는 2000년에 설립 된 회사로 매출액 약 100억(2017년기준), 사원수 25명 규모의 중소기업입니다.
Safety Switch를 작업자의 안전을 고려하여 개발 및 제조하여 국내 최초로 브랜드화하였으며, Safety 사업 전반에 걸쳐 안전제품과 솔루션 제공을 하고 있습니다.","• MCU(STM32F, ATMEL 및 기타) 기반 펌웨어 개발
• 제품 양산설계 및 검증
• 제품개선 및 업데이트","• 학력 : 대졸 이상 (2,3년) 졸업예정자 가능
• 경력 : 무관 (신입 지원 가능) (사원, 팀원급)
• 전기/전자/자동화관련 전공자
• 공학 계열
• MS Office 및 한글 등 문서작성 우수자","• ERP 유경험자
• 영어 활용능력 우수자
• 운전가능자
• 인근거주자","• 근무형태 : 정규직(수습기간)-3개월
• 근무일시 : 주 5일 (월~금) 09:00~18:00
• 근무지역 : 경기 부천시 옥산로208번길 24, 세펙트빌딩 4층(도당동)",• 서류전형 - 1차면접 - 2차면접 - 최종합격,"50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",2024.10.26,"세심한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 집중하기 좋은 환경",경기,세펙트
기술연구소 기구설계,"(주)세펙트는 2000년에 설립 된 회사로 매출액 약 100억(2017년기준), 사원수 25명 규모의 중소기업입니다.
Safety Switch를 작업자의 안전을 고려하여 개발 및 제조하여 국내 최초로 브랜드화하였으며, Safety 사업 전반에 걸쳐 안전제품과 솔루션 제공을 하고 있습니다.","• 스위치/전자제품 구조설계
• 시제품 설계변경 및 업그레이드
• 부품설계 (구동부, 케이스)
• 금형 개발 Follow-up
• 개발 일정관리
• BOM 작성 및 관리
• 도면관리","• 학력 : 대졸 이상 (2,3년) 졸업예정자 가능
• 경력 : 무관(신입 지원가능)
• 기계공학, 전기/전자공학
• 공학계열
• AutoCAD, SolidWorks
• MS Office 및 한글 등 문서작성 우수자","• ERP 유경험자
• 영어 활용능력 우수자
• 운전가능자
• 인근거주자","• 근무형태 : 정규직(수습기간)-3개월
• 근무일시 : 주 5일 (월~금) 09:00~18:00
• 근무지역 : 경기 부천시 옥산로208번길 24, 세펙트빌딩 4층(도당동)",• 서류전형 - 1차면접 - 2차면접 - 최종합격,"50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",2024.10.26,"세심한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 집중하기 좋은 환경",경기,세펙트
Robot Mechanics(기구) Engineer _ 선임급,"RGA Inc.는 세계 정상급의 인공지능 및 기계 엔지니어링 기술을 기반으로
인간과 지성적, 감성적 소통 뿐만 아니라 야외 활동도 함께 할 수 있는 첨단 소셜 로봇을 개발 중인 딥테크 기업입니다.

RGA 는 시리즈 B 수준의 투자금 규모에 달하는 자체 자금을 보유하고 있습니다.
RGA 는 프로젝트의 중단 없는 지속성과 기업의 영속성이 확고히 보장되는 기업입니다.

RGA는 글로벌 톱 수준의 역량을 갖춘 인재를 원하며
그들 간의 유기적 협업을 통해 개개인의 역량을 극대화시킬 수 있는 환경을 구축하고자 합니다.
이에 RGA는 최고의 인재에게 동종업계의 상한을 넘어서는 업계 최고 수준의 급여와 최적의 근무 환경을 보장합니다.

“일평생 까만 설탕물이나 만들겁니까?”
스티브 잡스가 당대 최고의 마케팅 대가이자 펩시콜라 CEO 였던 존 스컬리를 애플로 영입하기 위해 던진 결정적인 한마디였습니다.

여러분들은 지금 무엇을 만들고 계십니까?
설거지를 대신 해주는 로봇, 빨래를 대신 해주는 로봇, 요리를 대신해주는 로봇, 배달을 대신해주는 로봇, 서빙을 대신해주는 로봇…

어릴 적 우리 모두가 생각했던 로봇은 과연 노예였을까요?
RGA 의 처음은 이러한 물음이었습니다.

RGA 는 미래의 비전을 수립했습니다.
이것은 진정한 로봇 시대의 도래 나아가 새로운 문명의 창조에 있어 가장 강력하고 주효한 trigger가 될 것이라 확신합니다.","• 로봇 기구 설계 및 발주, 조립","• 경력사항 : 기구 설계 경력 5년 이상
• 로보틱스/기계공학 관련 학과 학석사 이상
• 구성원들과의 협업이 가능한 의사소통 능력과 이를 통한 기술적 문제 해결 능력","• 업체 아웃소싱 및 외주개발 관리 경험자
• Slack, Confluence, JIRA 등 협업 툴 경험자","# 기본
• 동종업계 연봉 상위 1%이상 (해당 개발 경력 기준)
• 초기 멤버로서 향후 스톡옵션의 행사 등을 통한 막대한 경제적 보상의 기회
• 최신형 업무장비 (노트북/듀얼모니터 등)
• 점심 식대 1.5만원 지원
• 야근식비 지원
• 인센티브
• 명절 선물
• 웰컴키트
• 사내 스낵바 제공 (컵라면, 과자, 아이스크림, 커피, 음료 등)
• 200만원 상당의 스틸케이스 사무용 의자 지급
• 불가피한 야근 시 저녁 식대와 카카오 블랙 지원

# 성장을 위해
• 업무 관련 컨퍼런스, 교육, 도서구입비 지원
• 직무 수행에 필요한 장비, 소프트웨어 제공
• 교육 참가 지원 (학회 및 세미나 참여)

# 휴식을 위해
• 자유로운 업무 환경 (복장 자율, 자유로운 연차 사용)
• 생일 연차 제도 (생일 연차 부여/ 생일이 속한 월 중에 자유롭게 연차 1일 사용)
• 경조 휴가 및 경조금 지원 (결혼, 출산, 장례 등)
• 건강검진 휴가 (1일)

# 기타
• 매월 국내외 최고급 레스토랑에서 식사를 할 수 있는 경비를 우수사원에게 최대 50만원, 2인 기준으로 지급
• 종합 건강검진 지원(2년에 1회, 15만원)
• 정부 정책사업 (중소기업 취업자 소득세 감면 등) 적극 지원
• 강남역 근무","# 제출서류
• 이력서 혹은 경력기술서 (지원동기 필수)
• 포트폴리오 (면접 시 자기소개에 활용)

# 근무조건
• 고용형태 : 정규직 (수습 기간 3개월 후 전환, 수습 기간 中 연봉 100% 지급)
• 근무 지역 : 서울특별시 서초구 사임당로 171 (EWR빌딩), 11층

# 전형절차
• 서류 지원 -＞ Tech interview / coding test -＞ Culture-fit interview -＞ Reference check -＞ 최종 합격
• 1차 인터뷰에서 제출해주신 포트폴리오를 활용한 10분 가량의 자기소개 발표가 있습니다.
• 각 전형 결과는 지원 시 기재해 주신 이메일 주소로 안내 드릴 예정입니다.
• 제출해 주신 지원서 내용 중 허위 사실이 있는 경우 합격이 취소될 수 있습니다.
• 해당 공고는 수시 채용으로, 채용 완료 시 조기 마감될 수 있습니다.
• 국가유공자 및 장애인 등 취업 보호 대상자는 관계 법령에 따라 우대합니다.
• 전문 연구 요원은 지원 불가능합니다.","50명이하, 연봉상위2~5%, 보너스, 식대지원, 유망산업, 장비지원, 커피·스낵바, 건강검진지원, AI 선도 기업, 설립3년이하, 인원 급성장, 스톡옵션",상시채용,,서울 서초구,알지에이아이엔씨(RGA Inc.)
