단어,빈도
의하여,77
다,7555
첨,36
같은,321
필요한,1363
있는,881
부드럽고,2
매끄럽게,40
혹은,138
없는,83
신선한,3
또는,1810
확실히,1
유사한,18
용이하도록,63
정확하게,29
안전하게,79
화하기,48
원활히,71
있도록,686
연결한다,158
간단한,61
건조하고,10
부드럽게,25
착해,1
원활하도록,5
성한다,25
균일하게,46
필요하거나,2
불편한,8
일정한,344
있는지,135
연하여,5
적합한,341
괴로,2
연하는,5
강화하기,5
골고루,26
원하는,151
안전한,56
역하기,5
굴진,6
칠한다,34
칠하는,6
수선하기,4
원활한,110
입주에,1
연결하여,57
안전하고,28
가능한,125
있거나,16
연결하고,86
바람직한,6
화할,15
적절하게,32
유용한,21
다양한,471
원활하게,43
적절히,35
화하여,74
성하고,2
즐겁고,1
있게,29
좋게,11
매끈하게,17
굵은,12
의한,112
아름답게,11
우수한,25
적합한지,38
공정한,7
신속하게,16
얇은,25
있어서,25
의해,176
얇게,23
착하는,10
적당한,123
수선한다,20
새로운,293
건조하는,22
두꺼운,7
높은,68
부산하,1
정확히,42
입주한,1
입주,9
많은,26
같이,27
어떠한,5
가벼운,9
정확한,55
인하여,11
낡은,20
옛,1
유치하기,11
탁하는,1
깍,1
있으며,17
용이하게,19
설치하거나,22
화한다,71
수선하고,6
분하기,1
독특한,6
건조하는데,1
건조한다,69
유치하거나,2
복잡하고,2
가능하도록,30
없도록,38
미,48
장하거나,1
적응하기,1
특정한,26
해로운,3
숙성하는,5
단단하게,10
불규칙한,12
불필요한,36
반한다,19
편하게,2
착하여,26
미치는,76
없이,30
바쁜,1
함께,312
우수하고,2
설치용,3
적절한,189
습한,2
갈아,32
일정하게,102
힘든,4
있어,39
대차기,1
착한다,77
특수한,18
균일한,26
반해,2
건강한,10
회복하도록,2
쇠퇴하는,1
어려운,27
칠하고,15
불가능한,21
쉬운,5
평탄하게,11
회복하고,2
인한,76
둥근,18
원하지,1
좋고,1
붐오퍼,2
부여하거나,2
평평하면서,1
고급스러운,1
볼록,3
연하게,2
착하거나,1
더하고,1
나란히,4
가늘고,3
오목하게,1
넓은,4
미세한,21
좋은,21
알맞은,75
섬세한,1
동일한,28
장하기,1
건조하기,20
작은,44
건조한,15
연결한,19
간략한,2
순수한,8
굵기,17
미치지,2
있을,101
성하기,2
적합하도록,21
성하여,12
넘치는,1
굵기의,6
단순한,5
진하여,1
매끄러운,2
신선한다,1
좋아하는,2
유치하여,1
진하기,4
착하고,26
무건,2
있으면서,1
적합한지를,7
적정한,45
진한다,14
건강하고,5
유익한,2
알맞게,26
이러한,35
깊게,8
아름답고,1
조화롭게,4
수시로,217
정확하고,2
균등하게,6
안될,1
완전하게,5
올바른,15
좁은,3
깨끗이,51
우,8
아직,4
아니한,1
희,46
아름다,5
단단하고,1
쾌적하고,2
아닌,17
공정하게,2
자유로운,3
무거운,5
곱슬곱슬한,1
강화하고,1
기대했던,1
있는데,2
존하는,3
새로,16
더하여,1
가늘게,5
신선하는,1
높아,2
불량한,18
축축한,4
새롭게,10
민첩한,1
의해서,11
높을,8
착하기,7
역구내,3
연결하는,15
편안한,2
역내의,2
불가능하거나,2
가깝게,1
견고하고,1
적합하게,10
복잡한,11
예쁘게,1
뜨거운,7
완전히,63
대차기나,1
엄격한,1
평평하게,5
모질,3
성하는,9
청결하게,12
상실한,1
쾌적한,7
매끄럽고,1
선한다,1
즐거운,1
소중함을,1
미칠,7
똑같이,2
헐거운,7
직하는데,1
흡사하게,1
폭넓게,3
화하는,13
투명한,9
있으면,49
정교하게,2
신속하고,5
미에,2
연결하기,9
둥글게,4
높고,4
인해,15
직하고자,2
숙성하고자,1
있고,15
가깝도록,4
없는지,79
심한,6
필요할,18
강하는,1
성한,1
특히,11
짧은,6
평활하게,3
연결하거나,8
특이한,2
직하기,1
굵기로,3
강하고,3
낮은,14
말랑말랑한,1
수선하는,4
꼬불꼬불,2
묽은,5
대차기로,1
아름다운,5
되게,28
칠해,1
느슨하게,6
연신,6
적절한지,6
용이한,9
반하여,9
다를,12
변하는,4
더운,2
흑,13
진한,5
완전한,3
견고한,2
유치한다,7
건조하여,5
조하거나,1
치밀하게,2
불편함,1
편리하게,3
굳지,8
씩,2
