직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
라디오작가,라디오 프로그램의 구성대본을 작성한다.,"라디오 편성에 따른 방송 운행표(라디오 프로그램의 시작과 종료시각, 광고의 길이와 내용, 캠페인의 내용과 시간, 시각고지 등이 표시된 표)를 확인하고 프로그램의 편성의도를 파악한다. 라디오프로듀서와 함께 기획회의를 진행하여 코너, 큐시트, 패널, 청취자 참여 등을 기획하고 프로그램 기획안(타이틀, 방송시간, 형식, 방송채널, 희망방송일시, 기획의도, 제작방향, 구성내용, 예상 아이템)을 작성한다. 기획안이 승인되어 프로그램 제작이 확정되면 프로그램을 구체적으로 구현하기 위한 자료조사를 하고 관련 프로그램을 모니터한다. 청취자 참여, 콩트, 음악코너, 경제코너 등 다양한 코너를 기획한다. 오프닝, 음악, 코너, 클로징 등을 순서대로 배치하여 프로그램 구성을 한다. 라디오 프로듀서와 함께 프로그램의 시그널, 타이틀, 로고, 큐시트를 만든다. 출연자를 섭외한다. 방송원고를 작성한다. 방송이 시작되면 스튜디오 밖에서 청취자 전화연결 등 방송진행을 보조한다. 라디오 방송의 종류에 따라 음악 토크 프로그램, 라디오 시사정보 프로그램, 편지쇼 프로그램, 라디오 공개방송, 라디오 다큐멘터리, 라디오 드라마 등의 구성대본을 작성하기도 한다.",14년 초과 ~ 16년 이하(대졸 정도),1년 초과 ~ 2년 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,"청각
언어력
시각",실내,-,-,-,-,[4111]작가,[2811]작가,[J601]라디오 방송업,2012,-
라디오프로듀서,라디오프로그램을 기획·제작 총괄하고 관련 종사원들의 활동을 지휘·감독한다.,"방송 편성 의도를 파악하고 제작기획서(프로그램명, 방송일시, 제작의도, 주제 및 내용, 주요 진행자, 제작비 소요내역 등)를 작성하여 결재를 받는다. 프로그램의 제작이 결정되면 구체적인 기획·구성을 한다. 라디오방송작가와 함께 방송원고를 작성 및 검토한다. 출연자를 섭외하거나 섭외를 지시한다. 채널, 시간대, 청취대상, 프로그램 성격을 고려하여 시그널 음악을 선곡한다. 방송에 사용될 취재를 진행한다. 제작진행표(Cue Sheet:프로그램 주제, 방송일시, 방송진행 순서, 삽입음악의 배열, 출연자의 취재 삽입 등을 기록)를 작성하고, 녹음 및 생방송 제작을 진행하기 전에 심의를 받는다. 스튜디오를 배정받는다. 스태프와의 회의를 주관하여 진행자 및 출연자, 제작스태프에게 제작진행표를 제공하고 협의한다. 스튜디오 또는 생방송 현장에서 제작을 지휘한다. 제작된 소스를 방송에 적합하도록 편집하고 라디오 운행부서(송출 주조종실)에 인계한다. 청취율을 검토한다. 프로그램 홍보전략을 구상하고 진행한다. 프로그램 내 광고시간을 배정한다. 프로그램의 종류에 따라, 라디오생방송, 라디오드라마, 라디오토크, 음악프로그램, 라디오공개방송, 녹음구성 프로그램, 인터넷으로 제공되는 보이는 라디오프로그램의 제작을 진행하기도 한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (감독) / 사물 (정밀작업),가벼운 작업,-,실내,-,"라디오방송연출가, 라디오PD",-,-,[4161]감독 및 기술감독,[2831]감독 및 기술 감독,"[J591]영화, 비디오물, 방송프로그램 제작 및 배급업 / [J601]라디오 방송업",2012,-
라벨부착기조작원,검사가 완료된 제품에 라벨을 부착하는 기계를 조작한다.,"라벨을 부착할 제품과 라벨이 일치하는지 확인한다. 라벨부착 기계에 라벨롤을 연결한다. 기계를 가동하고 자동이송장치의 작동과 라벨의 부착상태를 점검한다. 부착상태가 불량하면 기계를 다시 조절한다. 기계를 청소하고 낡거나 손상된 부품을 수리·교체한다. 라벨, 접착제의 사용량을 점검한다. 불량품을 분리하기도 하고 부착된 라벨을 제거하기 위해서 물이나 유기용제로 씻기도 한다. 인쇄기능이 있는 라벨부착기계를 사용하는 경우 기계의 제어판에 생산번호, 생산시간 등 인쇄할 내용을 입력하고 인쇄하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (조작운전),보통 작업,-,실내,-,"라벨표시원, 상표부착기조작원",-,-,[8859]주입·포장·상표부착기 및 기타 기계 조작원,[8990]기타 기계 조작원,[N759]기타 사업지원 서비스업,2017,-
라싱작업관리원,선박라싱(Lashing:선체동요로 인한 컨테이너의 추락을 방지하기 위한 고정)작업을 총괄 지휘한다.,선박의 입항예정을 컨테이너 터미널이나 선사로부터 통보받고 본선적부도를 사전에 접수받아 작업을 계획한다. 항운노조원 등에게 작업수요인원을 요청한다. 본선입항 시 승선하여 작업내용을 확인하고 대조한다. 라싱작업원에 대한 안전조치를 취하고 안전교육을 실시한다. 컨테이너인 경우 양화될 화물의 라싱콘과 라싱바 등을 제거하고 일반화물인 경우 라싱로프 등을 제거하도록 지시한다. 화물의 양화가 끝나고 다시 화물의 적화가 완료되면 적화된 화물을 라싱도구를 이용하여 고정작업을 하도록 작업자 등에게 지시한다. 화물 양화 시 라싱도구들이 완전히 제거되었는지 그리고 선적화물의 고정작업이 완료되었는지 확인한다. 작업이 끝나면 작업원의 하선을 확인한다.,12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (감독) / 사물 (관련없음),보통 작업,-,실내·외,-,"쇼링작업관리원, 고박작업관리원, 라이싱작업관리원",,,[0282]운송 사무원,[3126]운송 사무원,[H501]해상 운송업 / [H502]내륙 수상 및 항만 내 운송업,2021,-
라싱작업원,컨테이너선에 적재된 컨테이너의 양화를 위해 라싱도구를 해체하거나 적화 후 선박의 요동에 컨테이너가 넘어지지 않도록 고정한다.,"컨테이너선박에 적재된 컨테이너를 양화하기 위해 사다리, 라싱 케이지(Lashing Cage)를 이용하여 라싱콘(Lashing Cone), 라싱로드(Lashing Rod)를 해체한다. 해체된 도구들은 박스에 담거나 한쪽으로 모은다. 반대로 컨테이너가 완전히 선박에 적재된 다음 컨테이너가 항해 도중 선박의 요동에 의해 무너지지 않도록 라싱콘이나 라싱로드를 체결하여 컨테이너를 단단히 고정시킨다. 컨테이너가 아닌 일반화물인 경우 와이어로프, 와이어 클립, 턴버클(Turn Buckle), 샤클(Shakle) 등을 이용하여 와이어로프로 화물과 선박의 바닥이나 측면과 연결하여 화물을 고정시키고 해체시키기도 한다.",6년 초과 ~ 9년 이하(중졸 정도),2년 초과 ~ 4년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (수동조작),보통 작업,"균형감각
웅크림",실외,-,"쇼링작업원, 고박작업원",-,-,[6244]하역·적재 종사원,[9210]하역 및 적재 단순 종사원,[H529]기타 운송관련 서비스업,2013,-
라이닝폼조립원,돔 또는 반원형 형태로 콘크리트를 타설하기 위한 라이닝폼(이동식거푸집)을 조립한다.,"H-빔 및 금속자재를 전동절단기를 사용하여 도면대로 절단한다. 레일을 정위치에 놓고 주행빔에 바퀴를 부착한다. 레일 위에 주행빔을 두 개 올려놓는다. 절단된 H-빔과 자재를 용접하여 라이닝 형틀을 짠다. 라이닝 형틀을 장비에 올리고, 라이닝 형틀 위에 챤넬을 가로 방향으로 설치한다. 라이닝 형틀 위에 금속판(Skin Plate)을 씌운다. 작동장치(H·Y·D, Scrow Jack, Turnbuckle)를 설치한다. 금속판에 샌딩을 한 뒤 리바콤 액체(콘크리트 타설 시 금속판의 처리약품)를 도포한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (정밀작업),힘든 작업,"균형감각
웅크림",실외,"대기환경미흡
위험내재
소음·진동","이동식거푸집조립원, 강재거푸집조립공, 강재거푸집조립원","H빔설치원, 구조강건립원",-,[7016]건축 목공,[7824]건축 목공,[F421]기반조성 및 시설물 축조관련 전문공사업,2014,-
라이브사운드엔지니어,"방송, 영화, 콘서트 등의 공연을 제작하기 위해 음향계획을 수립하고 관련 종사원들의 업무를 지휘한다.","음향이 사용되는 공연의 특성을 파악한 후 방송프로듀서(방송연출가), 연극연출가 등과 협의를 통해 음향과 관련된 제작장비의 시스템을 구성한다. 음향시스템을 유지·관리하고, 제작의도에 맞게 음향시스템을 설치하고 조율한다. 음향시스템의 설정이 완료되면 사운드를 점검한다. 공연이 시작되면 무대의 변환에 따라 마이크의 밸런스와 크기를 조절한다. 현장의 소리가 관객에게 전달되도록 음향장비(믹싱콘솔mixing console)을 조작한다. 압축, 리버브, 코러스 및 기타 디지털 효과와 같은 음향효과를 주기 위해 장비를 조작한다. 음향 시스템을 설계하거나 컨설팅한다. 음향기사의 업무를 지시 및 감독한다.",14년 초과 ~ 16년 이하(대졸 정도),10년 초과,자료 (조정) / 사람 (협의) / 사물 (제어조작),가벼운 작업,청각,실내·외,소음·진동,"사운드디렉터, 사운드믹싱엔지니어, 사운드엔지니어, 콘서트, 뮤지컬, 행사 등의 경우 라이브사운드엔지니어, 음향·영상 시스템 설계 및 컨설팅을 하는 경우 인스톨엔지니어, 영화나 드라마의 경우 레코딩엔지니어",-,무대예술전문인(음향),[4161]감독 및 기술감독,[2831]감독 및 기술 감독,"[J591]영화, 비디오물, 방송프로그램 제작 및 배급업 / [J601]라디오 방송업 / [J602]텔레비전 방송업",2021,-
라이브커머스PD,방송 기획부터 송출까지 모든 전반적인 업무를 맡아서 진행한다.,"예상 시청자층을 분석하고 판매율이 높을 것으로 판단되고 방송에 적합한 제품을 구성한다. 메인상품, 서브상품, 미끼상품 등 각 포지션에 맡게 적절한 상품을 선택하고 배치한다. 선택된 상품에 맞는 이벤트, 시나리오를 구성한다. 제품에 따른 콘셉트를 기획하고 시간별 타임테이블을 구성한다. 멘트와 설명 정보를 스크립트 형식으로 작성한다. 기획안이 완성되면 구성과 어울리는 쇼호스트를 섭외한다. 현장 네트워크와 공간을 사전에 답사하여 체크한다. 세트장 연출과 장비 세팅을 하고 방송 전 간단한 사전 미팅 후 최종 리허설을 진행하여 점검한다. 정해진 방송 시간에 생방송을 진행한다. 진행자가 정해진 시나리오 구성에 맞춰 이끌어 갈 수 있도록 모니터 혹은 보드판 등을 이용해서 전반적인 지시사항을 전달한다. 방송 중간마다 진행되는 이벤트에 대한 결과도 진행자들이 확인할 수 있도록 전달한다. 1인의 경우 모든 작업을 수행한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (감독) / 사물 (정밀작업),가벼운 작업,-,실내,-,"라이브커머스기획자, 라이브커머스감독, 라이브커머스크리에이터","라이브커머스작가, 모바일쇼호스트",-,[4161]감독 및 기술감독,[2831]감독 및 기술 감독,"[J591]영화, 비디오물, 방송프로그램 제작 및 배급업 / [J602]텔레비전 방송업",2021,-
라이터가스주입원,라이터를 제조하기 위하여 가스탱크에 가스를 주입하는 가스주입기를 조작·관리한다.,가스저장실의 가스 재고를 확인한다. 가스주입장치의 이상 여부와 가스주입기의 연결파이프를 점검한다. 조립된 가스탱크를 가스주입기 케이스 받침대에 연결한다. 기계를 가동시켜 받침대를 회전시키고 가스주입구에 일정 시간 멈추게 한다. 파이프를 통하여 액화상태의 가스를주입한다. 일회용 가스라이터 제조 시 주입된 가스가 새는 것을 방지하기 위해 케이스 위에 톱니를 박아 결합하기도한다.,9년 초과 ~ 12년 이하(고졸 정도),약간의 시범정도,자료 (비교) / 사람 (관련없음) / 사물 (유지),가벼운 작업,손사용,실내,위험내재,-,-,-,[8859]주입·포장·상표부착기 및 기타 기계 조작원,[8990]기타 기계 조작원,[C339]그 외 기타 제품 제조업,2017,-
라이터불꽃조정원,라이터를 제조하기 위하여 라이터의 불꽃 높이와 가스량을 조정한다.,가스가 주입된 케이스를 손으로 잡아 가스파이프에 댄다. 라이터의 조정체를 좌우로 돌리면서 치구를 사용하여 불꽃의 최대 높이와 최소 높이를 조절한다. 불꽃의 높이와 가스량이 적당한지 육안으로 검사한다. 검사가 완료되면 후공정으로 이송한다.,9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (단순작업),가벼운 작업,"손사용
시각",실내,-,-,-,-,[8859]주입·포장·상표부착기 및 기타 기계 조작원,[8990]기타 기계 조작원,[C339]그 외 기타 제품 제조업,2017,-
라이터제조반장,라이터를 제조하기 위하여 부품을 조립하고 가스를 주입하는 데 종사하는 작업원의 활동을 감독·조정한다.,제조하고자 하는 라이터의 생산계획을 세운다. 원료와 생산설비를 점검한다. 작업계획에 따라 세부실행항목을 수립하고 작업절차 및 방법을 결정하여 작업원에게 작업내용을 지시하고 작업배치를 한다. 함께 작업하며 작업의 진행상황을 파악하고 작업내용을 상부에 보고한다. 작업원의 작업상황을 관리·감독하고 기술적인 지원 및 자재를 공급한다. 작업표준에 따라 지시된 작업이 이루어지는지 확인한다. 작업원의 직무교육 및 안전위생 교육을 통하여 직무수행능력을 향상시키고 안전재해를 예방한다. 수시면담과 관찰을 통하여 작업원의 애로점 및 건의사항을 수렴·해결하고 문제점을 보완한다.,9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (감독) / 사물 (정밀작업),가벼운 작업,손사용,실내,-,-,-,-,[8524]고무·플라스틱 제품 조립원,[8324]고무 및 플라스틱제품 조립원,[C339]그 외 기타 제품 제조업,2016,-
라이터제조원,라이터를 제조하기 위하여 라이터 몸체에 각종 부품을 조립하여 완제품을 제조하는 조립기를 조작한다.,"작업지시서를 확인하고 제조할 제품에 따라 몸통, 점화장치조립품, 인서트 등의 부품을 자동공급장치에 공급한다. 제품의 크기에 맞춰 이송지그의 위치와 속도를 조정한다. 제품 제조 중 라이터 몸통에 인서트를 삽입하고 융착하는 과정에 이상이 없는지 확인하고 자동가스주입 후 점화장치를 조립하고 불꽃검사, 발화검사 공정에서 불량이 확인된 제품을 제조라인에서 제거한다. 생산이 완료된 제품은 완제품검사를 위해 이송한다.",9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),가벼운 작업,"손사용
시각",실내,-,라이터제조기조작원,"노즐조립원, 롤러조립원, 몰드플랜결합원, 밸브원",-,[8524]고무·플라스틱 제품 조립원,[8324]고무 및 플라스틱제품 조립원,[C339]그 외 기타 제품 제조업,2016,-
라이프스타일리스트,집 내부의 공간들과 집 외부의 세부적인 부분을 살기 좋고 보기 좋게 스타일링 한다.,"고객의 요구 또는 마감재나 구조 등 전체적인 집의 공간을 고려하여 연출할 공간을 기획한다. 공간 디자인뿐만 아니라 공간 데커레이션이나 커튼, 쿠션, 장식품 등을 활용하여 집 내부의 분위기를 스타일링 한다. 고객의 성향이나 생활양식을 반영한 스타일링 또는 아이디어를 제안한다. 고객이 원하는 소품이나 제품을 찾고 이를 반영하여 스타일을 연출하기도 한다. 신소재나 최신 트렌드를 사용하여 새로운 스타일을 연출하기도 한다.",12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (협의) / 사물 (관련없음),가벼운 작업,-,실내,-,인테리어스타일리스트,-,-,[4153]실내장식 디자이너,[2853]실내장식 디자이너,[M732]전문 디자인업,2018,-
라이프코치,"청소년, 대학청년, 주부, 직장인, 은퇴자 등 개인을 대상으로 삶의 모든 영역에서 코칭 고객 스스로가 행복을 증진할 수 있도록 건강, 재무, 여가취미, 가족, 사회 참여, 관계와 소통, 삶의 목표와 의미, 정체성 등의 이슈에 초점을 두고 코칭 기법(관찰, 질문, 경청, 인정과 지지, 피드백, 메시징 등)을 활용하여 코칭한다.","최근에 일어난 일, 변화, 기분 등에 대해 대화를 나누며 코칭 고객과 신뢰 관계를 형성한다. 인터뷰 또는 진단을 통해 코칭 고객의 이슈 및 니즈를 파악하고 분석한다. 코칭 고객이 현재 처한 문제나 상황, 코칭 고객 스스로가 생각하는 바람직한 삶의 방향, 코칭 고객의 미래 목표 등에 대해서 질문한다. 질문을 통해 코칭 고객의 강점을 발견하고 코칭 고객 스스로 의식이나 관점을 전환할 수 있도록 돕는다. 건강, 재무, 여가취미, 가족, 사회 참여, 관계와 소통, 삶의 목표와 의미, 정체성 등의 목표를 달성하기 위한 실행 계획을 코칭 고객이 스스로 수립할 수 있도록 질문한다. 코칭 고객 스스로가 각 실행 계획을 구체적으로 실천할 수 있도록 질문한다. 모니터링을 통해 코칭 고객의 계획 실행 여부 혹은 진척도를 점검한다. 피드백(응원, 지지, 개선 상황 모색, 후원 환경 확인 등)을 통해 스스로가 수립한 실행 계획을 코칭 고객이 지속적으로 실행에 옮길 수 있도록 돕는다. 필요 시 각종 성격유형검사를 실시하기도 한다. 코칭 고객을 대상으로 코칭 과정을 몇 달간 실시한다.",14년 초과 ~ 16년 이하(대졸 정도),6개월 초과 ~ 1년 이하,자료 (조정) / 사람 (자문) / 사물 (관련없음),아주 가벼운 작업,언어력,실내,-,"생활코치, 생애코치, 인생코치, 멘탈코치","비즈니스코치, 커리어코치",-,[0222]인사·노무 전문가,[2711]인사 및 노사 관련 전문가,[M715]회사 본부 및 경영 컨설팅 서비스업,2021,-
라인맨,영화 및 드라마 촬영현장에서 동시녹음기사와 붐오퍼레이터를 보조한다.,동시녹음기사와 붐오퍼레이터를 보조하여 녹음장비와 붐마이크 간에 연결된 라인을 관리한다. 위험을 방지하고 촬영앵글에 맞춰 움직이는 붐마이크가 효율적으로 움직일 수 있도록 마이크 케이블의 길이를 선정하고 조명 케이블 등과 겹치지 않도록 라인을 깔고 마이크를 세팅한다. 외부에서 들어오는 소음을 확인하고 소음의 원인을 해결한다.,9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (수동조작),가벼운 작업,-,실내·외,-,붐어시스턴트,-,-,[4169]기타 연극·영화·방송 종사원,[2839]기타 연극·영화 및 영상 관련 종사원,"[J591]영화, 비디오물, 방송프로그램 제작 및 배급업 / [J602]텔레비전 방송업 / [R901]창작 및 예술관련 서비스업",2018,-
라텍스사제조원,배합된 라텍스(Latex)로부터 라텍스 리본이나 실을 제조하는 기계를 조작·관리한다.,"작업지시서의 내용에 따라 응고제의 농도, 건조기의 온도, 롤러의 회전속도 등을 조절한다. 펌프를 작동시키고 노즐이 달린 드럼에 배합이 완료된 라텍스를 충진한다. 에어컴프레서를 작동시켜 라텍스를 압출한 후 노즐을 통해 라텍스 고무줄이 나오게 한다. 노즐에서 나오는 라텍스 고무줄을 응고제 탱크, 세척 탱크, 건조기의 롤에 걸어 잡아당긴다. 일정한 수의 빗살에 노즐에서 나오는 고무줄을 끼워 고무줄을 낱개로 분리하고 일정한 장소에 고정한다. 1차 건조기를 통해 나오는 고무줄을 적당한 수로 묶어 밴드 형태로 만들고, 2차 건조기의 롤에 걸어 건조시킨다. 제품의 상태에 따라 건조기의 온도, 롤의 회전속도 등을 재조정 한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
위험내재
소음·진동",-,-,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
라텍스제조원,접착성을 부여하거나 카펫 코팅을 위해 라텍스(Latex)를 조제하여 저장탱크에 저장한다.,작업지시서나 처방서에 따라 일정량의 라텍스 드럼을 개봉하고 공기압력장치를 이용하여 탱크에 투입한다. 암모니아수나 양잿물 등의 알칼리수 및 촉진제 등 기타 부재료를 탱크에 투입하고 교반기를 사용하여 혼합한다. 혼합된 라텍스를 공기압력장치를 이용해 저장탱크로 이송한다.,9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,-,-,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
라텍스제품마무리원,성형된 라텍스(Latex) 제품을 형기(Former)에서 벗기고 표면처리를 한 후 세탁·건조하는 작업을 한다.,"경화·성형이 완료된 라텍스 제품을 형기(Former)로부터 벗기기 위하여 물 펌프를 가동시킨다. 완성된 라텍스 제품을 밀차에 옮겨 세탁기에 넣고, 표면처리를 위하여 규정된 양의 약품을 세탁기에 넣는다. 표면처리가 완료된 라텍스 제품을 건조기에 넣고 전원스위치를 조정하여 건조시간과 건조온도를 조정한다. 건조가 완료되면 밀차에 넣고 다음 공정으로 운반한다.",6년 초과 ~ 9년 이하(중졸 정도),3개월 초과 ~ 6개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (유지),힘든 작업,-,실내,"대기환경미흡
다습",-,-,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
