직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
마광원,채취한 원광석을 일정한 크기의 미세한 입자로 분쇄하는 마광기를 조작한다.,"원료투입 및 마쇄(마광) 설비를 점검한다. 마쇄기 내부 라이닝의 마모상태를 확인하고 필요시 교체한다. 마광기 동력모터의 절연상태, 감속기 및 축의 윤활유상태를 확인하고 보충한다. 오일펌프를 점검하고 오일을 넣는다. 용수탱크 및 라인을 점검한다. 오일펌프를 가동하고 용수밸브를 열고 스위치를 넣어 마광기를 가동한다. 원료투입장치를 조작하여 마쇄기에 원료를 투입한다. 작업표에 마쇄기의 회전시간을 기입하고 작업 중 일어난 정전이나 기계고장으로 인한 정지시간을 기록하여 분쇄시간을 정확히 맞춘다. 일정 시간에 따라 마쇄기에 볼(Ball)을 공급한다. 투입하는 광석의 입도·처리량·광액의 농도를 수시로 점검하여 작업표준에 맞도록 조정한다. 규정시간 동안 마쇄가 진행되면 원료투입구의 덮개를 위로 하여 정지시키고 배출용 밸브를 갈아 끼운다. 배출용 밸브의 잠김을 확인하고 레버를 조절하여 배출구를 아래로 정지시킨 후 스위치를 내린다. 탈철기와 진동체를 가동하고 마광기의 배출밸브를 열고 배출량을 조절한다. 완전히 배출되면 용수밸브를 닫고, 마광기를 정지한 후 오일펌프를 정지한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실외,"대기환경미흡
위험내재
소음·진동","마쇄원, 미분쇄기조작원, 볼밀조작원","로드밀조작원, 페블밀조작원",-,[8264]광석·석제품 생산기계 조작원,[8434]광석 및 석제품 가공기 조작원,[B051]석탄 광업 / [B061]철 광업 / [B062]비철금속 광업,2015,-
마권투표관리원,"경마, 경륜, 경정 등 경기장의 발매소에서 마권 또는 경주권을 발매하는 투표종사원들의 활동을 감독·조정한다.",마권 또는 경주권의 발매 및 배당금 환급업무를 수행하는 투표종사원의 활동을 감독하고 지시한다. 투표종사원을 교육하고 투표소에 배치시킨다. 발권기계의 수치와 판매금액의 시제가 일치하는지 확인한다. 매표기 및 기타 설비를 유지·관리한다. 고객의 불만사항을 처리하고 문제를 해결한다.,9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (감독) / 사물 (관련없음),가벼운 작업,-,실내,-,투표위원,,,[0262]인사·교육·훈련 사무원,[3122]인사 및 교육·훈련 사무원,[R911]스포츠 서비스업,2013,
마네킹고무주형원,마네킹에 부착하는 손·다리·머리 등을 형틀에 넣고 액체고무나 실리콘을 이용해 주형한다.,제조하고자 하는 마네킹에 맞는 형틀을 준비해 작업대 위에 올려놓는다. 주형작업을 마친 마네킹 부위를 형틀에서 떼어내기 쉽도록 형틀의 내부에 이형제를 바른다. 액체고무나 실리콘이 형틀 안에 가득 차도록 붓는다. 액체고무나 실리콘이 굳으면 칼을 사용해 형틀에서 마네킹 부위를 떼어낸다. 떼어낸 마네킹 부위의 표면을 다듬고 사포로 연마한다. 작업 후 제품의 외관상 결함을 검사한다. 작업일지에 일일 작업물량을 기록한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (수동조작),보통 작업,-,실내,대기환경미흡,-,"마네킹머리제조원, 마네킹손제조원",-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C339]그 외 기타 제품 제조업,2016,-
마네킹마무리원,마네킹의 표면을 연마하고 피부색에 맞는 페인트칠을 하는 등 마네킹 제조의 마무리 작업을 한다.,"결합부를 그라인딩하고 연마지를 제품표면의 곡선에 따라 고르게 문지른다. 연마 작업에서 발생한 먼지를 털어낸 후, 마네킹의 표면에 나타난 흠을 약품을 사용하여 메운다. 일정 시간이 지난 후 제품 표면을 다시 사포로 문지른다. 피부색에 맞는 스프레이를 사용하여 마네킹의 표면에 도장한다. 도장한 마네킹의 표면에 흠집이나 긁힘이 있는지 육안으로 확인하고 흠을 메우거나 긁힘을 없앤다.",9년 초과 ~ 12년 이하(고졸 정도),1년 초과 ~ 2년 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,웅크림,실내,대기환경미흡,사포마무리원,-,-,[8524]고무·플라스틱 제품 조립원,[8324]고무 및 플라스틱제품 조립원,[C339]그 외 기타 제품 제조업,2016,-
마네킹사출성형원,"일정한 모양의 형틀에 유리섬유·액체플라스틱 등을 사용하여 마네킹의 형체(몸, 팔, 다리)를 사출 성형한다.","만들고자 하는 마네킹의 종류에 맞는 형틀을 준비한다. 형틀의 앞·뒷면을 작업대 위에 올려놓은 후, 작업 후에 주조된 마네킹 형체를 뜯어내기 쉽도록 형틀에 이형제를 바른다. 유리섬유(글라스파이버)나 액체플라스틱을 일정한 두께로 바르고 결합부위에 금속(알루미늄결합구)을 부착한다. 형틀의 앞·뒷면에 액체접착제를 액체 플라스틱 양면이 맞물릴 수 있도록 바르고 금속결합구를 사용하여 서로를 결합시킨다. 일정 시간이 지난 후, 유리섬유나 액체플라스틱이 굳으면 형틀을 분리시켜 필요 없는 부위를 제거한다. 금속의 부착상태, 표면의 균열, 제품의 형태 등을 점검한다.",9년 초과 ~ 12년 이하(고졸 정도),1년 초과 ~ 2년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,웅크림,실내,대기환경미흡,-,-,-,[8522]플라스틱제품 생산기계 조작원,[8323]플라스틱제품 생산기 조작원,[C339]그 외 기타 제품 제조업,2016,-
마리나운영원,"마리나 시설을 유지·관리하고 이용 선박에 접안, 계류 등 관련 서비스를 제공한다.","마리나 시설(스포츠 또는 레크리에이션용 요트, 모터보트 등의 선박을 위한 항구)의 선석 배정 현황을 관리한다. 선석 예약 및 연·월간 이용계약을 체결하고 등록·관리하여 가용선석을 효율적으로 운영한다. 선박의 이안 및 접안을 통제한다. 폰툰(Pontoon:선석을 이루는 부유구조물) 및 계류장에서 주유, 전기충전, 급수, 소모품 공급 등 관련 서비스를 제공한다. 상·하가시설을 운영하여 선박을 육지로 끌어올리거나 육지의 선박을 물에 내린다. 선박보관시설, 상·하가시설, 급유시설, 전기시설, 선박작업용 시설 등 관련 시설의 환경·출입·보안을 유지·관리한다. 재해 및 비상시 관련 지침에 따라 대응한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,-,실외,-,-,-,-,[4209]기타 스포츠 및 여가서비스 종사원,[4329]기타 여가 서비스 종사원,[R912]유원지 및 기타 오락관련 서비스업,2018,-
마술사,"관객들 앞에서 동전, 카드 등의 각종 마술도구들을 사용하여 마술공연을 한다.","공연 의뢰를 받으면, 마술의 종류와 도구, 공연진행순서, 음악선곡 등을 계획한다. 계획에 맞게 마술공연을 연습한다. 동전이나 카드, 생활용품, 비둘기, 각종 마술도구들을 사용하여 공연한다. 공연이 없을 때는 기존에 익힌 마술들을 완벽히 연출하기 위해 연습한다. 새로운 마술기술을 개발하고 마술도구를 연구·제작한다. 학교나 단체, 개인을 대상으로 학원, 온라인 등에서 마술을 강의하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (오락제공) / 사물 (정밀작업),가벼운 작업,손사용,실내,-,-,-,-,[4149]기타 시각 및 공연 예술가,[2849]기타 시각 및 공연 예술가,[R901]창작 및 예술관련 서비스업,2012,-
마스크가공반장,컬러텔레비젼 수상관에 사용되는 마스크(mask)를 가공하는데 종사하는 작업원의 활동을 감독·조정한다.,생산계획에 따라 근무편성표를 작성하고 작업원에게 작업을 할당한다. 출근상황을 파악하여 관리부서에 보고한다. 개선제안 및 분임조 회합실적을 점검하고 결과를 상부에 보고한다. 생산실적을 분석하여 추이도를 작성하고 문제점 및 대책을 세운다. 일별 인원현황 및 작업시간보고서 등을 작성하고 원·부자재 입고계획 및 실적을 확인한다. 설비 및 생산에 대한 특성검사를 실시하거나 문제점을 파악하고 조치하기도 한다.,9년 초과 ~ 12년 이하(고졸 정도),4년 초과 ~ 10년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (정밀작업),보통 작업,-,실내,"위험내재
소음·진동",,"마스크성형반장, 마스크조립반장",,[8360]전기·전자 부품·제품 조립원,[8640]전기·전자 부품 및 제품 조립원,[C262]전자부품 제조업,2011,소멸(브라운관의 생산 중단)
마스크가공원,컬러텔레비전용 수상관에 사용되는 섀도마스크(shadow mask) 금속판을 가공하는 일을 한다.,마스크 금속판의 내부응력을 제거하고 재질을 연화시키기 위하여 수소로를 일정한 온도까지 승온하고 가스·냉각수 등을 공급하며 마스크 투입에 사용되는 망사를 준비한다. 수소로로 이송되는 콘베이어 투입구에마스크를 망사 위에 올려 놓고 작업을 진행한다. 작업을 마친 마스크를 들어내고 성형상태를 검사한다. 묻어있는 기름불순물을 제거하기 위하여 약품처리 설비를 가동하거나 투입구와 출구에서 가공품을 올리거나 내린다.,9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (수동조작),보통 작업,웅크림,실내,"위험내재
다습
소음·진동",-,"마스크세정원, 마스크소둔원, 마스크탈지원, 마스크프레스원, 마스크흑화로조작원, 패널투입원",-,[8360]전기·전자 부품·제품 조립원,[8640]전기·전자 부품 및 제품 조립원,[C262]전자부품 제조업,2011,소멸(브라운관의 생산 중단)
마스크수리원,컬러텔레비전용 수상관에 사용되는 섀도마스크(shadow mask) 금속판의 불량품을 폐품과 수리가능품으로 선별하고 패널(panel)과 마스크를 수리·재생한다.,"작업대 위에 수리공구를 준비하고 백열등·투광대의 전원이 이상이 있는지 점검한다. 수리품과 폐품을 구분하여 폐품은 폐품함에, 수리품은 가대에 정리한다. 가대차에서 패널과 마스크를 꺼내 고무링 위에 올려놓고 마스크를 분리한다. 마스크를 투광대에서 검사하여 요철은 실버펜으로 표시한 후 수리대에서 수리망치를 사용하여 수리하고, 구멍막힘은 칫솔과 수리침으로 수리하며, 오염된 부분은 알콜램프로 가열한다. 원재료불량은 양품과 불량품으로 판정하여 반품 처리할 수 있도록 창고로 반납하고 수리 후 양품은 수리완료 표시 후 가대차에 담아 재투입하고 폐품은 보관함에 모아 버린다. 드릴의 구동상태, 버프의 마모상태, 컴파운드의 희석정도, 고무링의 청결 상태를 확인하고 패널의 내면 흠·불량을 가대에 실어 수리실로 이동한다. 가대차의 패널을 고무링 위에 올려놓고 불량부위를 검사하여 표시한다. 드릴을 사용하여 불량부위에 연마제가 골고루 묻도록 돌려가며 수평을 유지하며 연마한다. 수리부위를 검사하여 양품은 연마제를 제거하고 불량품은 재수리한다. 수리가 끝나면 패널과 마스크를 조립하여 가대차에 싣고 수리품을 다음 공정으로 운반한다. 수리실을 정리·정돈하고 일보를 작성한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (정밀작업),보통 작업,-,실내,대기환경미흡,,,,[8322]가전제품 설치·수리원,[7612]가전제품 설치 및 수리원,[C262]전자부품 제조업,2011,소멸(브라운관의 생산 중단)
마스크투입원,컬러텔레비전용 수상관에 사용되는 섀도마스크(shadow mask) 금속판의 불량품을 폐품과 수리가능품으로 선별하고 패널(panel)과 마스크를 수리·재생한다.,"작업대 위에 수리공구를 준비하고 백열등·투광대의 전원이 이상이 있는지 점검한다. 수리품과 폐품을 구분하여 폐품은 폐품함에, 수리품은 가대에 정리한다. 가대차에서 패널과 마스크를 꺼내 고무링 위에 올려놓고 마스크를 분리한다. 마스크를 투광대에서 검사하여 요철은 실버펜으로 표시한 후 수리대에서 수리망치를 사용하여 수리하고, 구멍막힘은 칫솔과 수리침으로 수리하며, 오염된 부분은 알콜램프로 가열한다. 원재료불량은 양품과 불량품으로 판정하여 반품 처리할 수 있도록 창고로 반납하고 수리 후 양품은 수리완료 표시 후 가대차에 담아 재투입하고 폐품은 보관함에 모아 버린다. 드릴의 구동상태, 버프의 마모상태, 컴파운드의 희석정도, 고무링의 청결 상태를 확인하고 패널의 내면 흠·불량을 가대에 실어 수리실로 이동한다. 가대차의 패널을 고무링 위에 올려놓고 불량부위를 검사하여 표시한다. 드릴을 사용하여 불량부위에 연마제가 골고루 묻도록 돌려가며 수평을 유지하며 연마한다. 수리부위를 검사하여 양품은 연마제를 제거하고 불량품은 재수리한다. 수리가 끝나면 패널과 마스크를 조립하여 가대차에 싣고 수리품을 다음 공정으로 운반한다. 수리실을 정리·정돈하고 일보를 작성한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (정밀작업),보통 작업,-,실내,대기환경미흡,,,,[8322]가전제품 설치·수리원,[7612]가전제품 설치 및 수리원,[C262]전자부품 제조업,2011,소멸(브라운관의 생산 중단)
마운트기조작원,마운트기를 사용해서 스템과 필라멘트를 연결·고정시키고 스템의 리드선에 게터(전자관 내의 진공도를 높일 목적으로 관 속에 설치하는 화학물질)를 바르는 계선 공정을 담당한다.,"전 공정을 거친 스템을 컨베이어 등으로 이동시킨다. 기계의 회전판 위에 플래어, 도입선, 유리관이 조립된 스템을 놓는다. 기계의 필라멘트 공급대에 필라멘트를 놓고 마운트기를 가동시킨다. 기계를 작동해 스템에 앙카를 형성하고, 몰리브덴선을 심어 필라멘트를 걸어주도록 한다. 도입선에 질화바륨 등의 게터물질을 자동으로 도포하는 기계의 작동을 한다. 제조된 마운트의 외관, 필라멘트의 부착강도, 도포된 게터의 중량 등을 검사하기도 한다. 게터의 농도를 분석해서 희석제를 첨가하거나 저어주기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (유지),보통 작업,"웅크림
손사용",실내,"위험내재
소음·진동",계선조립원,게터도색원,-,[8351]전기 부품·제품 생산기계 조작원,[8631]전기 부품 및 제품 제조 기계 조작원,[C284]전구 및 조명장치 제조업,2014,-
