직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
사료검사원,"배합사료, 펠릿(Pellet)사료의 품질이 완성기준에 적합한지를 검사·분석한다.","제조 중이거나 제조된 사료제품을 육안으로 관찰하면서 신선도, 변질, 불순물의 혼합 여부, 수분함량 등을 검사한다. 채취한 견본의 품질을 검사하기 위하여 실험기구를 사용하여 분석한다. 사료의 포장상태를 검사한다. 검사·분석한 자료를 정리한다. 생산된 사료의 출하량 및 재고량을 관리한다.",12년 초과 ~ 14년 이하(전문대졸 정도),3개월 초과 ~ 6개월 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (정밀작업),보통 작업,-,실내,"대기환경미흡
소음·진동",-,-,"품질관리기술사, 품질경영기사, 품질경영산업기사",[1223]농림어업 시험원,[2132]농림·어업 관련 시험원,[C108]동물용 사료 및 조제식품 제조업,2012,-
사료원료혼합원,"어류 및 가축의 사료를 제조하고자 옥수수가루, 어분(Fish Meal:魚粉), 첨가물 등을 일정 비율로 혼합하는 기계를 조작하고 관리한다.","제품 제조에 관련된 작업일지를 확인하고 기계의 이상 유무, 제품별 배합비 등을 확인한다. 곡물저장탱크관리원에게 연락하여 저장탱크(Silo)의 원료(옥수수가루, 곡물, 어분, 첨가물) 재고량 및 배합할 원료의 청결도를 확인한다. 저장탱크의 배출구를 열고, 버킷컨베이어(Bucket Conveyor)나 송풍관을 가동하여 혼합탱크로 해당품목의 원료를 이송한다. 혼합기에 입력된 배합비가 정확한지 확인한 후, 원료의 혼합이 용이하도록 교반기를 가동하고 가동상태를 주시한다. 배합시간, 액상원료의 공정유지상태 등을 파악하면서 후속공정과의 연계가 원활하게 이루어지고 있는지 점검한다. 혼합탱크의 배출구를 열고 견본을 채취하여 혼합상태를 검사한다. 혼합물이 배출구를 통해 안전하게 사일로(Silo)로 이송되는지 확인·점검한다. 사료의 입도(Grain Size:粒度)를 작업표준과 일치하게 하기 위하여 자동공급기의 조절장치를 조절하기도 하며 분무기의 노즐·공기조절장치 등을 조정하여 사료에 뜨거운 당밀을 뿌리기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (유지),보통 작업,웅크림,실내,"대기환경미흡
소음·진동",-,"가금류사료혼합원, 개사료혼합원, 닭사료혼합원, 돼지사료혼합원, 어분혼합원",-,[8732]제분·도정 기계 조작원,[8111]제분 및 도정 관련 기계 조작원,[C108]동물용 사료 및 조제식품 제조업,2016,-
사료제분기조작원,사료를 제조하고자 곡물을 분쇄하는 기계를 조작하고 유지·관리한다.,"분쇄기의 가공속도, 입도(Grain Size, 粒度) 등을 조정판에 입력하여 제분되는 전체과정을 관찰·조절한다. 분쇄기통 안으로 투입되는 곡물의 유출량을 조절한다. 분쇄롤러의 간격을 조절하여 분쇄입도를 맞추고 분쇄속도를 조절한다. 분쇄기의 가동 및 분쇄상태를 관찰한다. 분리기를 통해 분리되는 곡물가루의 입자를 점검하며 건조기의 회전속도를 조정하여 수분이 제대로 건조되도록 관리한다. 건조가 완료된 곡물이 혼합공정으로 원활하게 이송되는지 확인한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
소음·진동",사료제분기조정판조작원,-,-,[8732]제분·도정 기계 조작원,[8111]제분 및 도정 관련 기계 조작원,[C108]동물용 사료 및 조제식품 제조업,2016,-
사리채취기운전원,강·호수·바다·만 등의 물속에 있는 골재를 채취하는 사리채취기를 운전한다.,작업도면을 읽고 골재채취방법과 앵커설치에 따른 위치와 방법을 결정한다. 예인선(曳引船:주로 다른 선박을 예항(曳航) 또는 압항(押航) 하는 선박)에 의해 예인되는 사리채취기를 골재채취현장에 고정시킨다. 사리채취기를 조작하기 위하여 원동기를 시동한 후 각종 계기를 점검한다. 작업현장의 수심을 측정하고 수심에 의거하여 작업진행방향·거리·굴착깊이·골재량·골재종류 등을 조사·확인한다. 정격 회전수대로 상승시킨 후 래더(Ladder:사다리)를 바닥까지 내린다. 모래나 자갈 등의 골재를 퍼 올리는 연속 버킷이나 펌프를 작동시키기 위하여 구동버튼을 누른다. 버킷에 담아지는 골재의 양에 따라 래더의 적정깊이를 조정한다. 채취한 골재를 운반용 배에 싣는다. 버킷을 완전히 청소한 후 래더를 수면상의 원위치에 두고 메인 클러치를 풀고 원동기를 정지시킨다.,9년 초과 ~ 12년 이하(고졸 정도),1년 초과 ~ 2년 이하,자료 (비교) / 사람 (관련없음) / 사물 (조작운전),보통 작업,"손사용
시각",실외,"위험내재
다습
소음·진동","골재채취기조작원, 드레져(Dredger)원, 사리재취기조작운전원",준설선,건설기계조종사면허증(준설선),[7040]건설·채굴 기계 운전원,[8750]건설 및 채굴기계 운전원,[B071]토사석 광업,2022,
사무보조원(일반),사무실에서 문서작성 등 사무업무를 보조한다.,"서류를 정리하고 문서를 수발한다. 근태 및 작업일지 등의 자료를 집계한다. 문서 및 기타 서류를 작성한다. 자료를 관리하고 필요할 경우 이를 복사한다. 입력할 자료를 순서대로 정리하고 키보드를 조작하여 입력한다. 입력이 완료되면 검토하고 파일로 저장한다. 전화받기, 방문객 안내, 문서수발 등 간단한 고객업무를 수행한다.",9년 초과 ~ 12년 이하(고졸 정도),시범후 30일 이하,자료 (기록) / 사람 (서비스 제공) / 사물 (단순작업),아주 가벼운 작업,-,실내,-,,"자료입력원, 문서수발원, 서류정리원, 업무보조원, 공공사무보조원, 공공인턴, 실험보조원, 문서작성원",,[0295]전산자료 입력원 및 사무 보조원,[3142]전산 자료 입력원 및 사무 보조원,[N759]기타 사업지원 서비스업,2021,-
사무용기기기술영업원,"복사기, 복합기, 프린터, 프로젝터 등을 소비자에게 판매하고 수리한다.","제조사에서 물품을 수령하여 소비자를 방문하여 복사기, 복합기, 프린터, 프로젝터 등을 판매한다. 기기에 관련된 토너, 드럼, 용지 등 소모품을 판매한다. 판매에 관련된 서류를 작성한다. 상품에 대한 특성과 신기술을 숙지하여 소비자의 물품 구매에 도움을 준다. 고객을 관리하여 소모품이나 관련 물품의 추가적인 판매에 도움을 준다. 소모품이나 고장으로 인한 단순 부품은 직접 교체하며 복잡한 고장은 수리공장에 입고시킨다.",12년 초과 ~ 14년 이하(전문대졸 정도),1년 초과 ~ 2년 이하,자료 (조정) / 사람 (설득) / 사물 (정밀작업),가벼운 작업,-,실내·외,-,사무기기기술영업원,-,-,[6121]기술 영업원,[2743]기술 영업원,[G465]기계장비 및 관련 물품 도매업,2013,-
사무용기기기술자,"복사기, 팩시밀리(FAX와 유사) 등의 사무용기기를 연구·설계하고 개발한다.","신속한 사무처리에 적합한 장치와 기계를 연구·설계한다. 개발된 사무기기를 시험제작하여 제품의 성능을 확인한다. 시제품에서 발생하는 문제점을 분석하고 문제점의 개선책에 대하여 연구한다. 생산 시 발생되는 생산비용을 산출하고 공정도를 작성한다. 개발된 제품을 생산할 때는 각 부품의 생산 또는 조립상황을 감독하고, 생산품을 검사하여 제품 설계내용과 생산제품을 비교·검토한다.",14년 초과 ~ 16년 이하(대졸 정도),4년 초과 ~ 10년 이하,자료 (종합) / 사람 (말하기-신호) / 사물 (정밀작업),가벼운 작업,-,실내,-,"사무용기기술자, 사무용기계기술자",-,-,[1531]전기공학 기술자 및 연구원,[2341]전기공학 기술자 및 연구원,[C291]일반 목적용 기계 제조업,2014,-
사무용기기부품조립원,"작업지시서에 따라 수동공구, 전동공구 등의 각종 공구를 사용하여 사무용기기 부품을 결합, 연결, 삽입하여 각종 부분품을 조립한다.","부품들을 고정시키거나 서로 맞추고 렌치, 집게, 드라이버 등의 각종 공구를 사용하여 부품들을 서로 조이고 결합한다. 부품들을 서로 결합하여 움직여 보면서 적절한 기능을 발휘하는가를 시험해 본다. 밀봉접착제를 사용하여 조여진 나사가 풀리지 않도록 한다. 상대운동을 하는 부분에 윤활유를 공급한다. 각도기나 게이지 등을 사용하여 부품들이 굽힘상태, 각도, 간격 등을 확인한다. 제품의 모델과 사양에 맞게 제작되었는지 확인한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,-,실내,-,"사무용기계부품조립원, 사무용기부품조립원",-,-,[8360]전기·전자 부품·제품 조립원,[8640]전기·전자 부품 및 제품 조립원,[C291]일반 목적용 기계 제조업,2014,-
사무용기기수리반장,"복사기, 계산기, 팩시밀리 등의 사무용 기기제품을 정비하고 수리하는 일에 종사하는 작업원의 활동을 감독·조정한다.",공정표·작업지시서에 의하여 조립되는 완제품의 불량 유무를 확인하다. 불량의 원인에 따라 작업·자재·설계·외주 등 구분하여 파악하고 작업일지를 작성하며 동일한 불량의 재발을 방지하기 위하여 관련 부서에 통보한다. 정비와 수리 절차에 대해 작업원들을 훈련시킨다.,9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (정밀작업),보통 작업,-,실내,-,"사무용기계수리반장, 사무기기A/S수리반장, 사무기기에이에스수리반장, 사무기기A/S반장, 사무기기에이에스반장","하는 일에 따라 계수기수리반장, 팩스수리반장, 빔프로젝트수리반장, 복사기수리반장",-,[8321]사무용 전자기기 설치·수리원,[7611]사무용 전자기기 설치 및 수리원,[C340]산업용 기계 및 장비 수리업,2014,-
사무용기기수리원,"팩시밀리, 복사기, 복합기와 같은 사무기기를 점검 및 수리한다.","수리를 의뢰한 기기의 고장내역을 검토한다. 기기를 작동시키고 회로상의 고장인지 물리적인 손상인지 확인한다. 수동공구를 사용하여 기계를 분해하고, 각종 기어, 가이드, 롤러 등의 부품을 검사한다. 수동공구, 전동드라이버, 납땜기구 등을 사용하여 기판을 교체하거나 땜질하고 부품의 교환 작업을 수행한다. 작동 부품을 소제하고 윤활제를 주입한다. 사무기기의 파손 또는 고장원인을 소비자에게 설명하고 제품손상 여부 및 교체부품에 따라 견적을 산출한다. 기계사용의 주의사항이나 조작방법 등을 설명하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (분석) / 사람 (관련없음) / 사물 (정밀작업),보통 작업,-,실내,-,"사무기기애프터서비스원, 사무기기A/S수리원, 사무기기에이에스수리원, 사무기기에이에스원, 사무기기A/S원","하는 일에 따라 계수기수리원, 팩스수리원, 빔프로젝트수리원, 복사기수리기사, 사무기기A/S요원, 복합기수리원",-,[8321]사무용 전자기기 설치·수리원,[7611]사무용 전자기기 설치 및 수리원,[C340]산업용 기계 및 장비 수리업,2014,-
