직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
아동보호전담요원,"보호대상아동의 보호체계 진입부터 분리, 보호결정 및 보호, 자립지원 및 사후관이 과정에 개입하고 모니터링 한다.","보호대상 아동을 상담하고, 건강검진, 심리검사 가정환경을 조사한다. 조사 결과를 바탕으로 아동의 보호조치를 결정한다. 아동의 분리보호가 결정된 후, 가정 외 보호기관(가정위탁지원센터, 공동생활가정, 양육시설, 입양기관 등)과 협업하여 아동에 대한 서비스계획을 수립한다. 분리보호 서비스를 제공하며, 서비스 제공 상황과 원가정 상황 등을 정기적으로 점검한다. 모니터링 결과 서비스 제공 계획에 변경 필요성을 검토하고, 필요시 수정하여 서비스를 제공한다. 양육상황을 점검하고, 점검 결과에 대하여 보호조치 목적 달성 여부 등을 평가한다. 보호아동이 원가정에 복귀하거나 연령 도래로 아동보호서비스가 종료되는 경우 아동분리상황이 재발생하지 않도록 가정방문서비스기관(드림스타트, 희망복지원단 등)과 연계하여 아동을 지도하고 관리한다. 보호아동에 대하여 아동보호 서비스의 보호 조치를 변경 및 종결할 때 개별 아동에 대해 전문적 ·개별적 심의가 가능하도록 사례결정위원회를 소집하고 운영한다.",12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,-,실내·외,-,-,-,"사회복지사(1급, 2급), 정신건강사회복지사 2급",[2311]사회복지사,[2471]사회복지사,[O842]사회 및 산업정책 행정,2023,-
아동복지지도원,"아동상담소 또는 시·군·구청에서 아동복지를 위한 상담, 조사, 위탁보호, 지도 등의 업무를 수행한다.","아동지도에 필요한 가정환경조사, 신체검사, 심리검사 및 정신의학적 검사를 실시하여 그 결과를 통해 문제를 이해한다. 문제해결을 위하여 적절한 지도방침을 세우고 입양, 위탁 및 거택보호 등 적당한 관련 조치를 취한다. 아동 및 임산부에 대하여 전문적인 지도가 필요한 경우 개별 또는 집단지도를 실시하거나 전문가에게 의뢰하여 필요한 지도를 받도록 한다. 관할 구역 내의 보호아동의 분포상황을 파악하여 직접 지도하거나 관계기관에 보호조치를 요청하고 사후지도를 수행한다. 아동복지법인의 시설이나 업무처리에 관하여 위법 여부를 조사하고 시정사항을 지도·감독한다. 관할 구역 내의 아동보호위원들과 유대를 갖고 협의회를 개최하거나 보호대상아동에 관한 조사, 복지조치, 지도방법 등을 지도·관장한다.",14년 초과 ~ 16년 이하(대졸 정도),1년 초과 ~ 2년 이하,자료 (조정) / 사람 (자문) / 사물 (관련없음),가벼운 작업,-,실내,-,-,입양사후관리원,-,[2312]상담 전문가,[2474]상담 전문가,[Q871]거주 복지시설 운영업 / [Q872]비거주 복지시설 운영업,2017,-
아동전문간호사,아동과 가족의 건강력을 수집하고 임상적 의사결정을 통해 아동을 진단하고 간호서비스를 제공한다.,"발달상태 선별검사, 소아발육 기록 및 평가 등을 통해 신체/운동 성장발달을 확인한다. 사회심리발달과 인지도덕을 확인하고 아동과 가족의 건강력을 수집한다. 시진, 촉진, 청진, 타진 등을 통해 전신 신체검진을 한다. 영양상태와 아동 통증을 평가하여 신체검진을 수행한다. 정신 영적 건강을 사정한다. 진단검사 결과를 확인하고 자료를 분석 및 해석한다. 실제적, 잠재적 건강문제를 진단한다. 비판적 임상추론과 주소견 기술을 통해 감별하고 진단한다. 치료 및 간호 중재를 계획하고 평가한다. 기본심폐소생술(BLS)과 소아전문심폐소생술(P-ACLS)을 시행한다. 사고, 중독아동을 관리하고 지역사회 재해에 대처한다. 아동 발달단계별 건강교육 계획을 수립하고 건강교육 프로그램, 교육자료를 개발, 시행 및 평가한다. 아동 및 주양육자를 상대로 상담과 코칭을 진행한다. 병원학교 운영 프로그램을 계획하고 아동 건강 관련 인적, 물적 자원 및 재정을 관리한다. 아동간호실무표준 및 지침과 알고리즘을 개발하는 등 전문직 발전에 참여한다. 아동건강 관련 이론을 실무에 적용하고 연구를 기획 및 결과발표를 수행한다.",16년 초과(대학원 이상),2년 초과 ~ 4년 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (수동조작),가벼운 작업,-,실내,-,-,-,"간호사, 아동전문간호사",[3040]간호사,[2430]간호사,[Q861]병원,2017,-
아동지능검사원,"아동의 지능, 인성, 적성 및 발달 검사를 실시한다.","소아과의사의 지시에 따라 해당 아동의 검사를 의뢰받는다. 연령 및 발달 정도에 적합한 발달, 인성, 적성 및 지능검사 방법을 선택한 후 검사 계획 및 일정을 수립한다. 검사지, 그림책 등 검사도구를 이용하여 지능 및 기초학습기능 검사를 수행하며 발달검사와 관련된 기초적인 언어능력을 측정한다. 부모의 양육태도가 아동의 인성에 미치는 영향을 평가하기 위해서 부모자녀관계 검사를 실시한다. 평가 후 결과를 정리해서 담당 소아과의사에게 보고한다. 지능검사가 어려운 장애아동을 대상으로 발달검사를 수행하기도 한다.",12년 초과 ~ 14년 이하(전문대졸 정도),1년 초과 ~ 2년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,아동심리지도사,-,-,[3066]임상심리사,[2457]임상심리사,[Q869]기타 보건업,2017,-
아동학대전담공무원,"아동학대사건 피해아동을 상담 및 사건 관련자를 조사하고, 피해아동보호계획 수립·조치 및 아동학대사건 사례를 관리·점검한다.","아동학대사건 신고를 접수하고, 현장에 출동한다. 피해아동을 상담하고 아동학대행위자 등 사건관련자를 조사한다. 아동학대 여부를 판단하고 피해아동보호계획을 수립한다. 아동보호전문기관과 연계하여 아동보호 조치한다. 국가아동학대정보시스템에 정보를 입력·관리한다. 아동보호전문기관의 신체적·정신적 아동학대 사례를 관리·점검한다. 아동학대 예방과 관련된 업무를 한다.",12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,-,실내·외,-,-,-,"사회복지사(1급, 2급), 정신건강사회복지사 2급",[2311]사회복지사,[2471]사회복지사,[O842]사회 및 산업정책 행정,2023,-
아로마제품판매원,"고객에게 아로마 오일제품의 효능 및 사용방법을 안내하고, 알맞은 제품을 추천하고 판매한다.","고객에게 아로마 제품의 효능에 대해 설명하고 상담을 통하여 고객에게 적합한 오일을 추천한다. 오일이 고객의 피부에 적합한지 테스트를 실시한다. 고객에게 흡입법, 수요법, 스팀법, 마사지법, 좌욕법 등의 오일 사용방법과 사용용량, 첨가오일, 브랜딩 방법 등에 대해 설명한다. 고객이 구매하고자 하는 아로마 제품을 계산한다. 오일을 이용한 관련 제품을 직접 제작하기도 한다. 상품을 진열 및 정리한다. 고객정보를 관리한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (설득) / 사물 (단순작업),가벼운 작업,손사용,실내,-,향기치료사,-,-,[6151]상점 판매원,[5212]상점 판매원,[G478]기타 상품 전문 소매업,2013,-
아리안스기조작원,갑피와 밑창을 접착제로 붙인 구두를 꿰매기 위하여 아리안스기계를 조작한다.,일정 온도로 송진과 식물유를 조합하여 용해한 액을 마사에 충분히 흡수시켜 만든 봉합사를 기계에 장치한다. 창을 위로 하여 앞코를 잡아 소뿔모양의 받침대 끝이 구두 속 깊은 곳까지 잘 받칠 수 있도록 골을 뺀 구두를 뒤집어씌운다. 노루발(누름쇠)을 내려 본창의 홈을 눌러 받침대와 맞물린다. 상하의 실을 잡아낸 후 기계를 돌려 홈을 따라 뒤꿈치에서 시작하여 앞코 쪽으로 돌려가며 꿰맨다. 기계를 멈추고 상하의 실을 자른 후 노루발을 올려 구두를 빼낸다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (투입-인출),보통 작업,웅크림,실내,"대기환경미흡
위험내재
소음·진동",-,-,신발제조기능사,[8649]기타 직물·신발 기계 조작원 및 조립원,[8229]기타 직물·신발 관련 기계 조작원 및 조립원,[C152]신발 및 신발 부분품 제조업,2016,-
아말감제련원,수은 용융처리로 원광에서 금 또는 은을 분리시키는 기계장치를 조작한다.,밸브를 조작하여 도금판 위의 원광과 물의 유동을 조절한다. 형판의 각도를 조절하여 아말감 침적을 촉진한다. 형판에 쌓인 아말감을 문질러 깎아내고 수은으로 형판을 도금한다. 밸브를 조작하여 원광과 수은을 회전식통이나 교반식 탱크에 투입한다. 기계장치를 시동하고 아말감 침적상태를 육안으로 관찰한다. 통이나 탱크의 물을 배출시키고 금 또는 은 아말감을 회수한다.,9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
고온
다습",,,,[8211]금속가공 제어장치 조작원,[8414]금속가공 관련 제어 장치 조작원,[C242]1차 비철금속 제조업,2023,
아보리스트,등목기술을 이용하여 수목에 올라 수목을 관리 및 제거 또는 수목의 일부를 채취 하는 등의 작업을 수행한다.,"등목기술을 이용하여 15m 이상인 수목에 올라 병해충목 관리, 위험 수목 제거, 종자채취 등의 일을 수행한다. 국가유산으로 가치가 높은 보호수나 노거수를 관리한다. 작업을 위하여 다양한 매듭을 사용·관리하며, 등목 전 나무 및 작업현장에 대한 위험요소를 조사·파악하여 작업계획을 수립한다.",9년 초과 ~ 12년 이하(고졸 정도),1년 초과 ~ 2년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (정밀작업),아주 힘든 작업,"균형감각
웅크림
손사용
시각",실외,"위험내재
소음·진동",수목관리사,-,-,[9031]조림?산림경영인 및 벌목원,[6201]조림·산림경영인 및 벌목원,[A020]임업,2022,-
아세틸렌가스제조원,"아세틸렌(Acetylene:C₂H₂) 가스를 제조하기 위하여 냉각기, 건조기, 정제기, 가스압축기 등 관련 장치를 조작·관리한다.","물탱크의 밸브, 수위게이지, 온도조절장치 등을 돌려서 가스발생기에 규정된 수위까지 물을 넣고 호퍼(Hopper)에 일정량의 탄화칼슘(칼슘카바이드) 결정체를 쏟아붓는다. 냉각기, 가스홀더, 건조기, 가스정제기, 가스압축기 등을 조작하여 아세틸렌가스(Acetylene, C₂H₂:산소·아세틸렌염을 이용해 금속의 용접 및 절단에 주로 사용함)의 열을 냉각시키고 아세틸렌가스에 포함된 불순물 및 기름성분을 제거한다. 압력, 온도, 용액높이, 유동게이지 등을 관찰하여 공정의 흐름을 조절하고 안전사고를 방지하기 위해 역화방지기, 안전밸브 등을 점검한다. 제조한 아세틸렌가스를 실린더 용기에 충전하기도 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),가벼운 작업,웅크림,실외,대기환경미흡,-,-,-,[8512]화학물 가공장치 조작원,[8312]화학물 가공 장치 조작원,[D352]연료용 가스 제조 및 배관공급업,2022,-
