직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
자가용운전원,기관의 장이나 임원의 출퇴근 및 외부일정을 돕기 위해 차량을 운행하고 차량의 상태를 지속적으로 관리한다.,"기관의 장이나 임원의 출퇴근 및 외부일정 시간과 목적지를 숙지한다. 목적지까지 안전한 운행을 위해 차량을 사전 점검한다. 주행 중 법률을 준수하며 안전하게 자가용을 운전한다. 차량의 상태를 수시로 점검하고 소모품과 부품을 정기적으로 교체한다. 차량 사고가 발생하거나 차량에 이상이 발생할 경우 신속하게 안전조치를 취하며, 총무부 등 관련 부서와 보험 및 수리에 관련된 일련의 조치를 취한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (조작운전),가벼운 작업,"손사용
시각",실내,-,"자가용운전사, 승용차운전원","대리운전기사, 렌터카운전원, 렌터카인도원, 사장차운전원, 업무차량운전원, 수행기사",자동차운전면허,[6229]기타 자동차 운전원,[8739]기타 자동차 운전원,[H492]육상 여객 운송업,2013,-
자가풍력발전기운영원,자가 풍력발전설비를 조작·운영한다.,"풍력발전에 따라 전기계통과 발전기 운영, 조작, 응급조치 방법 등을 설비업체를 통해 교육받는다. 매뉴얼에 따라 풍력발전기의 상태를 점검하고 가동이 가능한지 확인한다. 풍황을 확인하여 발전가능한 풍황일 경우 풍력발전기를 가동하고 전력을 생산한다. 풍력발전을 중단할 경우 바람에 날개가 회전하지 않도록 제동장치를 작동시키고 풍력발전설비로부터의 전력공급계통을 차단한다. 제어판에 이상신호가 발생 시 풍력발전기의 작동을 중단하고 이상원인을 파악하여 유지보수업체에 수리를 요청한다. 간단한 고장에 대한 조치 등 유지보수 업무를 수행하기도 한다.",12년 초과 ~ 14년 이하(전문대졸 정도),1년 초과 ~ 2년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (제어조작),가벼운 작업,-,실내,-,-,-,-,[8330]발전·배전 장치 조작원,[8610]발전 및 배전장치 조작원,[D351]전기업,2014,-
자개세공원,각종 공구를 사용하여 조개껍질을 여러 가지 모양으로 가공하고 목재 또는 금속재료 표면에 붙여 장식할 수 있도록 제작한다.,"조개껍질을 선별하여 표면을 그라인더로 갈아 두께를 일정하게 한다. 일정한 넓이로 선을 긋고 기계톱으로 선을 따라 절단한다. 절단한 양면을 연삭기로 깎고 내면을 그라인더로 연마한다. 일정한 크기로 연마되면 실톱을 사용하여 새나 사슴, 나무 등의 여러 가지 모양으로 가공한다. 미리 본을 그려둔 기름종이 등의 얇은 종이에 풀을 바르고 가공한 자개를 손으로 붙인다. 종이에 붙인 자개에 아교 등의 접착제를 발라서 문짝 등의 백골에 부착하여 무늬를 만든다. 완전히 부착되면 종이에 물을 흥건히 적시어 종이를 손으로 떼어낸다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (관련없음) / 사물 (정밀작업),보통 작업,"웅크림
손사용
시각",실내,-,"나전원, 자개부",-,-,[8841]공예원,[7911]공예원,[C320]가구 제조업,2017,-
자견원,고치실에 포함되어 있는 세리신(Sericin)을 연화·팽윤하여 제사작업이 용이하도록 한다.,"실켜기 목적과 방법에 따라 부합되는 용수조건, 각 처리부위별 탕의 온도, 압력, 시간을 밸브를 돌리거나 버튼을 눌러 조정한다. 삶고자 하는 고치를 일정한 속도로 진행되는 컨베이어에 붙어 있는 고치그릇에 넣어 침지부, 고온부, 저온침투부, 증자부, 자숙부, 자양부를 통과시켜 연화·팽윤한다. 삶아진 고치는 고치그릇에 받고 약품이 첨가된 일정 온도의 물을 채워 실켜기장으로 운반한다.",6년 초과 ~ 9년 이하(중졸 정도),3개월 초과 ~ 6개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"고온
다습",고치삶기작업원,-,-,[8611]섬유 제조기계 조작원,[8211]섬유 제조 기계 조작원,[C131]방적 및 가공사 제조업,2016,-
자급사료생산관리자,"초식가축에게 청초, 건초, 사일리지(Silage) 등의 자급 사료를 공급하기 위하여 목초, 옥수수, 호맥 등 사료작물을 재배하고 관리한다.","자급사료 수급계획, 품종, 토지, 장비 등에 의거하여 자급사료 재배지를 만든다. 필요한 토양 성분을 분석·의뢰하고 필요한 품종을 선택하며 종사원을 지휘·감독하여 퇴비살포, 경운, 비료주기, 쇄토, 정지, 파종, 생유관리, 수확작업을 한다. 국내의 문헌을 참고하여 생초, 건초, 사일리지를 최고 영양상태에서 수확할 수 있는 방안 및 자급사료 저장 중 일어나는 손실을 최소화하는 방안을 강구한다. 농기구의 효율적인 이용 계획을 수립한다. 부존자원, 볏짚, 산야초, 무잎, 가축분 등의 사료화 방안을 연구한다. 유휴지를 활용하여 자급사료 증산방안을 계획한다. 초지의 조성 및 갱신계획을 수립한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (감독) / 사물 (정밀작업),보통 작업,"균형감각
웅크림",실내·외,-,-,-,"품질관리기술사, 품질경영기사, 품질경영산업기사",[9022]가축 사육 종사원,[6132]가축 사육 종사원,[A012]축산업,2017,-
자급사료생산작업원,"청초, 건초, 사일리지(Silage) 등 자급사료를 생산하기 위하여 사료재배지를 관리한다.","자급사료 생산이용계획에 의한 자급재배지를 만든다. 잡석을 제거하고 제초제를 살포한다. 재배지를 경운기, 트랙터, 기타 장비를 사용하여 갈고 김을 매거나 땅을 고른다. 자급사료생산관리자의 지시에 따라 선택된 품종을 파종한다. 사료재배지를 관찰하여 이상이 있으면 관리자에게 보고한다. 청초를 베어 목장에 공급하고 필요한 시기에 방목을 한다. 수확한 사료작물을 건초 및 사일리지로 만들기 위하여 절단하여 저장창고 또는 사일로로 운반·저장·관리한다. 토질을 개선하기 위하여 토지개량제(석회)나 퇴비를 뿌린다. 사료재배지의 시설물을 관리하고 농기구를 세척·정비한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (수동조작),보통 작업,"균형감각
웅크림",실내·외,-,-,-,-,[9022]가축 사육 종사원,[6132]가축 사육 종사원,[A012]축산업,2017,-
자기부상열차연구원,"도시형자기부상열차를 시험 및 분석해 실용화를 추진하고, 초고속자기부상열차의 부상 및 추진기술 등을 연구·개발한다.","자기부상, 선형추진 및 기계기술의 융합을 바탕으로 자기부상열차, 친환경수송시스템의 핵심기술을 연구한다. 소음, 진동, 충격, 회전 등 동특성 설계·해석 및 제어기술을 연구한다. 자기부상기술, 선형추진기술, 주행성능평가기술을 개발한다. 시스템 엔지니어링, 분기기의 개발 등 도시형·초고속자기부상열차의 부상 및 추진기술을 연구한다. 도시형자기부상열차 실용화사업시스템 통합기술을 개발해 도시형자기부상열차의 실용화사업을 추진한다. 자기부상식이송시스템 개발, 자기부상 및 선형추진기술을 이용한 미래수송시스템을 연구한다.",16년 초과(대학원 이상),1년 초과 ~ 2년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,-,실내·외,-,-,-,"기계기술사, 일반기계기사",[1511]기계공학 기술자 및 연구원,[2351]기계공학 기술자 및 연구원,[C312]철도장비 제조업,2015,-
자기탐상기술자,강자성 특성의 피검체를 자화하여 표면 또는 표면직하의 결함의 존재 및 위치를 찾아 제품의 품질관리 및 품질보증 업무를 수행한다.,자화 및 탈자 장비를 점검한 후 피검체 표면의 청결상태와 조명 장치를 점검한다. 피검체에 마그네틱요크(Magnetic Yoke) 또는 코일(Coil)에 자속(Magnetic Flux)을 발생시켜 자화시킨 후자분을 시편 표면에 살포한다. 자분의 지시 모양을 확인하고 배열상태를 확인하고 전원을 끊어 자화를 중지한다. 결함부분에 집결된 자분의 양과 집결상태를 보고 판독한 후 결과보고서를 작성한다.,12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (분석) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내·외,-,비파괴검사기술자,,"자기비파괴검사기능사, 자기비파괴검사산업기사, 자기비파괴검사기사, 비파괴검사기술사",[1521]금속·재료공학 기술자 및 연구원,[2331]금속·재료 공학 연구원 및 기술자,[M729]기타 과학기술 서비스업,2023,
자동권사틀보기원,관사를 콘(Cone)이나 치즈(Cheese)로 옮겨 감기 위해 스플라이서(Splicer)와 자동권사장치가 부착된 자동권사기계를 조작한다.,"보빈을 공급장치 매거진(Magazine)의 포켓에 넣고 실 끝을 흡착관의 구멍 위로 끌어당겨 매듭기까지 이르도록 한다. 실감개통이 찼음을 알리는 불이 켜지면 실감개통을 들어낸다. 스핀들에 튜브나 콘을 갈아 끼운다. 실을 감기 위해 콘이나 튜브에 실 끝을 둘러 감는다. 기계의 속도를 조절한다. 공급 실이 다 풀려 모여진 보빈을 일정장소에 갖다 놓는다. 기계를 순회하면서 보빈이나 공급 실, 기타 실 뭉치 등에 의한 기계의 이상을 점검한다. 만관된 콘(Cone)의 중량을 확인한다. 기계의 작동불량에 대한 응급처치를 한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (유지),보통 작업,-,실내,"위험내재
소음·진동","자동권사기운전원, 자동권사원",-,섬유산업기사,[8611]섬유 제조기계 조작원,[8211]섬유 제조 기계 조작원,[C131]방적 및 가공사 제조업,2016,-
자동납땜기조작원,인쇄회로기판에 삽입된 전자부품을 인쇄회로기판에 연결하기 위해 자동으로 납땜하는 기기를 조작한다.,"일정량의 납괴를 기계의 납조에 집어넣어 전원을 공급하여 용융시킨다. 온도계, 비중계 등을 사용하여 납의 온도, 융제(Flux)의 비중을 검사하고 이송대의 작동속도 및 기계의 상태를 점검한다. 자동납땜이 끝난 인쇄회로 기판의 납땜상태를 검사하고 리드선을 제거하기 위해 자동커팅기계에 납땜이 완료된 인쇄회로기판을 이송한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (제어조작),가벼운 작업,-,실내,"대기환경미흡
위험내재",자동디핑기조작원,-,-,[8352]전자 부품·제품 생산기계 조작원,[8632]전자 부품 및 제품 제조 기계 조작원,[C262]전자부품 제조업,2014,-
