직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
카드관리상담원,신용카드 등 각종 카드회원의 다양한 요청사항을 접수하여 처리하는 제반 업무를 수행한다.,"전화 또는 회원의 내사를 통하여 요청사항을 접수한다. 신고된 접수내용은 유형별로 분류하여 회원정보사항 및 결재일자, 대금청구지, 청구내역, 도난 및 분실신고, 승인거래정지문의 등에 관련한 내용을 상담하며 단말기를 조작하여 등록·관리한다. 지점에서 송부된 회원관리점 변경신청서를 접수하고 단말기를 조작하여 관리점을 변경한다. 변경한 내용은 회원관리점 변경접수항목에 입력한다. 지점에서 송부한 불량거래 정보내용 및 발생해지요청을 접수하고 검토한 후, 회원번호, 연체 유무 등을 확인하여 단말기에 입력하여 해지한다.",12년 초과 ~ 14년 이하(전문대졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,,,,[0292]고객 상담원 및 모니터 요원,[3991]고객 상담 및 모니터 요원,[K641]은행 및 저축기관,2021,-
카드론사무원,신용카드 회원의 결제계좌에 카드론 약정금액만큼 한도를 부여해 수시로 인출 및 상환이 가능토록 제반 업무를 수행한다.,"신용카드 회원으로부터 카드론(카드대출) 요청 시에는 회원의 카드이용대금연체, 기존여신연체, 이용실적 등 고객신용도의 등급을 고려하여 대상 여부를 확인한다. 융자대상자 여부, 카드론 한도산출 여부, 채권보전방안, 금리 등을 감안하여 융자 여부를 결정한다. 카드론신청서, 연대보증인자격증빙서류 등 제반 서류를 청구하고 서류상의 대출자격을 심사·확인한다. 채권약정을 체결하고 한도약정등록 및 확인을 한다. 대출기간을 연장할 경우에는 적정성을 검토한 후 기간연장을 처리한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (서비스 제공) / 사물 (관련없음),가벼운 작업,-,실내,-,-,-,-,[0329]기타 금융 사무원,[3209]기타 금융 사무원,[K649]기타 금융업,2013,-
카드발급기조작원,신용카드 등 각종 카드의 회원심사가 완료된 카드발급 대상자의 전산명단을 확인하고 발급기로 카드를 제작한다.,관련 부서에서 심사완료된 카드발급신청서와 재발급리스트를 대조하여 순서별로 카드발급신청서를 분류한다. 규격크기의 사진 또는 스캐닝 자료를 이미지파일로 전환하고 발급서버에 보관한다. 카드를 카드자동발급기에 투입하여 제작한다. 발급에 착오가 있는 카드는 선별하여 재발급한다. 생성된 카드를 봉입하고 특송업체에 전달하거나 관리지점으로 송부한다. 카드상품별 공카드의 재고를 관리한다. 카드발급기 및 카드발급프로그램을 작성하고 운용한다.,12년 초과 ~ 14년 이하(전문대졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),가벼운 작업,-,실내,-,,,,[0295]전산자료 입력원 및 사무 보조원,[3142]전산 자료 입력원 및 사무 보조원,[K641]은행 및 저축기관,2021,-
카드발급사무원,"신용카드를 발급하고, 지점이나 개인에게 송달하는 업무를 수행한다.","자동카드발급기를 이용하여 신용카드 회원의 성명, 회원번호, 유효기간 등의 세부사항을 확인하여 발급한다. 발급된 신용카드가 고객이 신청한 신용카드 종류와 동일한지를 확인한다. 발급된 신용카드에 부합하는 마케팅전단지 및 첨부서류 등을 갖추어 봉투에 넣는다. 발급된 신용카드를 인수받아 지역 및 지점별로 분류한다. 등기우편물발송의뢰서를 작성하여 전문송달업체에 송달한다. 발송건수를 기록·보관한다. 전문송달업체의 송달결과를 통보받아 기록·보관한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,-,실내,-,-,-,-,[0329]기타 금융 사무원,[3209]기타 금융 사무원,[K649]기타 금융업,2013,-
카드사무관리자,"신용카드 상품의 전략개발, 가맹점 관리 및 대금정산, 회원심사 및 채권관리 등 카드업무를 총괄 관리한다.","목표이익을 수립하여 관리한다. 신용카드 상품의 전략개발, 제도개선 및 규정, 금리·수수료 관련 업무를 관리한다. 신용카드시스템 구축과 가맹점을 관리한다. 카드이용대금 결제 및 신용카드 신용평점모형 운영업무를 총괄한다. 부정사용방지시스템 운영과 신용카드 사후관리업무, 신용카드 연체 채권업무를 지도한다. 신용카드 부실채권 관련 경매소송을 관리한다.",14년 초과 ~ 16년 이하(대졸 정도),4년 초과 ~ 10년 이하,자료 (조정) / 사람 (협의) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,,,,[0124]금융·보험 관리자,[1320]보험 및 금융 관리자,[K649]기타 금융업,2012,
카드상담사,신용카드 회사로부터 업무를 위탁받아 신용카드 발급계약의 체결을 중개한다.,"신용카드 발급 수요자를 발굴하고 대면, 온라인, 전화, 상품안내장 배포 등의 방법으로 신용카드 상품을 설명하고 홍보한다. 신용카드 발급 수요자에게 신용카드 약관, 연회비 등의 거래조건 등을 설명하고 가입을 권유한다. 신용카드 신청서류를 접수하고 접수한 서류를 신용카드 회사에 전달한다. 신용카드 모집 실적에 따라 신용카드 회사로부터 모집수수료를 받는다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (설득) / 사물 (관련없음),가벼운 작업,언어력,실내,-,"카드모집인, 카드영업원, 신용카드설계사",-,-,[0331]대출 및 신용카드 모집인,[5104]대출 및 신용카드 모집인,[K649]기타 금융업,2018,-
카드상품개발자,신용카드 등 각종 카드상품의 개발에 관련된 제반 업무를 수행한다.,"카드상품의 경쟁력을 높이기 위한 전략을 수립한다. 기존 카드상품의 문제점과 개선사항을 파악하기 위하여 소비자 요구 및 소비패턴을 조사한다. 관련 자료를 수집·분석하고 시행사항을 결정하여 각 부서나 지점에 통보한다. 신상품개발전략을 수립하고, 개발된 상품의 시행을 주관한다. 제휴서비스를 제공하기 위해 관련 기관과 협의한다. 전산개발, 디자인, 홍보 등 카드개발과 관련된 부서와 협의한다. 카드상품을 개발한 이후의 사후관리업무를 담당한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (협의) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,-,-,-,[0313]보험·금융상품 개발자,[2723]보험 및 금융 상품 개발자,[K649]기타 금융업,2013,-
카드신청서심사사무원,각 지점에서 보내온 가맹점가입신청서 및 카드발급신청서를 접수하고 회원자격을 심사하여 발급을 위한 기재사항을 전산으로 입력한다.,"가맹점가입신청서 및 카드발급신청서를 접수하여 기재하지 않은 사항이나 준비가 덜 된 사항을 점검하고 회원자격을 심사한다. 입회원장에 등록하고 신청인의 자격에 적합한 한도를 부여한다. 신용불량거래자, 타 금융권 연체현황 등을 전산으로 확인한다. 가맹점 신청의 경우는 점포의 자본금, 연간매출액, 종업원 수, 당기순이익 등을 검토하여 가맹점 승인기준에 적합한지 심사한다. 신청인과 직접 통화하여 신청내역을 확인하고 신용카드 발급을 최종 검수한다. 교체발급 및 회원등급변경신청서에 대한 신청서를 접수하여 회원등급을 구분·심사한다. 카드발급을 위한 제반 기재사항을 전산으로 입력한다.",12년 초과 ~ 14년 이하(전문대졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,-,-,-,[0329]기타 금융 사무원,[3209]기타 금융 사무원,[K649]기타 금융업,2013,-
카드정산사무원,신용카드 가맹점의 이중청구 및 매출전표 관련하여 오류사항에 대한 정산업무를 수행한다.,"계약 체결된 가맹점에 대하여 정기적으로 기 계약내용 및 변경된 계약내용을 고지한다. 전표접수대행 등의 서비스업무를 수행한다. 이중청구사항에 관한 자료를 접수하여 이중청구 여부를 확인하고, 가맹점과 연락하여 가지급금으로 정리하며 관계장부를 정리한다. 매출전표 심사과정에서 확인된 불비전표를 해당 점포로 반송하고 반송매출전표수령증을 해당점에 청구하여 보관·관리한다. 가맹점 및 협력점의 카드한도대출 등 불법영업행위를 정기적으로 조사·확인하며, 불법영업행위 적발 시 계약을 해지하고 해당 기관에 통보하여 법적 제재를 요청한다.",14년 초과 ~ 16년 이하(대졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (관련없음),가벼운 작업,-,실내,-,-,-,-,[0329]기타 금융 사무원,[3209]기타 금융 사무원,[K649]기타 금융업,2013,-
카드제품개발원,"각종 카드인식 시스템에 대한 신소재, 위·변조 방지요소, 제조발급기술 및 차별화된 제품을 개발하기 위한 제반 연구활동을 수행한다.","신용카드, 회원카드, 교통카드, 신분증, RF카드, 바코드카드, 마그네틱카드 등 새로운 카드 제품을 개발하기 위하여 카드와 관련한 소재, 각종 정보매체의 기술을 분석한다. 분석한 자료를 검토 및 적용하여 새로운 제품을 개발한다. 시험제조를 통하여 기존의 제품과 품질을 비교·분석하고 제조공정상의 문제점을 도출하고 개선한다. 개발된 제조공정과 기술을 제품생산 현장에서 적용할 수 있도록 지원한다. 카드와 관련한 환경친화성 소재의 개발을 위해 관련 제조업체와 지속적으로 협조하여 제품으로 개발될 수 있도록 수정·보완한다. 각종 정보매체의 활용을 위한 시험용 프로그램을 작성하고 데이터화하여 문제점을 개선한다. 카드 발급 시 사용되는 다양한 발급기법과 위·변조 방지기법 등의 문제점을 개선하고 관련 소요자재품질을 향상시킨다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,-,실내,-,-,-,-,[1532]전자공학 기술자 및 연구원,[2342]전자공학 기술자 및 연구원,[C262]전자부품 제조업,2014,-
