직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
타래검사원,"오물이 묻거나 끊어진 실, 고르지 못한 염색이나 꼬임 등의 결점을 알아내기 위해 실타래를 검사한다.",실타래를 펴기 위해 막대에 타래를 흔들어 걸고 결점을 찾아내기 위해 실을 펴서 잡아당긴다. 결점이 있는 부분을 잘라내고 실 끝을 서로 묶는다. 타래가 작업순서에 맞게 되어 있는지 알아내기 위해 타래의 감김과 연결을 조사한다. 각 타래의 무게를 계량하여 기록한다. 발견된 결함의 수효와 번호를 기록한다. 다발을 만들기 위해 보빈에 감아 연결한다.,9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,-,실내,-,-,-,-,[8611]섬유 제조기계 조작원,[8211]섬유 제조 기계 조작원,[C131]방적 및 가공사 제조업,2016,-
타래염색원,실타래를 염색·표백·세척 처리하는 기계를 조작한다.,작업지시서의 제조방법에 따라 염료통에 물을 채우고 온도를 조절한다. 화학연화제나 액체염료를 투입하여 염색준비를 한다. 다공선반 걸이에 실타래를 걸어 놓는다. 타래가 일정하게 회전하고 염료가 순환되도록 기계를 작동한다. 염색이 끝나면 염색통의 염료액을 버리고 세척용 물을 투입한다. 세척된 타래를 건조기에 넣고 건조시킨다. 실타래를 다발로 만들기 위해 고리로 여러 타래를 매어 놓기도 한다. 실다발을 포장상자 안에 넣는다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,웅크림,실내,"고온
다습
소음·진동",-,"타래세척원, 타래정련원, 타래표백원","염색기능사(날염), 염색기능사(침염)",[8613]표백·염색기 조작원,[8212]표백 및 염색 관련 기계 조작원,"[C134]섬유제품 염색, 정리 및 마무리 가공업",2016,-
타로상담가,"타로카드를 사용하여 고객의 연예, 건강, 진로, 재물 등의 운세를 점치고 고객에게 조언한다.","고객으로부터 연예, 건강, 진로, 재물 등의 알고 싶은 내용을 듣는다. 타로카드를 고객이 뽑도록 하거나 직접 뽑는다. 뽑힌 카드의 내용을 고객의 질문을 토대로 염력 등을 통해 카드의 의미를 읽고 해석한다. 고객에게 미래의 운세를 조언하고 행동 방향을 말해준다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (비교) / 사람 (서비스 제공) / 사물 (관련없음),가벼운 작업,-,실내,-,"타로리더, 타로마스터",-,-,[5124]점술가 및 민속신앙 종사원,[4292]점술가 및 민속신앙 종사원,[S969]그 외 기타 개인 서비스업,2017,-
타발기조작원,각종 종이상자 및 봉투 등 종이제품을 생산하기 위하여 규정된 형상으로 절단·절곡하는 타발기를 조작한다.,"작업지시서에 명시된 작업내용을 확인한다. 작업명세서에 규정된 제품으로 타발하기 위하여 작업에 필요한 절곡제판용 실린더 또는 목형을 수령하여 부착한다. 전 공정 인쇄물 또는 무인쇄물을 수령하여 원지걸이에 걸거나 낱장지를 원지투입구에 투입한다. 타발기(Diecutter)의 조작반 및 롤을 조정하여 종이의 장력, 속도 등을 조정한다. 시운전을 통하여 타발된 중간제품의 외형 및 상태 등을 검사하고 재조정한다. 작업을 정상적으로 진행하며 타발 상태 및 제품 상태 등을 관찰하여 규격제품으로 생산되는지 확인한다. 설비를 점검하여 정상적인 작업이 이루어질 수 있도록 유지·관리한다. 작업내용을 작업일지에 기록한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
위험내재
소음·진동","다이커팅기(Die-Cutter)조작원, 톰슨기조작원",-,-,[8823]종이제품 생산기계 조작원,[8914]종이제품 생산기 조작원,"[C172]골판지, 종이 상자 및 종이 용기 제조업",2017,-
타워크레인설치원,"고층 건물의 건설현장에서 자재, 제품, 재료 등을 수직·수평으로 운반하는 타워크레인을 설치한다.","작업반경, 하중지지력, 인양능력 등을 고려하여 정해진 설치 위치를 확인한다. 철근, 고정앵커, 받침앵글을 결속하여 콘크리트를 타설한다. 기초앵커 및 기초마스트를 일렬로 맞춘 후 고정한다. 텔레스코핑케이지, 운전실, 캣헤드, 카운트지브, 메인지브 등을 순서대로 조립한 후 볼트 및 핀을 이용하여 연결부위를 고정한다. 카운터웨이트의 중량을 확인하고 웨이트블록을 배치한다. 와이어로프를 설치한 후 로프이탈 방지장치를 설치한다. 공사 진행 중에 텔레스코핑케이지를 이용하여 공간을 만들고 마스트를 넣어 타워크레인의 높이를 올리는 텔레스코핑 작업을 한다. 골조 작업이 마무리되면 타워크레인을 설치했던 순서의 역순으로 해체한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (말하기-신호) / 사물 (설치),힘든 작업,"균형감각
웅크림",실외,"대기환경미흡
위험내재
소음·진동",타워크레인설치기사,"리프트설치원, 호이스트설치원",-,[8113]물품이동장비 설치·정비원,[7533]물품 이동 장비 설치 및 정비원,[F421]기반조성 및 시설물 축조관련 전문공사업,2015,-
타워크레인조종원,"건축 공사 시 제품, 중간소재, 자재, 재료 등을 정해진 위치로 운반하거나 들어 올리는 건설장비인 타워크레인을 조종한다.","작업하기 전에 이동시킬 물품의 종류 및 위치 등을 확인한다. 작업에 사용할 부대품을 선택하고 수공구를 이용하여 붐에 작업장치를 조립하거나 설치한다. 레버를 조작하여 타워크레인의 방향을 조종한다. 작업 중 안전사고를 방지하기 위해 기중기의 수평상태를 확인하고 정차시킨다. 운반물의 고정상태를 확인한 후 신호수의 신호에 따라 붐을 상승시키거나 회전, 이동 및 하강시켜 운반물을 목적 장소로 이동시키고 확인한다. 건물의 높이가 높아지는 정도에 따라 텔레스코핑게이지를 이용하여 공간을 만들고 마스트(Mast)를 넣어 타워크레인의 높이를 올리는 텔레스코핑(Telescoping) 작업을 하기도 한다.",6년 초과 ~ 9년 이하(중졸 정도),1년 초과 ~ 2년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (조작운전),가벼운 작업,"균형감각
손사용",실외,"위험내재
소음·진동",타워크레인운전원,-,타워크레인운전기능사,[6230]물품이동장비 조작원(크레인·호이스트·지게차),[8740]물품 이동 장비 조작원,[F421]기반조성 및 시설물 축조관련 전문공사업,2013,-
타이어개발연구원,"타이어의 재료, 컴파운드, 공정구조, 특성, 회전저항, 패턴, 소음, 주행성능 등을 연구하고, 효율적인 제조공정을 분석·개발한다.","타이어 원부재료(천연고무, 합성고무, 카본블랙, 실리카, 프로세스오일, 노화방지제, 가류제, 접착제 등) 특성을 연구하고 신재료를 개발한 후 적응성을 평가한다. 스틸코드, 텍스타일 코드, 스틸 와이어 등 타이어 구조의 보강 재료인 섬유 및 강선코드에 관하여 연구한다. 원재료별 세부특성에 따른 고무합성의 물성을 규명하고 배합기술 및 시험데이터를 해석한다. 저발열성, 고내구성, 저회전저항 등의 특성을 가진 타이어의 구조 및 설계요소, 내구력 및 회전저항 예측수단에 관하여 연구·개발한다. 타이어의 구조 해석기법, 해석시스템 및 해석기술 등을 연구·개발한다. 압출, 사출, 성형 및 가류기포, 고무생산 등 타이어 제조공정의 수치해석기법을 연구한다. 타이어 설계시스템을 개발·개선한다.",16년 초과(대학원 이상),4년 초과 ~ 10년 이하,자료 (종합) / 사람 (관련없음) / 사물 (정밀작업),가벼운 작업,-,실내,-,-,"타이어구조연구원, 타이어재료연구원, 타이어 특성연구원",-,[1541]화학공학 기술자 및 연구원,[2321]화학공학 기술자 및 연구원,[C221]고무제품 제조업,2016,-
타이어검사원,"가류 공정을 거쳐서 완성된 타이어의 외관 및 내부, 비드부를 검사하여 제품표준과 일치하는지 확인·검사한다.","손이나 호이스트를 사용하여 타이어를 회전테이블 위에 올린다. 타이어의 내부흠집, 이물질, 기타 결함을 조사하고자 타이어를 회전시키며 외관검사를 한다. 비드(Bead)를 살펴서 비틀림을 알아내고 타이어의 내부표면을 조사하여 펼쳐진 코드(Cord), 플라이(Ply) 등의 변형·균열을 탐지한다. 가황불량, 형태 불균형, 기타 불량품 등을 선별한다. 결함부분을 표시하고 수리를 의뢰한다.",12년 초과 ~ 14년 이하(전문대졸 정도),2년 초과 ~ 4년 이하,자료 (분석) / 사람 (관련없음) / 사물 (수동조작),힘든 작업,웅크림,실내,"대기환경미흡
위험내재
소음·진동",-,-,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
타이어경화원,그린타이어(반제품 타이어)를 경화하기 위한 가류성형기를 조작한다.,"제조하고자 하는 타이어의 종류에 따라 가류성형기에 알맞은 주형이 설치되어 있는지 확인한다. 설치된 주형에 이물이 없도록 압축공기를 이용하여 세척한다. 그린타이어와 블래더(Bladder), 주형에 이형제를 도포하고 그린타이어를 가류성형기에 장착한다. 작업표준에 맞는 증기압으로 블래더(Bladder)을 팽창시키고 정해진 온도로 주형을 가열한다. 일정 시간이 지나면 냉각수를 공급하여 냉각시킨 후 타이어를 제거한다. 가류성형이 완료된 타이어를 다음 공정으로 이송시킨다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (관련없음) / 사물 (수동조작),힘든 작업,웅크림,실내,"대기환경미흡
위험내재
고온
소음·진동","타이어가황원, 타이어주형원",재생타이어가황원,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
타이어고상중합기조작원,타이어코드 섬유가닥들이 고객이 원하는 기계적 물성을 발현할 수 있도록 원료가 되는 중합반응물(폴리머)의 중합반응도를 올려서 점성도를 높이는 설비장치인 고상중합기를 조작한다.,"작업지시서를 확인하고 원료가 되는 중합반응물을 압축공기를 이용해서 저장조에 수송한다. 수송 중인 중합반응물(폴리머)의 수송상태를 확인하고, 온도가 높은 본 반응기(Reactor)로 이송하기 전에 폴리머의 표면을 딱딱하게 만들어서 중합반응물이 반응기 속에서 서로 달라붙지 않도록 1차 반응기 내 중합반응물의 표면상태 점검, 본 반응기 이후 원하는 중합반응도에 도달했는지를 확인하기 위하여 중합반응물을 표본화하여 의뢰하는 업무를 수행한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,웅크림,실내,"위험내재
고온
소음·진동",-,-,-,[8612]직조기·편직기 조작원,[8221]직조기 및 편직기 조작원,[C139]기타 섬유제품 제조업,2016,-
타이어롤재단원,타이어의 플라이(Ply)를 제조하기 위하여 고무층과 코드가 결합된 토핑코드지(Topping Cord)를 규격별로 절단하는 기계를 조작·관리한다.,고무층과 코드가 결합된 토핑코드지(Topping Cord)를 절단기에 놓고 핸들을 조정하여 제품표준에 맞는 각도와 폭으로 맞춘다. 호이스트를 사용하여 토핑코드지(Topping Cord)를 권출기에 올려놓고 권출기의 롤로부터 천을 잡아당겨 절단기의 칼 밑에 오게 한다. 기계를 작동시키면서 공급 속도와 절단작업의 속도를 조절해 절단한다. 절단된 토핑코드지를 일정 각도에 맞춘 후 접합하여 하나의 토핑코드지로 만들어 권취기에 감거나 접합공정으로 이송을 한다. 자와 각도기를 사용하여 절단된 천의 폭과 각도를 점검한다.,9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,웅크림,실내,"대기환경미흡
위험내재
소음·진동",재단작업원,-,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
타이어밴드제조원,타이어를 제조하기 위하여 타이어 밴드(Band)를 제조하는 기계를 조작·관리한다.,"롤러 사이에 플라이(Ply)가 내려지도록 한다. 회전을 하고 있는 한 쌍의 롤러 사이에 스틸 코드나 패브릭 코드를 통과시키면서 고무를 입힌다. 미리 정해진 일정 수의 플라이가 밴드 내부에 형성될 때까지 플라이가 접합되는 각도를 바꾸어 가면서 작동을 되풀이한다. 밴드에 맞닿은 롤러를 움직이기 위해서 발판을 누르거나 레버를 잡아당기고, 플라이를 접착시키기 위해 롤을 회전시킨다. 이러한 과정을 통해서 캡 플라이나 벨트, 바디 플라이의 고무층 사이에 스틸이나 패브릭 코드가 촘촘히 박히게 한다.",9년 초과 ~ 12년 이하(고졸 정도),2년 초과 ~ 4년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,웅크림,실내,"대기환경미흡
위험내재
소음·진동",-,-,-,[8521]타이어·고무제품 생산기계 조작원,[8322]타이어 및 고무제품 생산기 조작원,[C221]고무제품 제조업,2016,-
