직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
파과분쇄기조작원,사탕 제조과정에서 발생한 사탕 부스러기들을 모은 후 다시 녹여 사용하기 위해 분쇄기를 조작·관리한다.,분쇄하고자 하는 입자 크기에 맞춰 분쇄기 롤러의 간격을 조절한다. 모은 사탕부스러기들을 분쇄기의 호퍼(Hopper)에 투입한다. 롤러의 하부에 통을 대고 분쇄기를 가동한다. 분쇄되는 과정을 관찰하고 견본을 채취하여 분쇄된 사탕의 크기를 검사한다.,9년 초과 ~ 12년 이하(고졸 정도),시범후 30일 이하,자료 (비교) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,-,-,"식품가공기능사, 식품산업기사",[8733]곡물가공제품 기계 조작원,[8112]곡물가공 제품 기계 조작원,[C107]기타 식품 제조업,2016,-
파생금융상품개발원,"외환, 예금, 채권, 주식 등과 같은 기초자산으로부터 파생금융상품(Financial Derivatives:손실위험을 회피하거나 최소화하여 수익을 확보하도록 거래자에 맞게 각종 금융상품을 결합한 금융상품)을 개발한다.","고객들의 위험선호도나 자금운용계획, 시장전망 등에 따라 파생금융상품의 수요를 분석한다. 주가와 연계된 증권, 금리, 외환, 실물 등의 다양한 기초자산에 연동되어 수익이 결정되는 증권 등 다양한 파생상품을 개발한다. 파생상품을 판매하는 담당자들에게 개발상품에 대한 이해를 돕도록 설명하기도 한다.",14년 초과 ~ 16년 이하(대졸 정도),4년 초과 ~ 10년 이하,자료 (분석) / 사람 (관련없음) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,-,-,-,[0313]보험·금융상품 개발자,[2723]보험 및 금융 상품 개발자,[K641]은행 및 저축기관,2013,-
파생상품거래관리자,"국내외 선물, 옵션 등의 파생상품 매매를 총괄 관리하고, 종사원들의 활동을 지도·감독한다.",선물회사 또는 증권사의 파생상품운용부서의 운영방침 및 업무계획을 수립한다. 세부실천계획을 수립하고 실행할 사항을 점검한다. 파생상품자산운용가의 업무를 지도·감독한다. 매매결과를 분석한다. 직원의 근무상황을 관리하고 실무연수를 주관한다.,14년 초과 ~ 16년 이하(대졸 정도),10년 초과,자료 (조정) / 사람 (협의) / 사물 (단순작업),아주 가벼운 작업,-,실내,-,선물옵션거래관리자,,,[0124]금융·보험 관리자,[1320]보험 및 금융 관리자,[K661]금융 지원 서비스업,2012,
파생상품시장운영원,한국거래소에 소속되어 파생상품시장 운영의 제반 업무를 수행한다.,"파생상품시장의 개폐, 정지 및 휴장 관련 업무를 수행한다. 파생상품의 매매체결 및 시세공표업무, 파생상품의 착오매매의 정정업무, 파생상품거래의 중단 등 시장조치에 관한 업무를 수행한다. 파생상품시황 및 국내외 파생상품시장 동향을 분석한다. 해외거래소와의 파생상품 연계거래시장 운영업무를 수행한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (분석) / 사람 (말하기-신호) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,선물옵션시장운영원,-,-,[0329]기타 금융 사무원,[3209]기타 금융 사무원,[K641]은행 및 저축기관 / [K661]금융 지원 서비스업,2013,-
파생상품자산운용가,파생상품시장에서 회사의 자산이나 고객이 투자를 위탁한 자산을 운용한다.,"우리나라를 비롯한 미국, 유럽 등의 세계경제지표 및 동향을 분석하고, 외국과 우리나라 지표와의 상관계수를 확인한다. 시장의 자금흐름을 분석하기 위해 고객예탁금 및 펀드유입자금을 확인하고 매매주체별 거래동향을 분석한다. 전략적 매매를 위해 팀별 또는 개인별로 매매시나리오를 구상한다. 온라인에서 파생상품시장에서 거래되는 통화선물, 금리선물, 금이나 농산물 등의 상품선물, 주가지수선물, 옵션 등의 파생상품을 매입하거나 매도하는 투자행위를 수행한다.",14년 초과 ~ 16년 이하(대졸 정도),4년 초과 ~ 10년 이하,자료 (조정) / 사람 (협의) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,선물옵션자산운용가,-,-,[0312]자산 운용가,[2722]자산 운용가,[K661]금융 지원 서비스업,2013,-
파생상품중개인,투자고객에게 파생상품거래의 매매위탁을 권유하여 거래를 중개한다.,"통화선물, 금리선물, 상품선물, 주가지수선물, 옵션 등의 파생상품을 매입 또는 매도하고자 하는 투자자를 대상으로 상담하고 매매 위탁을 권유한다. 투자를 원하는 고객을 대신하여 거래를 성사시킨다. 고객으로부터 선물 및 옵션거래를 주문받아 매매상대방을 찾아 계약을 체결한다. 매매가 체결되면 거래를 확인하고 거래내역서를 송부한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (조정) / 사람 (말하기-신호) / 사물 (관련없음),아주 가벼운 작업,-,실내,-,"파생상품브로커, 선물옵션중개인",-,-,[0314]증권·외환 딜러,[2724]증권 및 외환 딜러,[K661]금융 지원 서비스업,2013,-
파쇄반장,채취한 광물에서 유용광물을 분리하거나 입자 크기를 균일하게 하기 위하여 광물을 파쇄·마쇄하는 작업원들의 활동을 감독·조정한다.,선광감독의 작업지시를 받고 작업계획을 수립한다. 작업량을 지시하고 작업원들을 각 공정에 배치한다. 장비 및 시설을 점검·관리한다. 작업장을 순시하여 기계가동 상태를 점검하고 작업원들의 활동을 감독한다. 작업의 기술적 요인을 제시하고 작업을 조정한다. 광물의 파쇄·마쇄상태를 주시하고 적정한 입자가 유지될 수 있도록 기계상태 및 작업활동을 조정한다. 기계 및 장비의 정비상태를 점검하고 고장 시 조치한다. 작업 및 보안일지를 작성한다. 시험작업이나 작업원이 하기 어려운 작업은 직접 기계 및 장비를 조작하여 수행하기도 한다.,9년 초과 ~ 12년 이하(고졸 정도),4년 초과 ~ 10년 이하,자료 (조정) / 사람 (감독) / 사물 (제어조작),보통 작업,-,실외,"대기환경미흡
위험내재
소음·진동",,,,[8264]광석·석제품 생산기계 조작원,[8434]광석 및 석제품 가공기 조작원,[B051]석탄 광업 / [B061]철 광업 / [B062]비철금속 광업,2022,
파일편직원,"완구용이나 내피용 파일편직물을 제조하기 위해 화학섬유 톱(Top)이나 편직용실을 사용하여 일정한 색상, 중량으로 무늬를 짜는 편직기를 조작한다.",포장된 톱을 여러 개의 통에 나누어 담는다. 통에서 톱의 끝을 찾아 기계선단부의 인입구에 끼우고 콘 상태로 감긴 편직용 실은 크릴에 끼우고 실 끝을 찾아 편성침에 끼운다. 파일직물의 중량을 조절하기 위해 카딩기계(Carding Machine)의 기어 및 속도계기를 바꾸거나 조작한다. 톱의 섬유를 균일하게 하고 불순물을 제거하기 위해 송풍기를 작동한다. 가동상태를 관찰하고 실이 끊어지면 기계를 정지하고 끊어진 실을 이어준다. 톱(Top)의 중량 또는 편직용 실을 점검한다. 수동공구를 사용하여 싱커(Sinker)나 편성침을 교체하기도 한다. 일정 길이로 짠 직물은 칼을 사용하여 절단한다. 절단한 직물이 규격에 일치하는지 점검한다. 오차를 줄이기 위해 기계의 기어나 속도계기를 조절한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (수동조작),보통 작업,웅크림,실내,"대기환경미흡
소음·진동",하이파일편직원,-,섬유산업기사,[8612]직조기·편직기 조작원,[8221]직조기 및 편직기 조작원,[C133]편조원단 제조업,2016,-
파칭기조작원,건조된 스낵(Snack) 반제품(생지)을 가열된 소금으로 튀기고 일정한 크기로 팽창시키는 파칭기(Parching Machine)를 조작·관리한다.,"기계의 회전실린더를 가열하고자 가스 또는 기름버너를 점화한다. 건조된 스낵 반제품의 이물질을 제거하고자 진동체와 공기집진장치를 가동한다. 컨베이어를 가동하여 회전실린더에 스낵 반제품을 투입하고 일정 비율의 소금을 투입한다. 회전실린더를 회전시키고 버너의 열량을 조절하여 가열해 반제품 스낵을 팽창시킨다. 팽창되어 나온 스낵의 색상, 향, 팽창상태 등을 확인하고 스낵의 투입량, 가열온도, 실린더의 회전속도 등을 조절한다. 진동체를 가동하고 스낵에 부착된 소금을 제거한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,-,-,"식품가공기능사, 식품산업기사",[8733]곡물가공제품 기계 조작원,[8112]곡물가공 제품 기계 조작원,[C107]기타 식품 제조업,2016,-
파티플래너,"파티 진행을 위하여 기획, 운영, 연출, 홍보 등 파티 전반을 총괄한다.","제안서를 작성하여 제출한다. 파티의 주제 및 구성을 의뢰인과 협의한다. 파티일정 및 장소, 출연자, 예산 등의 세부계획을 세운다. 파티에 필요한 장식 등의 물품과 장비를 제작하고 대여해 줄 업체를 선정한다. 조명·음향·무대 등과 같은 특수효과와 음식, 파티장 장식 등의 세부계획을 세운다. 댄스팀, 연주팀과 같은 공연팀을 섭외한다. 직접 파티장의 장식(디스플레이)에 필요한 소품을 구입한다. 초청대상자의 참석여부를 확인한다. 파티 당일 사전 준비사항을 점검한다. 파티를 진행하며, 유사시에 조치를 취한다. 파티가 끝난 후 마무리한다. 초청자 리스트 등 파티 진행의 결과를 보고한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (조정) / 사람 (협의) / 사물 (수동조작),가벼운 작업,-,실내·외,-,,"파티매니저, 파티마케터, 미팅플래너",,[0244]행사 기획자,[2735]행사 기획자,[N759]기타 사업지원 서비스업,2021,-
