동사,빈도
하기,3205
하여,16418
된,6399
매달린,3
하고자,481
하는,3963
한다,34193
될,338
다듬는다,71
시키기,214
맞게,297
기를,773
가,142
가하여,32
따라,3715
할,2128
되는,1175
시키고,397
넣고,221
입혀,11
튀기거나,3
되도록,336
경화시킨다,8
시키는,158
와,258
맞는,239
짜기,17
해,547
풀어서,3
만든다,235
심어주는,1
갖도록,7
쓰이는,17
가에,8
출,215
되었는지,103
보내기,13
하며,1492
도를,134
거친,103
깎아,21
가르치기,7
가르친다,38
따른,634
시켜,381
용전기,1
깎아주기,1
맞는가를,4
구겨진,1
늘인다,1
내고,18
펼쳐,22
시킨다,799
벗기는,7
되거나,46
높이기,95
찾아,48
되어,316
씻어,13
낸다,223
시키거나,29
감는,43
맞춰,80
재구,16
잘게,14
자른,14
맞도록,68
부풀리는,2
보살피고,4
돕는다,111
새기고,2
세우고,63
감시용,3
서에,104
피용,1
깎아내고,5
다듬질,19
무너지는,1
매단,2
늘려주는,1
끝난,142
섞어주기,1
맞추어,202
뿌리는,2
끼워,73
바꾸기,6
뚫고,23
나오는,77
튀기는,4
고를,8
받아,254
개질기,5
받,3
드는,3
않는,51
이르는,13
이루어지도록,45
이루어지는,17
채우고,32
해서,181
하는데,59
만드는,85
보면서,24
통기,6
다듬고,25
쌓거나,6
쌓는다,24
되는지,123
따르는,13
얻을,8
보여주고,4
보여준다,5
만들어진,36
하면서,213
가려주고,1
꾸민다,3
보다,13
찾아보기,1
쉽도록,14
잘라내는,2
시킨,147
거치면서,8
찾고,19
꾸미기,2
알려주는,6
알린다,49
알리기,10
가리는,2
갖출,1
해야,45
출주마,3
몰아가도록,1
다친,2
달려야,2
비전,15
밝히고,2
쓰인,6
내리고,20
이루어진,19
나타난,28
살펴보고,19
입고되,9
담기,4
가에게,3
읽고,61
높이면서,1
감아서,8
하는지,208
잘라,50
하면,232
파운,6
했을,20
주어진,25
깎거나,2
끌어서,1
넣음,2
거칠게,3
옮긴다,18
압축시키는,2
잘라주고,2
침지하는,2
크,25
입고,124
도와주고,4
산하,6
하고,453
진다,23
들어간,2
하도록,349
만든,55
쌓아,14
올려,70
입히는,7
덮는,2
나가고,1
들어오는,8
심고,11
얻기,35
넓히기,5
쉽게,29
자르는,11
뚫는,13
탄,46
탄하기,1
합하여,19
알기,15
싣고,15
뽑아내기,2
되기,23
거쳐,104
한,227
이를,190
지닌,5
받은,80
