직무명,직무개요,수행직무,정규교육,숙련기간,직무기능,작업강도,육체활동,작업장소,작업환경,유사명칭,관련직업,자격/면허,고용직업분류,표준직업분류,표준산업분류,조사연도,비고
가공삭도운전원,광산에서 광석·자재 및 기타 재료를 운반하기 위하여 지주에 의하여 가설된 케이블 선로에 매달린 버킷(Bucket)을 조작한다.,케이블의 장력을 조절하고 활차의 상태를 점검한다. 구동부의 상태를 점검하고 윤활유를 주입한다. 버킷의 파손 여부를 검사한다. 버튼 및 스위치를 조작하여 회전부 및 케이블을 감는 장치를 시동한다. 신호를 보내 운반물을 싣도록 하고 운반장소까지 버킷을 이동시키기 위해 레버를 조작한다. 버킷의 이동상태를 감시하고 운반물을 부리기 위해 버튼을 누른다. 신호판을 감시하고 자동으로 운반물을 부리는 장치를 주시한다. 선로 및 롤러를 보수한다.,6년 초과 ~ 9년 이하(중졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (수동조작),보통 작업,"균형감각
손사용",실내,"위험내재
다습",-,-,-,[6230]물품이동장비 조작원(크레인·호이스트·지게차),[8740]물품 이동 장비 조작원,[B071]토사석 광업,2013,-
가공염제조원,가공염을 제조하고자 원염을 분쇄하는 분쇄기(타공기)를 조작·관리한다.,작업지시서에 따라 일일 작업량을 확인한다. 작업표준에 따라 분쇄기(타공기)의 타공망을 제품규격에 맞게 교체한다. 호퍼(Hopper)의 하부배출구를 분쇄기에 맞춘다. 운반대차나 페이로우더를 이용해 호퍼에 원염을 투입하도록 한다. 분쇄기를 가동해 분쇄작업을 한다. 견본을 채취하여 작업표준과 비교한다. 분쇄가 완료되면 가공염을 가공염 저장탱크로 이송한다.,9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,대기환경미흡,-,-,"식품산업기사, 식품가공기능사",[8739]기타 식품가공 기계 조작원,[8190]기타 식품가공 관련 기계 조작원,[C107]기타 식품 제조업,2016,-
가공원료육계량원,"소시지, 햄, 기타 가공육을 제조하고자 원료육과 기타 첨가물을 일정 비율로 계량한다.","제조할 제품의 종류나 수량을 파악한다. 제품의 종류에 따라 부위별로 선별하여 절단된 원료육과 부재료 및 첨가물을 선택한다. 선택된 원료들을 계량용기에 담아서 바닥저울 등 계량용기를 사용하여 일정 비율로 계량한다. 계량한 재료를 운반용기에 담아 염지, 수침, 만육, 혼합 등 가공공정으로 운반하고, 계량된 재료의 중량을 품목별, 날짜별로 작업일지에 기록한다.",9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,웅크림,실내,"대기환경미흡
위험내재
다습",배합실작업원,"소시지육계량원, 햄육계량원",-,[8731]육류·어패류·낙농품 가공기계 조작원,[8113]육류·어패류 및 낙농품 가공 기계 조작원,"[C101]도축, 육류 가공 및 저장 처리업",2016,-
가공원료육정선원,"가공육 제품을 만들기 위하여 사용될 육류, 어류, 해조류 등의 원료를 부위별로 선별하고 다듬는다.","원료육를 작업대에 올려놓고 칼로 지방, 껍질, 털, 힘줄, 지느러미, 머리, 꼬리, 내장 및 기타 이물질을 선별하여 제거한다. 이물질이 제거된 살코기를 각 부위별로 선별하여 절단한다. 또는 제품별로 일정한 크기로 절단한 후 각각 별도의 용기에 담는다. 사용한 칼 등 작업도구 및 작업대는 정비하고 세척·살균하여 보관한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),가벼운 작업,웅크림,실내,"대기환경미흡
다습",-,"가축육정선원, 어육정선원",식육처리기능사,[8731]육류·어패류·낙농품 가공기계 조작원,[8113]육류·어패류 및 낙농품 가공 기계 조작원,"[C101]도축, 육류 가공 및 저장 처리업",2016,-
가공유지배합원,마가린이나 쇼트닝(Shortening)같은 제품을 제조하기 위하여 정제·여과한 유지를 계량·배합하고 고체화시키기 위해 냉각설비를 조작한다.,"정제·여과된 유지에 기능성을 부여하기 위하여 유화제, 풍미제, 착색제 등을 준비된 배합비율에 따라 계량하고 혼합한다. 기름에 녹는 첨가물이 투입된 유상부와 물에 녹는 첨가물이 투입되는 수상부는 적절한 온도로 가온하여 첨가된 첨가물들을 완전히 용해시킨다. 준비된 유상부와 수상부는 적합한 온도에서 살균과 유화를 거친 후 이송밸브를 조절하여 냉각설비로 보낸다. 냉매는 밸브를 조절하여 설비의 온도를 일정하게 유지하고, 냉각과정을 관찰하며 견본을 채취하여 제품 분석실로 품질평가를 위해 보낸다. 제조하는 제품의 종류에 따라 일정한 규격을 가진 형틀로 유지를 고화시키기도 한다. 자동화된 기계의 조정판에 가열온도, 가열시간, 냉각온도 등을 입력하여 가공상태를 관찰하고 조절하여 계량, 배합, 급냉, 충전상황을 점검한다.",9년 초과 ~ 12년 이하(고졸 정도),1년 초과 ~ 2년 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"고온
다습
소음·진동",물성조정유지제조원,"마가린제조원, 쇼트닝제조원",-,[8739]기타 식품가공 기계 조작원,[8190]기타 식품가공 관련 기계 조작원,"[C103]과실, 채소 가공 및 저장 처리업",2016,-
가공치즈원료분쇄원,"가공치즈의 제조에 필요한 원료치즈를 선별, 분쇄, 혼합하고자 관련 설비를 조작·관리한다.","제조하고자 하는 치즈의 종류에 따라 유산균의 비중, 숙성도가 서로 다른 체더, 콜비, 몬테레이 등의 자연치즈 중에서 필요한 원료치즈를 선별한다. 선별된 원료치즈들의 비닐포장상태를 점검하고 이물질의 투입 여부를 관찰·확인한 후 냄새, 촉감, 맛을 통해서 적정한 상태의 원료치즈를 최종적으로 선별한다. 선정된 원료를 분쇄기에 넣고 가동하여 일정한 크기로 분쇄, 혼합한다. 분쇄된 원료치즈의 상태를 육안으로 검사한다.",9년 초과 ~ 12년 이하(고졸 정도),1개월 초과 ~ 3개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,웅크림,실내,"대기환경미흡
소음·진동",살균가공치즈원료분쇄원,-,-,[8731]육류·어패류·낙농품 가공기계 조작원,[8113]육류·어패류 및 낙농품 가공 기계 조작원,[C105]낙농제품 및 식용빙과류 제조업,2016,-
가공치즈원료유화원,분쇄된 원료치즈를 유화·용융하고자 유화솥 및 관련 설비를 조작·관리한다.,"분쇄가 완료된 원료치즈를 유화솥에 투입하고 일정량의 정제수, 유화제 및 과실, 야채, 고기 향료 등의 각종 첨가물을 넣는다. 치즈와 첨가물이 잘 혼합되도록 일정 시간 동안 교반기를 작동한다. 작동 중인 교반기의 교반상태를 점검하면서 천천히 스팀밸브를 열어 가열하고 온도를 일정하게 유지한다. 치즈 조직의 탄력을 위하여 진공펌프를 작동하여 유화솥 내부를 진공상태로 만든다. 유화·용융상태가 완료되면 이송펌프를 작동하여 치즈를 충전기로 이송한다.",9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (수집) / 사람 (관련없음) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
소음·진동",살균가공치즈원료유화원,-,-,[8731]육류·어패류·낙농품 가공기계 조작원,[8113]육류·어패류 및 낙농품 가공 기계 조작원,[C105]낙농제품 및 식용빙과류 제조업,2016,-
가구도장원,붓이나 스프레이로 목재가구에 페인트칠을 한다.,"작업복, 장갑, 마스크 등을 착용한 후 환풍기를 가동한다. 도료를 제품에 맞게 배합하고 제품에 묻어있는 먼지 및 오물을 제거한다. 도장 면을 세밀히 관찰하여 벗겨진 부분을 보수할 경우에는 붓이나 소형페인트 분사기를 사용하여 착색 보수한다. 지정된 색상을 견본패널과 대조하여 페인트분사기로 가로세로 수 회 도장하고 마감상태에 따라 투명도장한다.",9년 초과 ~ 12년 이하(고졸 정도),6개월 초과 ~ 1년 이하,자료 (비교) / 사람 (관련없음) / 사물 (수동조작),보통 작업,시각,실내,대기환경미흡,-,"목재가구상도원, 목재가구중도원, 목재가구하도원, 목재가구칠원, 가구왁스칠원, 가구옻칠원, 나전칠기도장원, 가구칠부, 가구캐슈칠원, 합판도색가공원, 목재자동스프레이조작원, 문짝칠원",가구제작기능사,[8251]도장원(도장기조작원),[8421]도장기 조작원,[C320]가구 제조업,2015,-
가구디자이너,시장조사를 통해서 경쟁력 있는 가구를 개발하고 디자인한다.,"대리점, 국내외 전시장 등에서 시장조사를 하고 신제품 개발 계획을 수립한다. 아이디어 회의를 개최하여 가구디자인의 콘셉트를 선정한다. 선정된 디자인 콘셉트에 따라 도면을 작성한다. 제품의 생산성을 고려하여 시조도면을 작성한다. 원·부자재 수급 및 예상가격을 산출한다. 시조품을 제작하여 평가하고 문제점을 생산도면에 기재한다. 시조품의 품질을 평가하기 위해 신자재, 신공법에 따른 실험을 한다. 시험 결과 및 생산성을 고려하여 캐드(CAD) 등을 이용하여 최적의 생산도면을 작성한다. 목재 및 합판의 종류 등 가구생산에 필요한 각종 재료의 세부사항을 조사한다. 시판될 견본품이 완성되면 전시회를 개최하여 소비자의 의견을 수렴한다.",14년 초과 ~ 16년 이하(대졸 정도),2년 초과 ~ 4년 이하,자료 (종합) / 사람 (협의) / 사물 (정밀작업),가벼운 작업,손사용,실내,-,-,-,"제품디자인기술사, 제품디자인기사",[4151]제품 디자이너,[2851]제품 디자이너,[C320]가구 제조업 / [M732]전문 디자인업,2012,-
가구목재성형원,자동 목재 성형장치를 사용하여 제품별로 사양에 맞게 원목을 가공하고 다듬는다.,자동 목재 가공장치에 원목을 투입하기 전 제품의 모델에 맞게 기계장비를 준비한다. 작업지시서의 내용을 확인하면서 거친 원목 표면을 사포로 연마한 후 연마된 이물질을 에어스프레이로 제거한다. 자동 가공장치와 연결되어 있는 롤 위에 목재를 놓고 기계장비를 가동시켜 차례대로 비닐 위에 놓인 목재들이 가공장치에 투입되도록 작업한다. 제품이 성형되면 가공된 목재 위에 목재용 피복지를 씌운다. 초품에 이상이 없을 때 목재 성형과정을 순차적으로 반복하여 원목을 성형·가공한다.,9년 초과 ~ 12년 이하(고졸 정도),3개월 초과 ~ 6개월 이하,자료 (비교) / 사람 (말하기-신호) / 사물 (제어조작),보통 작업,-,실내,"대기환경미흡
위험내재
소음·진동","가구자재가공원, 목수",-,"가구제작기능사, 목공예기능사",[8821]목재 가공기계 조작원,[8911]목재가공 관련 기계 조작원,[C320]가구 제조업,2017,-
